hiring_manager: manpageman; similarity_score: 27.6643
hiring_manager: fuckthepoor; similarity_score: 12.9870
hiring_manager: florianf; similarity_score: 12.9666
hiring_manager: jakestein; similarity_score: 12.9213
hiring_manager: sid6376; similarity_score: 12.9032
hiring_manager: meaydinli; similarity_score: 12.8358
hiring_manager: sethbannon; similarity_score: 12.7894
hiring_manager: ssk2; similarity_score: 12.7877
hiring_manager: kiyoto; similarity_score: 12.7508
hiring_manager: propellerhat; similarity_score: 12.6333
hiring_manager: Equiet; similarity_score: 12.6262
hiring_manager: YelpEngineering; similarity_score: 12.5511
hiring_manager: mrbird; similarity_score: 12.5423
hiring_manager: DLarsen; similarity_score: 12.5290
hiring_manager: 7Figures2Commas; similarity_score: 12.5205
hiring_manager: xiongww; similarity_score: 12.5073
hiring_manager: jpwagner; similarity_score: 12.4792
hiring_manager: plaban123; similarity_score: 12.4137
hiring_manager: RaizlabsTalent; similarity_score: 12.2164
hiring_manager: davidshariff; similarity_score: 12.1868
hiring_manager: neftaly; similarity_score: 12.1673
hiring_manager: eugeneiiim; similarity_score: 12.1299
hiring_manager: frisco; similarity_score: 12.0663
hiring_manager: joanatello; similarity_score: 11.9962
hiring_manager: mandoescamilla; similarity_score: 11.9722
hiring_manager: mikebabineau; similarity_score: 11.8458
hiring_manager: dangoldin; similarity_score: 11.8421
hiring_manager: bostik; similarity_score: 11.7402
hiring_manager: AaronLasseigne; similarity_score: 11.5822
hiring_manager: arobbins; similarity_score: 11.5424
hiring_manager: chrisbennet; similarity_score: 11.5273
hiring_manager: yesimahuman; similarity_score: 11.4775
hiring_manager: jonbischke; similarity_score: 11.4252
hiring_manager: jdjdjd; similarity_score: 11.3765
hiring_manager: ugh123; similarity_score: 11.3537
hiring_manager: klochner; similarity_score: 11.3063
hiring_manager: fortpoint; similarity_score: 11.2820
hiring_manager: austinhallock; similarity_score: 11.2426
hiring_manager: olivercameron; similarity_score: 11.2421
hiring_manager: nathanwdavis; similarity_score: 11.2280
hiring_manager: cllns; similarity_score: 11.2195
hiring_manager: damon_c; similarity_score: 11.1951
hiring_manager: tharshan09; similarity_score: 11.1896
hiring_manager: milewska; similarity_score: 11.1856
hiring_manager: kenrose; similarity_score: 11.1398
hiring_manager: noahbrier; similarity_score: 11.1048
hiring_manager: espinchi; similarity_score: 11.0453
hiring_manager: BGCivis; similarity_score: 11.0152
hiring_manager: finnh; similarity_score: 11.0019
hiring_manager: samuelbrin; similarity_score: 10.9979
hiring_manager: dannysu; similarity_score: 10.8326
hiring_manager: frb; similarity_score: 10.8322
hiring_manager: sinak; similarity_score: 10.7853
hiring_manager: rrpadhy; similarity_score: 10.7142
hiring_manager: arach; similarity_score: 10.7026
hiring_manager: pashabitz; similarity_score: 10.6925
hiring_manager: brendan_gill; similarity_score: 10.6407
hiring_manager: svec; similarity_score: 10.5855
hiring_manager: squirrel; similarity_score: 10.5793
hiring_manager: mpdaugherty; similarity_score: 10.4895
hiring_manager: sciurus; similarity_score: 10.4308
hiring_manager: realdlee; similarity_score: 10.4
hiring_manager: BMarkmann; similarity_score: 10.3940
hiring_manager: dwiel; similarity_score: 10.3427
hiring_manager: waseems; similarity_score: 10.2964
hiring_manager: meritt; similarity_score: 10.2493
hiring_manager: Gyffindor; similarity_score: 10.1968
hiring_manager: alexk; similarity_score: 10.1876
hiring_manager: ILIKEPONIES; similarity_score: 10.1759
hiring_manager: ndonnellan; similarity_score: 10.1295
hiring_manager: hafabnew; similarity_score: 10.1131
hiring_manager: jontonsoup; similarity_score: 10.1094
hiring_manager: antoviaque; similarity_score: 10.0422
hiring_manager: mateodelnorte; similarity_score: 9.95106
hiring_manager: georgespencer; similarity_score: 9.93717
hiring_manager: blakeweb; similarity_score: 9.93328
hiring_manager: jkoc; similarity_score: 9.91432
hiring_manager: sqs; similarity_score: 9.89433
hiring_manager: santiycr; similarity_score: 9.87654
hiring_manager: sb_ba; similarity_score: 9.84915
hiring_manager: stockninja; similarity_score: 9.82905
hiring_manager: vonnik; similarity_score: 9.81749
hiring_manager: pandamcbonesaw; similarity_score: 9.78698
hiring_manager: dbuxton; similarity_score: 9.76744
hiring_manager: mattnguyen; similarity_score: 9.73544
hiring_manager: tianyicui; similarity_score: 9.72151
hiring_manager: zeiler; similarity_score: 9.69109
hiring_manager: ogennadi; similarity_score: 9.66542
hiring_manager: retrodict; similarity_score: 9.66350
hiring_manager: scottaj2; similarity_score: 9.59367
hiring_manager: d0m; similarity_score: 9.58702
hiring_manager: azinman2; similarity_score: 9.56175
hiring_manager: yonibaciu1; similarity_score: 9.55555
hiring_manager: thethimble; similarity_score: 9.54128
hiring_manager: rprovey; similarity_score: 9.52885
hiring_manager: EmilLondon; similarity_score: 9.52380
hiring_manager: asolove; similarity_score: 9.50965
hiring_manager: minichate; similarity_score: 9.49440
hiring_manager: tair; similarity_score: 9.47321
hiring_manager: OpenDrapery; similarity_score: 9.42028
hiring_manager: sam; similarity_score: 9.41533
hiring_manager: bbeck; similarity_score: 9.39538
hiring_manager: tqn; similarity_score: 9.32642
hiring_manager: freyil; similarity_score: 9.29614
hiring_manager: mrw34; similarity_score: 9.19747
hiring_manager: Synergyse; similarity_score: 9.19431
hiring_manager: mapdock; similarity_score: 9.19017
hiring_manager: nichol4s; similarity_score: 9.17266
hiring_manager: jarmitage; similarity_score: 9.09521
hiring_manager: siddarthd2919; similarity_score: 9.02255
hiring_manager: matm; similarity_score: 9.01639
hiring_manager: JangoSteve; similarity_score: 9.00181
hiring_manager: vaxtrac; similarity_score: 8.99149
hiring_manager: lightningstorm; similarity_score: 8.96309
hiring_manager: twymer; similarity_score: 8.94085
hiring_manager: ben336; similarity_score: 8.89967
hiring_manager: martinshen; similarity_score: 8.87210
hiring_manager: snowmaker; similarity_score: 8.85675
hiring_manager: noobuser123; similarity_score: 8.79368
hiring_manager: jhmaddox; similarity_score: 8.66141
hiring_manager: rchiba; similarity_score: 8.62824
hiring_manager: ncbk12; similarity_score: 8.62133
hiring_manager: wdewind; similarity_score: 8.60702
hiring_manager: bostonpete; similarity_score: 8.59375
hiring_manager: petrosagg; similarity_score: 8.53658
hiring_manager: kcrossisec; similarity_score: 8.51495
hiring_manager: tobinharris; similarity_score: 8.51063
hiring_manager: the_gigi; similarity_score: 8.50340
hiring_manager: andrewmb; similarity_score: 8.48938
hiring_manager: clarkevans; similarity_score: 8.47333
hiring_manager: chollida1; similarity_score: 8.45341
hiring_manager: jasonparekh; similarity_score: 8.37738
hiring_manager: swampthing; similarity_score: 8.35983
hiring_manager: djyoo; similarity_score: 8.33829
hiring_manager: brandonthejames; similarity_score: 8.32526
hiring_manager: iis_zephyr; similarity_score: 8.32177
hiring_manager: woodhull; similarity_score: 8.31873
hiring_manager: cwhiten; similarity_score: 8.31713
hiring_manager: JayNeely; similarity_score: 8.27464
hiring_manager: paulc; similarity_score: 8.22134
hiring_manager: _br; similarity_score: 8.20713
hiring_manager: ejdyksen; similarity_score: 8.16012
hiring_manager: gsiener; similarity_score: 8.10810
hiring_manager: blo; similarity_score: 8.09178
hiring_manager: shedd; similarity_score: 8.02854
hiring_manager: bitcrusher; similarity_score: 8.00556
hiring_manager: fheisler; similarity_score: 7.87321
hiring_manager: conversica; similarity_score: 7.84946
hiring_manager: loganfrederick; similarity_score: 7.79853
hiring_manager: nkoren; similarity_score: 7.72325
hiring_manager: samingrassia; similarity_score: 7.71084
hiring_manager: jlees; similarity_score: 7.70252
hiring_manager: courtneypowell; similarity_score: 7.64378
hiring_manager: alexthornton; similarity_score: 7.64183
hiring_manager: paradox95; similarity_score: 7.61904
hiring_manager: jennifer_scroll; similarity_score: 7.60358
hiring_manager: breckognize; similarity_score: 7.58570
hiring_manager: spang; similarity_score: 7.58455
hiring_manager: bambootalent; similarity_score: 7.56464
hiring_manager: jjarmoc; similarity_score: 7.52958
hiring_manager: azth; similarity_score: 7.45789
hiring_manager: conorgil145; similarity_score: 7.44606
hiring_manager: PhantomPhreak; similarity_score: 7.44047
hiring_manager: bootstraponline; similarity_score: 7.33944
hiring_manager: JJMalina; similarity_score: 7.28075
hiring_manager: jhdavids8; similarity_score: 7.24691
hiring_manager: Clairesheng; similarity_score: 7.17001
hiring_manager: oms1005; similarity_score: 7.10431
hiring_manager: dh0913; similarity_score: 7.09994
hiring_manager: wiredd; similarity_score: 7.09677
hiring_manager: JimboOmega; similarity_score: 7.04738
hiring_manager: gsastry; similarity_score: 6.79751
hiring_manager: deepsearch; similarity_score: 6.69456
hiring_manager: bsnyder; similarity_score: 6.68965
hiring_manager: kmano8; similarity_score: 6.64845
hiring_manager: bohnej; similarity_score: 6.61157
hiring_manager: bgriggs1; similarity_score: 6.58914
hiring_manager: zacharycohn; similarity_score: 6.58436
hiring_manager: atto; similarity_score: 6.56580
hiring_manager: sridevizarin; similarity_score: 6.56506
hiring_manager: geori; similarity_score: 6.50887
hiring_manager: chrchr; similarity_score: 6.44749
hiring_manager: andrewforee; similarity_score: 6.36942
hiring_manager: alexose; similarity_score: 6.25
hiring_manager: zaidos; similarity_score: 6.18556
hiring_manager: hseikaly; similarity_score: 6.15680
hiring_manager: helloshow; similarity_score: 6.03695
hiring_manager: jasoncrawford; similarity_score: 6.01915
hiring_manager: rvivek; similarity_score: 6.01307
hiring_manager: greattypo; similarity_score: 5.95547
hiring_manager: gnidan; similarity_score: 5.88716
hiring_manager: cairo140; similarity_score: 5.87984
hiring_manager: sparkman55; similarity_score: 5.74653
hiring_manager: boyd; similarity_score: 5.74098
hiring_manager: makmanalp; similarity_score: 5.64585
hiring_manager: daveoflynn; similarity_score: 5.62015
hiring_manager: pensieri; similarity_score: 5.47235
hiring_manager: jnenglish; similarity_score: 5.46173
hiring_manager: michaelhoffman; similarity_score: 5.46163
hiring_manager: nikhaldi; similarity_score: 5.42244
hiring_manager: astralship; similarity_score: 5.24967
hiring_manager: bjelkeman-again; similarity_score: 4.88758
hiring_manager: hgrttn; similarity_score: 4.77554
hiring_manager: brendankemp; similarity_score: 4.35132
hiring_manager: ddtruong17; similarity_score: 4.27616
hiring_manager: mbesto; similarity_score: 4.06222
hiring_manager: BWStearns; similarity_score: 3.91885
hiring_manager: capkutay; similarity_score: 3.80610
hiring_manager: infer; similarity_score: 3.64321
hiring_manager: frabrunelle; similarity_score: 2.84268
hiring_manager: namelezz; similarity_score: 0.0
