hiring_manager: deepsearch; similarity_score: 0.99319
hiring_manager: bowmanb; similarity_score: 0.64316
hiring_manager: PhantomPhreak; similarity_score: 0.64316
hiring_manager: mrw34; similarity_score: 0.63755
hiring_manager: joanatello; similarity_score: 0.63755
hiring_manager: FreshPuzzles; similarity_score: 0.63477
hiring_manager: hglaser; similarity_score: 0.63477
hiring_manager: escherize; similarity_score: 0.63202
hiring_manager: zacharypinter; similarity_score: 0.62660
hiring_manager: nichol4s; similarity_score: 0.62660
hiring_manager: RaizlabsTalent; similarity_score: 0.62392
hiring_manager: mrbird; similarity_score: 0.62127
hiring_manager: clarkevans; similarity_score: 0.62127
hiring_manager: Theranos; similarity_score: 0.62127
hiring_manager: clieu1; similarity_score: 0.61863
hiring_manager: ssk2; similarity_score: 0.61603
hiring_manager: cwc22; similarity_score: 0.61603
hiring_manager: loganfrederick; similarity_score: 0.61603
hiring_manager: mburst; similarity_score: 0.61602
hiring_manager: gsiener; similarity_score: 0.61602
hiring_manager: jpwagner; similarity_score: 0.61602
hiring_manager: chollida1; similarity_score: 0.61602
hiring_manager: ashleyjohn; similarity_score: 0.61602
hiring_manager: Andrew_Metail; similarity_score: 0.61344
hiring_manager: knes; similarity_score: 0.61087
hiring_manager: grydstedt; similarity_score: 0.60833
hiring_manager: davidw; similarity_score: 0.60832
hiring_manager: sam; similarity_score: 0.60832
hiring_manager: mateodelnorte; similarity_score: 0.60832
hiring_manager: jhmaddox; similarity_score: 0.60580
hiring_manager: chrisduesing; similarity_score: 0.60081
hiring_manager: omarish; similarity_score: 0.60081
hiring_manager: kscottz; similarity_score: 0.60081
hiring_manager: axiom; similarity_score: 0.59835
hiring_manager: d0m; similarity_score: 0.59835
hiring_manager: biggitybones; similarity_score: 0.59835
hiring_manager: nkoren; similarity_score: 0.59835
hiring_manager: meaydinli; similarity_score: 0.59591
hiring_manager: darrenkopp; similarity_score: 0.59590
hiring_manager: kenrose; similarity_score: 0.59349
hiring_manager: sciurus; similarity_score: 0.59108
hiring_manager: dannysu; similarity_score: 0.58870
hiring_manager: yesimahuman; similarity_score: 0.58870
hiring_manager: alexose; similarity_score: 0.58870
hiring_manager: squirrel; similarity_score: 0.58870
hiring_manager: asolove; similarity_score: 0.58399
hiring_manager: davidshariff; similarity_score: 0.58399
hiring_manager: BMarkmann; similarity_score: 0.58399
hiring_manager: klochner; similarity_score: 0.58166
hiring_manager: breckognize; similarity_score: 0.58166
hiring_manager: mandoescamilla; similarity_score: 0.57936
hiring_manager: DLarsen; similarity_score: 0.57254
hiring_manager: soundandfeury; similarity_score: 0.57254
hiring_manager: olivercameron; similarity_score: 0.57254
hiring_manager: bgriggs1; similarity_score: 0.57031
hiring_manager: jason_allen; similarity_score: 0.57030
hiring_manager: conversica; similarity_score: 0.56809
hiring_manager: twymer; similarity_score: 0.56809
hiring_manager: nikhaldi; similarity_score: 0.56808
hiring_manager: jasoncrawford; similarity_score: 0.56589
hiring_manager: freyil; similarity_score: 0.56588
hiring_manager: dwiel; similarity_score: 0.56588
hiring_manager: YelpEngineering; similarity_score: 0.56370
hiring_manager: jkoc; similarity_score: 0.56369
hiring_manager: stockninja; similarity_score: 0.56152
hiring_manager: eugeneiiim; similarity_score: 0.55938
hiring_manager: sridevizarin; similarity_score: 0.55937
hiring_manager: jlees; similarity_score: 0.55937
hiring_manager: mpdaugherty; similarity_score: 0.55724
hiring_manager: brendan_gill; similarity_score: 0.55093
hiring_manager: hafabnew; similarity_score: 0.55093
hiring_manager: ndonnellan; similarity_score: 0.54887
hiring_manager: rvivek; similarity_score: 0.54886
hiring_manager: infer; similarity_score: 0.54886
hiring_manager: thethimble; similarity_score: 0.54477
hiring_manager: sethbannon; similarity_score: 0.54274
hiring_manager: bootstraponline; similarity_score: 0.54274
hiring_manager: xiongww; similarity_score: 0.54274
hiring_manager: djyoo; similarity_score: 0.54073
hiring_manager: vonnik; similarity_score: 0.54073
hiring_manager: pashabitz; similarity_score: 0.54073
hiring_manager: Gyffindor; similarity_score: 0.53873
hiring_manager: tianyicui; similarity_score: 0.53873
hiring_manager: astralship; similarity_score: 0.53873
hiring_manager: santiycr; similarity_score: 0.53675
hiring_manager: noobuser123; similarity_score: 0.53479
hiring_manager: rprovey; similarity_score: 0.53283
hiring_manager: pandamcbonesaw; similarity_score: 0.53090
hiring_manager: mikebabineau; similarity_score: 0.52897
hiring_manager: antoviaque; similarity_score: 0.52707
hiring_manager: fheisler; similarity_score: 0.52707
hiring_manager: blo; similarity_score: 0.52706
hiring_manager: hseikaly; similarity_score: 0.52706
hiring_manager: martinshen; similarity_score: 0.52329
hiring_manager: dh0913; similarity_score: 0.52328
hiring_manager: tharshan09; similarity_score: 0.52142
hiring_manager: JJMalina; similarity_score: 0.52142
hiring_manager: AaronLasseigne; similarity_score: 0.52142
hiring_manager: Clairesheng; similarity_score: 0.52142
hiring_manager: zeiler; similarity_score: 0.51957
hiring_manager: bambootalent; similarity_score: 0.51956
hiring_manager: brandonthejames; similarity_score: 0.51772
hiring_manager: Bahamut; similarity_score: 0.51772
hiring_manager: jakestein; similarity_score: 0.51772
hiring_manager: sinak; similarity_score: 0.51772
hiring_manager: diego; similarity_score: 0.51589
hiring_manager: Synergyse; similarity_score: 0.51408
hiring_manager: svec; similarity_score: 0.51408
hiring_manager: kcrossisec; similarity_score: 0.51407
hiring_manager: jonbischke; similarity_score: 0.51407
hiring_manager: scottaj2; similarity_score: 0.51227
hiring_manager: azinman2; similarity_score: 0.51048
hiring_manager: sqs; similarity_score: 0.51048
hiring_manager: EmilLondon; similarity_score: 0.50870
hiring_manager: jontonsoup; similarity_score: 0.50693
hiring_manager: arobbins; similarity_score: 0.50693
hiring_manager: jarmitage; similarity_score: 0.50171
hiring_manager: fortpoint; similarity_score: 0.49999
hiring_manager: sparkman55; similarity_score: 0.49999
hiring_manager: _br; similarity_score: 0.49828
hiring_manager: bjelkeman-again; similarity_score: 0.49659
hiring_manager: ILIKEPONIES; similarity_score: 0.49323
hiring_manager: tair; similarity_score: 0.48666
hiring_manager: bostik; similarity_score: 0.48666
hiring_manager: waseems; similarity_score: 0.48666
hiring_manager: bbeck; similarity_score: 0.48504
hiring_manager: michaelhoffman; similarity_score: 0.48504
hiring_manager: georgespencer; similarity_score: 0.48343
hiring_manager: noahbrier; similarity_score: 0.48184
hiring_manager: paulc; similarity_score: 0.48184
hiring_manager: gnidan; similarity_score: 0.48025
hiring_manager: oms1005; similarity_score: 0.48025
hiring_manager: gsastry; similarity_score: 0.48025
hiring_manager: the_gigi; similarity_score: 0.47711
hiring_manager: cairo140; similarity_score: 0.47711
hiring_manager: swampthing; similarity_score: 0.47556
hiring_manager: shedd; similarity_score: 0.47248
hiring_manager: zaidos; similarity_score: 0.47248
hiring_manager: mapdock; similarity_score: 0.47248
hiring_manager: tqn; similarity_score: 0.47095
hiring_manager: andrewforee; similarity_score: 0.46944
hiring_manager: woodhull; similarity_score: 0.46794
hiring_manager: sb_ba; similarity_score: 0.46794
hiring_manager: arach; similarity_score: 0.46645
hiring_manager: jennifer_scroll; similarity_score: 0.46644
hiring_manager: lightningstorm; similarity_score: 0.46496
hiring_manager: iis_zephyr; similarity_score: 0.46201
hiring_manager: daveoflynn; similarity_score: 0.46056
hiring_manager: mbesto; similarity_score: 0.46055
hiring_manager: kmano8; similarity_score: 0.45911
hiring_manager: jnenglish; similarity_score: 0.45911
hiring_manager: JimboOmega; similarity_score: 0.45341
hiring_manager: azth; similarity_score: 0.45200
hiring_manager: meritt; similarity_score: 0.45061
hiring_manager: snowmaker; similarity_score: 0.44784
hiring_manager: alexthornton; similarity_score: 0.44784
hiring_manager: ncbk12; similarity_score: 0.44784
hiring_manager: jhdavids8; similarity_score: 0.44511
hiring_manager: matm; similarity_score: 0.44242
hiring_manager: bsnyder; similarity_score: 0.44242
hiring_manager: vaxtrac; similarity_score: 0.44107
hiring_manager: minichate; similarity_score: 0.43974
hiring_manager: cwhiten; similarity_score: 0.43843
hiring_manager: jasonparekh; similarity_score: 0.43843
hiring_manager: boyd; similarity_score: 0.43194
hiring_manager: JangoSteve; similarity_score: 0.42689
hiring_manager: rchiba; similarity_score: 0.42565
hiring_manager: capkutay; similarity_score: 0.42318
hiring_manager: blakeweb; similarity_score: 0.42318
hiring_manager: ejdyksen; similarity_score: 0.42074
hiring_manager: conorgil145; similarity_score: 0.41126
hiring_manager: bitcrusher; similarity_score: 0.39999
hiring_manager: spang; similarity_score: 0.39890
hiring_manager: courtneypowell; similarity_score: 0.39673
hiring_manager: jjarmoc; similarity_score: 0.39672
hiring_manager: chrchr; similarity_score: 0.38623
hiring_manager: atto; similarity_score: 0.38219
hiring_manager: helloshow; similarity_score: 0.37725
hiring_manager: pensieri; similarity_score: 0.35609
hiring_manager: greattypo; similarity_score: 0.35265
hiring_manager: ddtruong17; similarity_score: 0.34927
hiring_manager: BWStearns; similarity_score: 0.31738
hiring_manager: makmanalp; similarity_score: 0.31397
hiring_manager: brendankemp; similarity_score: 0.29917
hiring_manager: frabrunelle; similarity_score: 0.22323
