hiring_manager: jasoncrawford; similarity_score: 0.23500
hiring_manager: vaxtrac; similarity_score: 0.19098
hiring_manager: axiom; similarity_score: 0.19089
hiring_manager: ninetax; similarity_score: 0.19075
hiring_manager: cairo140; similarity_score: 0.18971
hiring_manager: imdane; similarity_score: 0.18959
hiring_manager: myom; similarity_score: 0.18924
hiring_manager: azth; similarity_score: 0.18843
hiring_manager: minichate; similarity_score: 0.18789
hiring_manager: alexthornton; similarity_score: 0.18705
hiring_manager: JimboOmega; similarity_score: 0.18697
hiring_manager: mburst; similarity_score: 0.18518
hiring_manager: burnout1540; similarity_score: 0.18497
hiring_manager: escherize; similarity_score: 0.18478
hiring_manager: davidw; similarity_score: 0.18474
hiring_manager: cwhiten; similarity_score: 0.18464
hiring_manager: blakeweb; similarity_score: 0.18461
hiring_manager: jhdavids8; similarity_score: 0.18456
hiring_manager: ejdyksen; similarity_score: 0.18438
hiring_manager: ssk2; similarity_score: 0.18306
hiring_manager: hglaser; similarity_score: 0.18228
hiring_manager: capkutay; similarity_score: 0.18185
hiring_manager: jjarmoc; similarity_score: 0.18156
hiring_manager: emcienjobs; similarity_score: 0.18150
hiring_manager: bambootalent; similarity_score: 0.18027
hiring_manager: JangoSteve; similarity_score: 0.17926
hiring_manager: jorgecastillo; similarity_score: 0.17919
hiring_manager: chollida1; similarity_score: 0.17803
hiring_manager: bsnyder; similarity_score: 0.17776
hiring_manager: courtneypowell; similarity_score: 0.17754
hiring_manager: jnenglish; similarity_score: 0.17690
hiring_manager: k1w1; similarity_score: 0.17687
hiring_manager: boyd; similarity_score: 0.17630
hiring_manager: JayNeely; similarity_score: 0.17621
hiring_manager: kevinschumacher; similarity_score: 0.17572
hiring_manager: conorgil145; similarity_score: 0.17498
hiring_manager: rchiba; similarity_score: 0.17488
hiring_manager: feverishaaron; similarity_score: 0.17456
hiring_manager: maramaemartin; similarity_score: 0.17341
hiring_manager: spang; similarity_score: 0.17265
hiring_manager: ncbk12; similarity_score: 0.17255
hiring_manager: baran; similarity_score: 0.17225
hiring_manager: bitcrusher; similarity_score: 0.17202
hiring_manager: bowmanb; similarity_score: 0.17168
hiring_manager: RaizlabsTalent; similarity_score: 0.17102
hiring_manager: mrw34; similarity_score: 0.17026
hiring_manager: chrchr; similarity_score: 0.17005
hiring_manager: darrennix; similarity_score: 0.16878
hiring_manager: finnh; similarity_score: 0.16763
hiring_manager: retrodict; similarity_score: 0.16756
hiring_manager: nichol4s; similarity_score: 0.16742
hiring_manager: ugh123; similarity_score: 0.16647
hiring_manager: pouloum78; similarity_score: 0.16416
hiring_manager: Mynar; similarity_score: 0.16345
hiring_manager: fuelfive; similarity_score: 0.16300
hiring_manager: choult; similarity_score: 0.16237
hiring_manager: greattypo; similarity_score: 0.15877
hiring_manager: zacharypinter; similarity_score: 0.15801
hiring_manager: frabcus; similarity_score: 0.15606
hiring_manager: atto; similarity_score: 0.15511
hiring_manager: g06; similarity_score: 0.15491
hiring_manager: edent; similarity_score: 0.15375
hiring_manager: pensieri; similarity_score: 0.15351
hiring_manager: manpageman; similarity_score: 0.15260
hiring_manager: helloshow; similarity_score: 0.14937
hiring_manager: alexk; similarity_score: 0.14927
hiring_manager: milewska; similarity_score: 0.14913
hiring_manager: greenjellybean; similarity_score: 0.14682
hiring_manager: untilHellbanned; similarity_score: 0.14450
hiring_manager: zerr; similarity_score: 0.14335
hiring_manager: justhw; similarity_score: 0.13988
hiring_manager: beaverfox; similarity_score: 0.13757
hiring_manager: S4M; similarity_score: 0.13641
hiring_manager: BWStearns; similarity_score: 0.13479
hiring_manager: ddtruong17; similarity_score: 0.13280
hiring_manager: dalys; similarity_score: 0.13179
hiring_manager: makmanalp; similarity_score: 0.12904
hiring_manager: rememberlenny; similarity_score: 0.12832
hiring_manager: brendankemp; similarity_score: 0.12331
hiring_manager: geverett; similarity_score: 0.12023
hiring_manager: kbar13; similarity_score: 0.11329
hiring_manager: Cyranix; similarity_score: 0.10982
hiring_manager: chrisbennet; similarity_score: 0.10520
hiring_manager: miles932; similarity_score: 0.09826
hiring_manager: rrpadhy; similarity_score: 0.09710
hiring_manager: vaughnd; similarity_score: 0.09479
hiring_manager: petrosagg; similarity_score: 0.09248
hiring_manager: HeyLaughingBoy; similarity_score: 0.08670
hiring_manager: tobinharris; similarity_score: 0.08439
hiring_manager: Blackthorn; similarity_score: 0.08323
hiring_manager: frabrunelle; similarity_score: 0.08223
hiring_manager: ljlolel; similarity_score: 0.07861
hiring_manager: unclesaamm; similarity_score: 0.07745
hiring_manager: fuckthepoor; similarity_score: 0.07630
hiring_manager: siscia; similarity_score: 0.07514
hiring_manager: hrehhf; similarity_score: 0.07398
hiring_manager: smikhanov; similarity_score: 0.06936
hiring_manager: plaban123; similarity_score: 0.06473
hiring_manager: grinich; similarity_score: 0.06358
hiring_manager: fourier; similarity_score: 0.06242
hiring_manager: BillFranklin; similarity_score: 0.06127
hiring_manager: curiousDog; similarity_score: 0.05780
hiring_manager: sid6376; similarity_score: 0.05664
hiring_manager: quinthar; similarity_score: 0.05433
hiring_manager: fractalsea; similarity_score: 0.05317
hiring_manager: Caleb_Smith; similarity_score: 0.05086
hiring_manager: OpenDrapery; similarity_score: 0.04971
hiring_manager: ogennadi; similarity_score: 0.04277
hiring_manager: fapjacks; similarity_score: 0.04161
hiring_manager: siddarthd2919; similarity_score: 0.04046
hiring_manager: neftaly; similarity_score: 0.03815
hiring_manager: xasos; similarity_score: 0.03121
hiring_manager: bostonpete; similarity_score: 0.02774
hiring_manager: zacharycohn; similarity_score: 0.01734
hiring_manager: bohnej; similarity_score: 0.01502
hiring_manager: deepsearch; similarity_score: 0.01271
hiring_manager: namelezz; similarity_score: 0.00115
