hiring_manager: untilHellbanned; similarity_score: 28.0373
hiring_manager: clieu1; similarity_score: 13.9500
hiring_manager: knes; similarity_score: 13.8241
hiring_manager: jsaxton86; similarity_score: 13.7566
hiring_manager: squirrel; similarity_score: 13.7392
hiring_manager: baran; similarity_score: 13.7339
hiring_manager: vonnik; similarity_score: 13.6986
hiring_manager: hafabnew; similarity_score: 13.6848
hiring_manager: justhw; similarity_score: 13.6082
hiring_manager: mattnguyen; similarity_score: 13.5265
hiring_manager: FreshPuzzles; similarity_score: 13.4632
hiring_manager: quinthar; similarity_score: 13.4408
hiring_manager: ben336; similarity_score: 13.4238
hiring_manager: jlees; similarity_score: 13.4085
hiring_manager: joanatello; similarity_score: 13.3102
hiring_manager: frisco; similarity_score: 13.2802
hiring_manager: cjbarber; similarity_score: 13.2093
hiring_manager: mandoescamilla; similarity_score: 13.1186
hiring_manager: scottaj2; similarity_score: 13.1041
hiring_manager: siscia; similarity_score: 13.0982
hiring_manager: maramaemartin; similarity_score: 13.0198
hiring_manager: omarish; similarity_score: 12.9770
hiring_manager: marybheine; similarity_score: 12.7931
hiring_manager: RaizlabsTalent; similarity_score: 12.7831
hiring_manager: gsiener; similarity_score: 12.7005
hiring_manager: freyil; similarity_score: 12.6566
hiring_manager: axiom; similarity_score: 12.6333
hiring_manager: salar; similarity_score: 12.5786
hiring_manager: mikebabineau; similarity_score: 12.5751
hiring_manager: svec; similarity_score: 12.5401
hiring_manager: zerr; similarity_score: 12.5252
hiring_manager: retrodict; similarity_score: 12.4899
hiring_manager: d0m; similarity_score: 12.4481
hiring_manager: S4M; similarity_score: 12.4248
hiring_manager: alexk; similarity_score: 12.4069
hiring_manager: fractalsea; similarity_score: 12.3989
hiring_manager: sam; similarity_score: 12.3667
hiring_manager: siddarthd2919; similarity_score: 12.3595
hiring_manager: yegg; similarity_score: 12.3255
hiring_manager: espinchi; similarity_score: 12.3188
hiring_manager: jpwagner; similarity_score: 12.2291
hiring_manager: arobbins; similarity_score: 12.2244
hiring_manager: carlatqueue; similarity_score: 12.2209
hiring_manager: xiongww; similarity_score: 12.2154
hiring_manager: jkoc; similarity_score: 12.1809
hiring_manager: biggitybones; similarity_score: 12.1771
hiring_manager: kiyoto; similarity_score: 12.1664
hiring_manager: YelpEngineering; similarity_score: 12.0822
hiring_manager: annalewis7; similarity_score: 11.9774
hiring_manager: jjnvdm; similarity_score: 11.9620
hiring_manager: austinhallock; similarity_score: 11.9565
hiring_manager: sid6376; similarity_score: 11.9241
hiring_manager: jack7890; similarity_score: 11.7073
hiring_manager: Gyffindor; similarity_score: 11.6851
hiring_manager: twymer; similarity_score: 11.6580
hiring_manager: djyoo; similarity_score: 11.6449
hiring_manager: khwang; similarity_score: 11.6402
hiring_manager: escherize; similarity_score: 11.6316
hiring_manager: woodhull; similarity_score: 11.6259
hiring_manager: pandamcbonesaw; similarity_score: 11.4942
hiring_manager: ivanzhao; similarity_score: 11.4634
hiring_manager: AaronLasseigne; similarity_score: 11.4624
hiring_manager: meritt; similarity_score: 11.4361
hiring_manager: asanwal; similarity_score: 11.4341
hiring_manager: realdlee; similarity_score: 11.4285
hiring_manager: rprovey; similarity_score: 11.4199
hiring_manager: fheisler; similarity_score: 11.3391
hiring_manager: tianyicui; similarity_score: 11.3317
hiring_manager: ashleyjohn; similarity_score: 11.3011
hiring_manager: ndonnellan; similarity_score: 11.2975
hiring_manager: Bahamut; similarity_score: 11.2734
hiring_manager: jszumski; similarity_score: 11.2554
hiring_manager: clarkevans; similarity_score: 11.2405
hiring_manager: florianf; similarity_score: 11.1913
hiring_manager: mateodelnorte; similarity_score: 11.0942
hiring_manager: jason_allen; similarity_score: 11.0871
hiring_manager: fchollet; similarity_score: 10.9913
hiring_manager: OpenDrapery; similarity_score: 10.9289
hiring_manager: mburst; similarity_score: 10.9263
hiring_manager: g06; similarity_score: 10.9154
hiring_manager: sciurus; similarity_score: 10.8987
hiring_manager: timanglade; similarity_score: 10.8695
hiring_manager: kbar13; similarity_score: 10.8597
hiring_manager: kcrossisec; similarity_score: 10.8579
hiring_manager: paulc; similarity_score: 10.8396
hiring_manager: chrisdl; similarity_score: 10.8036
hiring_manager: st8machine; similarity_score: 10.7843
hiring_manager: tair; similarity_score: 10.7279
hiring_manager: edent; similarity_score: 10.7011
hiring_manager: fuelfive; similarity_score: 10.6529
hiring_manager: bootstraponline; similarity_score: 10.6237
hiring_manager: fortpoint; similarity_score: 10.6233
hiring_manager: bostik; similarity_score: 10.6203
hiring_manager: sinak; similarity_score: 10.6
hiring_manager: loganfrederick; similarity_score: 10.5980
hiring_manager: dannysu; similarity_score: 10.5501
hiring_manager: the_gigi; similarity_score: 10.4013
hiring_manager: Mynar; similarity_score: 10.3419
hiring_manager: jontonsoup; similarity_score: 10.2538
hiring_manager: k1w1; similarity_score: 10.2040
hiring_manager: nkoren; similarity_score: 10.2025
hiring_manager: Theranos; similarity_score: 10.1694
hiring_manager: shedd; similarity_score: 10.1200
hiring_manager: jdjdjd; similarity_score: 10.1135
hiring_manager: diego; similarity_score: 10.0917
hiring_manager: ogennadi; similarity_score: 10.0278
hiring_manager: vaxtrac; similarity_score: 10.0039
hiring_manager: yesimahuman; similarity_score: 9.83810
hiring_manager: fapjacks; similarity_score: 9.83606
hiring_manager: bostonpete; similarity_score: 9.82658
hiring_manager: Synergyse; similarity_score: 9.81818
hiring_manager: hseikaly; similarity_score: 9.77408
hiring_manager: azinman2; similarity_score: 9.74553
hiring_manager: smikhanov; similarity_score: 9.74358
hiring_manager: waseems; similarity_score: 9.73671
hiring_manager: astralship; similarity_score: 9.68523
hiring_manager: propellerhat; similarity_score: 9.62566
hiring_manager: kmano8; similarity_score: 9.62379
hiring_manager: iandanforth; similarity_score: 9.52380
hiring_manager: swampthing; similarity_score: 9.51549
hiring_manager: sqs; similarity_score: 9.48434
hiring_manager: gsastry; similarity_score: 9.45387
hiring_manager: kenrose; similarity_score: 9.42472
hiring_manager: BMarkmann; similarity_score: 9.34274
hiring_manager: alexthornton; similarity_score: 9.32487
hiring_manager: Clairesheng; similarity_score: 9.32159
hiring_manager: conorgil145; similarity_score: 9.31174
hiring_manager: antoviaque; similarity_score: 9.28355
hiring_manager: minichate; similarity_score: 9.25027
hiring_manager: DustinCalim; similarity_score: 9.21658
hiring_manager: bbeck; similarity_score: 9.20887
hiring_manager: infer; similarity_score: 9.15576
hiring_manager: iis_zephyr; similarity_score: 9.14336
hiring_manager: JangoSteve; similarity_score: 9.13884
hiring_manager: alexose; similarity_score: 9.12981
hiring_manager: unclesaamm; similarity_score: 9.11392
hiring_manager: pashabitz; similarity_score: 9.10138
hiring_manager: snowmaker; similarity_score: 9.03169
hiring_manager: georgespencer; similarity_score: 9.01683
hiring_manager: mrw34; similarity_score: 9.00750
hiring_manager: dmritard96; similarity_score: 8.97703
hiring_manager: samuelbrin; similarity_score: 8.95008
hiring_manager: jonbischke; similarity_score: 8.94854
hiring_manager: rrpadhy; similarity_score: 8.92018
hiring_manager: mbesto; similarity_score: 8.90183
hiring_manager: arach; similarity_score: 8.84323
hiring_manager: sparkman55; similarity_score: 8.82785
hiring_manager: PhantomPhreak; similarity_score: 8.78661
hiring_manager: asolove; similarity_score: 8.77437
hiring_manager: oms1005; similarity_score: 8.72947
hiring_manager: sethbannon; similarity_score: 8.71848
hiring_manager: EmilLondon; similarity_score: 8.71267
hiring_manager: capkutay; similarity_score: 8.69565
hiring_manager: gnidan; similarity_score: 8.67507
hiring_manager: jakestein; similarity_score: 8.66310
hiring_manager: xasos; similarity_score: 8.62068
hiring_manager: pohungc; similarity_score: 8.55920
hiring_manager: conversica; similarity_score: 8.51282
hiring_manager: tharshan09; similarity_score: 8.50111
hiring_manager: neftaly; similarity_score: 8.49858
hiring_manager: wiredd; similarity_score: 8.42105
hiring_manager: ILIKEPONIES; similarity_score: 8.29913
hiring_manager: jnenglish; similarity_score: 8.28402
hiring_manager: martinshen; similarity_score: 8.23902
hiring_manager: JimboOmega; similarity_score: 8.20633
hiring_manager: jasonparekh; similarity_score: 8.16006
hiring_manager: bambootalent; similarity_score: 8.13129
hiring_manager: cairo140; similarity_score: 8.12474
hiring_manager: tobinharris; similarity_score: 8.11455
hiring_manager: curiousDog; similarity_score: 8.06451
hiring_manager: michaelhoffman; similarity_score: 8.01001
hiring_manager: ncbk12; similarity_score: 7.98274
hiring_manager: zaidos; similarity_score: 7.92761
hiring_manager: azth; similarity_score: 7.89473
hiring_manager: mrbird; similarity_score: 7.87401
hiring_manager: mapdock; similarity_score: 7.86713
hiring_manager: sridevizarin; similarity_score: 7.79510
hiring_manager: tqn; similarity_score: 7.59150
hiring_manager: spang; similarity_score: 7.55717
hiring_manager: zeiler; similarity_score: 7.46697
hiring_manager: ljlolel; similarity_score: 7.46268
hiring_manager: JJMalina; similarity_score: 7.46190
hiring_manager: blakeweb; similarity_score: 7.46054
hiring_manager: pwman; similarity_score: 7.41758
hiring_manager: andrewmb; similarity_score: 7.40740
hiring_manager: nikhaldi; similarity_score: 7.39856
hiring_manager: _br; similarity_score: 7.39354
hiring_manager: plaban123; similarity_score: 7.36842
hiring_manager: chrchr; similarity_score: 7.26031
hiring_manager: jhdavids8; similarity_score: 7.22804
hiring_manager: ejdyksen; similarity_score: 7.21726
hiring_manager: sb_ba; similarity_score: 6.99658
hiring_manager: Blackthorn; similarity_score: 6.96517
hiring_manager: atto; similarity_score: 6.95797
hiring_manager: lightningstorm; similarity_score: 6.93153
hiring_manager: petrosagg; similarity_score: 6.69856
hiring_manager: deepsearch; similarity_score: 6.68693
hiring_manager: finnh; similarity_score: 6.67779
hiring_manager: zacharycohn; similarity_score: 6.60660
hiring_manager: bsnyder; similarity_score: 6.55518
hiring_manager: greattypo; similarity_score: 6.53705
hiring_manager: noahbrier; similarity_score: 6.46900
hiring_manager: brendan_gill; similarity_score: 6.42002
hiring_manager: chrisbennet; similarity_score: 6.40732
hiring_manager: pensieri; similarity_score: 6.34475
hiring_manager: cwhiten; similarity_score: 6.23357
hiring_manager: dbuxton; similarity_score: 6.10526
hiring_manager: blo; similarity_score: 6.07101
hiring_manager: stockninja; similarity_score: 6.02409
hiring_manager: BWStearns; similarity_score: 5.96205
hiring_manager: helloshow; similarity_score: 5.94965
hiring_manager: jennifer_scroll; similarity_score: 5.84121
hiring_manager: andrewforee; similarity_score: 5.80777
hiring_manager: hgrttn; similarity_score: 5.80474
hiring_manager: dh0913; similarity_score: 5.62207
hiring_manager: bgriggs1; similarity_score: 5.12820
hiring_manager: metaobject; similarity_score: 5.07042
hiring_manager: jjarmoc; similarity_score: 5.00173
hiring_manager: daveoflynn; similarity_score: 4.92107
hiring_manager: bohnej; similarity_score: 4.81927
hiring_manager: bjelkeman-again; similarity_score: 4.77528
hiring_manager: makmanalp; similarity_score: 4.74192
hiring_manager: mpdaugherty; similarity_score: 4.60526
hiring_manager: thethimble; similarity_score: 4.52173
hiring_manager: brendankemp; similarity_score: 4.43213
hiring_manager: dwiel; similarity_score: 4.33542
hiring_manager: nathanwdavis; similarity_score: 4.26666
hiring_manager: JayNeely; similarity_score: 4.07830
hiring_manager: klochner; similarity_score: 4.00285
hiring_manager: jarmitage; similarity_score: 3.99818
hiring_manager: rvivek; similarity_score: 3.95061
hiring_manager: jasoncrawford; similarity_score: 3.86597
hiring_manager: rchiba; similarity_score: 3.85999
hiring_manager: ddtruong17; similarity_score: 3.66812
hiring_manager: eugeneiiim; similarity_score: 3.52542
hiring_manager: brandonthejames; similarity_score: 3.15398
hiring_manager: bitcrusher; similarity_score: 3.10496
hiring_manager: courtneypowell; similarity_score: 3.08797
hiring_manager: matm; similarity_score: 2.88713
hiring_manager: frabrunelle; similarity_score: 2.43088
hiring_manager: ehberger; similarity_score: 2.40641
hiring_manager: boyd; similarity_score: 2.00907
hiring_manager: namelezz; similarity_score: 0.625
