hiring_manager: untilHellbanned; similarity_score: 28.8135
hiring_manager: xiongww; similarity_score: 11.7376
hiring_manager: gsiener; similarity_score: 11.7236
hiring_manager: jlees; similarity_score: 11.6112
hiring_manager: nichol4s; similarity_score: 11.5891
hiring_manager: jerematasno; similarity_score: 11.4942
hiring_manager: lbo; similarity_score: 11.3671
hiring_manager: jason_allen; similarity_score: 11.3122
hiring_manager: mpdaugherty; similarity_score: 11.2560
hiring_manager: tair; similarity_score: 11.1986
hiring_manager: pouloum78; similarity_score: 11.1969
hiring_manager: bgriggs1; similarity_score: 11.1746
hiring_manager: ugh123; similarity_score: 11.1340
hiring_manager: burnout1540; similarity_score: 11.0929
hiring_manager: jkoc; similarity_score: 11.0776
hiring_manager: Bahamut; similarity_score: 10.9012
hiring_manager: biggitybones; similarity_score: 10.8765
hiring_manager: svec; similarity_score: 10.8707
hiring_manager: iis_zephyr; similarity_score: 10.8675
hiring_manager: edent; similarity_score: 10.8559
hiring_manager: mburst; similarity_score: 10.8333
hiring_manager: ogennadi; similarity_score: 10.8108
hiring_manager: scottaj2; similarity_score: 10.7837
hiring_manager: noobuser123; similarity_score: 10.7717
hiring_manager: JJMalina; similarity_score: 10.7608
hiring_manager: geori; similarity_score: 10.7588
hiring_manager: gnidan; similarity_score: 10.7561
hiring_manager: jakestein; similarity_score: 10.7360
hiring_manager: meritt; similarity_score: 10.6703
hiring_manager: spot; similarity_score: 10.6583
hiring_manager: diego; similarity_score: 10.6371
hiring_manager: davidw; similarity_score: 10.6239
hiring_manager: hglaser; similarity_score: 10.6035
hiring_manager: bootstraponline; similarity_score: 10.5580
hiring_manager: fheisler; similarity_score: 10.4891
hiring_manager: eugeneiiim; similarity_score: 10.4815
hiring_manager: arobbins; similarity_score: 10.4500
hiring_manager: tianyicui; similarity_score: 10.3896
hiring_manager: mateodelnorte; similarity_score: 10.3750
hiring_manager: zaidos; similarity_score: 10.3631
hiring_manager: neftaly; similarity_score: 10.3448
hiring_manager: AaronLasseigne; similarity_score: 10.3008
hiring_manager: k1w1; similarity_score: 10.2857
hiring_manager: woodhull; similarity_score: 10.2120
hiring_manager: jasoncrawford; similarity_score: 10.2081
hiring_manager: pohungc; similarity_score: 10.0313
hiring_manager: mbesto; similarity_score: 9.99572
hiring_manager: matm; similarity_score: 9.98650
hiring_manager: andrewmb; similarity_score: 9.90338
hiring_manager: the_gigi; similarity_score: 9.83606
hiring_manager: azinman2; similarity_score: 9.75336
hiring_manager: kmano8; similarity_score: 9.71659
hiring_manager: swampthing; similarity_score: 9.69479
hiring_manager: azth; similarity_score: 9.67869
hiring_manager: chrisduesing; similarity_score: 9.67032
hiring_manager: waseems; similarity_score: 9.64102
hiring_manager: sridevizarin; similarity_score: 9.57876
hiring_manager: tobinharris; similarity_score: 9.55056
hiring_manager: paulc; similarity_score: 9.54243
hiring_manager: ashleyjohn; similarity_score: 9.51638
hiring_manager: brendan_gill; similarity_score: 9.46478
hiring_manager: Gyffindor; similarity_score: 9.46215
hiring_manager: Symbol; similarity_score: 9.42408
hiring_manager: austinhallock; similarity_score: 9.41402
hiring_manager: EmilLondon; similarity_score: 9.39393
hiring_manager: rrpadhy; similarity_score: 9.36639
hiring_manager: oms1005; similarity_score: 9.32918
hiring_manager: fortpoint; similarity_score: 9.31537
hiring_manager: hseikaly; similarity_score: 9.30674
hiring_manager: st8machine; similarity_score: 9.27536
hiring_manager: thethimble; similarity_score: 9.26594
hiring_manager: sparkman55; similarity_score: 9.21052
hiring_manager: snowmaker; similarity_score: 9.19642
hiring_manager: tharshan09; similarity_score: 9.15942
hiring_manager: YelpEngineering; similarity_score: 9.10917
hiring_manager: loganfrederick; similarity_score: 9.06200
hiring_manager: damon_c; similarity_score: 9.01162
hiring_manager: gsastry; similarity_score: 8.97920
hiring_manager: meaydinli; similarity_score: 8.92465
hiring_manager: sethbannon; similarity_score: 8.90820
hiring_manager: conversica; similarity_score: 8.90302
hiring_manager: zacharycohn; similarity_score: 8.88888
hiring_manager: BMarkmann; similarity_score: 8.88638
hiring_manager: santiycr; similarity_score: 8.81226
hiring_manager: jarmitage; similarity_score: 8.79326
hiring_manager: Andrew_Metail; similarity_score: 8.77192
hiring_manager: vaxtrac; similarity_score: 8.73397
hiring_manager: ejdyksen; similarity_score: 8.68571
hiring_manager: mattnguyen; similarity_score: 8.64197
hiring_manager: mrw34; similarity_score: 8.62676
hiring_manager: bostik; similarity_score: 8.60655
hiring_manager: JangoSteve; similarity_score: 8.48310
hiring_manager: bostonpete; similarity_score: 8.48056
hiring_manager: Clairesheng; similarity_score: 8.45824
hiring_manager: breckognize; similarity_score: 8.44062
hiring_manager: pwman; similarity_score: 8.42105
hiring_manager: boyd; similarity_score: 8.40224
hiring_manager: kdavari; similarity_score: 8.39160
hiring_manager: d0m; similarity_score: 8.38756
hiring_manager: mikebabineau; similarity_score: 8.38052
hiring_manager: blakeweb; similarity_score: 8.36697
hiring_manager: ILIKEPONIES; similarity_score: 8.35680
hiring_manager: propellerhat; similarity_score: 8.34670
hiring_manager: Theranos; similarity_score: 8.34621
hiring_manager: lightningstorm; similarity_score: 8.33695
hiring_manager: deepsearch; similarity_score: 8.27067
hiring_manager: ljlolel; similarity_score: 8.25958
hiring_manager: sam; similarity_score: 8.18452
hiring_manager: ehberger; similarity_score: 8.17518
hiring_manager: minichate; similarity_score: 8.17417
hiring_manager: geverett; similarity_score: 8.11455
hiring_manager: feverishaaron; similarity_score: 8.08823
hiring_manager: antoviaque; similarity_score: 8.02501
hiring_manager: conorgil145; similarity_score: 7.99724
hiring_manager: noahbrier; similarity_score: 7.92410
hiring_manager: petrosagg; similarity_score: 7.88732
hiring_manager: alexthornton; similarity_score: 7.79220
hiring_manager: Blackthorn; similarity_score: 7.66961
hiring_manager: ncbk12; similarity_score: 7.65268
hiring_manager: mapdock; similarity_score: 7.64044
hiring_manager: paradox95; similarity_score: 7.61245
hiring_manager: PhantomPhreak; similarity_score: 7.58570
hiring_manager: bsnyder; similarity_score: 7.58455
hiring_manager: cwhiten; similarity_score: 7.46153
hiring_manager: courtneypowell; similarity_score: 7.34753
hiring_manager: dannysu; similarity_score: 7.27848
hiring_manager: capkutay; similarity_score: 7.18349
hiring_manager: andrewforee; similarity_score: 7.05289
hiring_manager: brandonthejames; similarity_score: 6.88007
hiring_manager: asolove; similarity_score: 6.84632
hiring_manager: bambootalent; similarity_score: 6.72268
hiring_manager: realdlee; similarity_score: 6.69240
hiring_manager: alexk; similarity_score: 6.63176
hiring_manager: jennifer_scroll; similarity_score: 6.50337
hiring_manager: kcrossisec; similarity_score: 6.5
hiring_manager: greattypo; similarity_score: 6.42570
hiring_manager: atto; similarity_score: 6.40226
hiring_manager: kenrose; similarity_score: 6.36537
hiring_manager: jnenglish; similarity_score: 6.33451
hiring_manager: jhdavids8; similarity_score: 6.21301
hiring_manager: shedd; similarity_score: 6.17011
hiring_manager: martinshen; similarity_score: 6.15097
hiring_manager: cairo140; similarity_score: 6.14995
hiring_manager: tqn; similarity_score: 6.13953
hiring_manager: jjarmoc; similarity_score: 6.10795
hiring_manager: rprovey; similarity_score: 6.05427
hiring_manager: rchiba; similarity_score: 6.01202
hiring_manager: pensieri; similarity_score: 6.00171
hiring_manager: bohnej; similarity_score: 5.94795
hiring_manager: arach; similarity_score: 5.88235
hiring_manager: yonibaciu1; similarity_score: 5.82524
hiring_manager: jonbischke; similarity_score: 5.79710
hiring_manager: sb_ba; similarity_score: 5.78693
hiring_manager: jasonparekh; similarity_score: 5.71198
hiring_manager: nikhaldi; similarity_score: 5.70365
hiring_manager: djyoo; similarity_score: 5.62719
hiring_manager: jontonsoup; similarity_score: 5.44707
hiring_manager: makmanalp; similarity_score: 5.40080
hiring_manager: squirrel; similarity_score: 5.25451
hiring_manager: chrchr; similarity_score: 5.25316
hiring_manager: JayNeely; similarity_score: 5.15907
hiring_manager: ben336; similarity_score: 4.90894
hiring_manager: michaelhoffman; similarity_score: 4.79862
hiring_manager: wiredd; similarity_score: 4.73559
hiring_manager: bjelkeman-again; similarity_score: 4.63096
hiring_manager: JimboOmega; similarity_score: 4.56730
hiring_manager: ddtruong17; similarity_score: 4.56054
hiring_manager: sqs; similarity_score: 4.55192
hiring_manager: spang; similarity_score: 4.53622
hiring_manager: brendankemp; similarity_score: 4.44800
hiring_manager: smikhanov; similarity_score: 4.28134
hiring_manager: klochner; similarity_score: 4.19161
hiring_manager: helloshow; similarity_score: 4.13436
hiring_manager: BWStearns; similarity_score: 3.89461
hiring_manager: curiousDog; similarity_score: 3.88349
hiring_manager: rvivek; similarity_score: 3.85356
hiring_manager: bitcrusher; similarity_score: 3.79310
hiring_manager: _br; similarity_score: 3.76084
hiring_manager: blo; similarity_score: 3.56506
hiring_manager: frabrunelle; similarity_score: 3.55384
hiring_manager: daveoflynn; similarity_score: 3.06073
hiring_manager: dh0913; similarity_score: 2.69106
hiring_manager: namelezz; similarity_score: 0.0
