hiring_manager: wdewind; similarity_score: 0.24523
hiring_manager: makmanalp; similarity_score: 0.12522
hiring_manager: timanglade; similarity_score: 0.125
hiring_manager: brendankemp; similarity_score: 0.12014
hiring_manager: Cyranix; similarity_score: 0.11071
hiring_manager: kbar13; similarity_score: 0.10833
hiring_manager: miles932; similarity_score: 0.10476
hiring_manager: vaughnd; similarity_score: 0.09999
hiring_manager: petrosagg; similarity_score: 0.09761
hiring_manager: rrpadhy; similarity_score: 0.09642
hiring_manager: HeyLaughingBoy; similarity_score: 0.08928
hiring_manager: jerematasno; similarity_score: 0.08690
hiring_manager: joshcanhelp; similarity_score: 0.08571
hiring_manager: tobinharris; similarity_score: 0.08333
hiring_manager: siscia; similarity_score: 0.08214
hiring_manager: ljlolel; similarity_score: 0.08095
hiring_manager: frabrunelle; similarity_score: 0.07963
hiring_manager: fuckthepoor; similarity_score: 0.07857
hiring_manager: hrehhf; similarity_score: 0.07380
hiring_manager: BillFranklin; similarity_score: 0.06904
hiring_manager: grinich; similarity_score: 0.06785
hiring_manager: plaban123; similarity_score: 0.06428
hiring_manager: khwang; similarity_score: 0.06309
hiring_manager: nathanwdavis; similarity_score: 0.06071
hiring_manager: curiousDog; similarity_score: 0.05833
hiring_manager: sid6376; similarity_score: 0.05714
hiring_manager: Caleb_Smith; similarity_score: 0.05476
hiring_manager: OpenDrapery; similarity_score: 0.05000
hiring_manager: ogennadi; similarity_score: 0.04642
hiring_manager: fapjacks; similarity_score: 0.04523
hiring_manager: siddarthd2919; similarity_score: 0.04404
hiring_manager: papaonlegs; similarity_score: 0.04166
hiring_manager: metaobject; similarity_score: 0.04047
hiring_manager: neftaly; similarity_score: 0.03928
hiring_manager: xasos; similarity_score: 0.03333
hiring_manager: bostonpete; similarity_score: 0.03095
hiring_manager: zacharycohn; similarity_score: 0.01785
hiring_manager: bohnej; similarity_score: 0.01666
hiring_manager: deepsearch; similarity_score: 0.01309
hiring_manager: namelezz; similarity_score: 0.0
