hiring_manager: lbo; similarity_score: 0.24864
hiring_manager: mapdock; similarity_score: 0.17411
hiring_manager: sqs; similarity_score: 0.17367
hiring_manager: hseikaly; similarity_score: 0.17341
hiring_manager: zerr; similarity_score: 0.17297
hiring_manager: _br; similarity_score: 0.17207
hiring_manager: daveoflynn; similarity_score: 0.17156
hiring_manager: swampthing; similarity_score: 0.17131
hiring_manager: manpageman; similarity_score: 0.17117
hiring_manager: martinshen; similarity_score: 0.17080
hiring_manager: Equiet; similarity_score: 0.17021
hiring_manager: zaidos; similarity_score: 0.16974
hiring_manager: eric_romo; similarity_score: 0.16946
hiring_manager: carlatqueue; similarity_score: 0.16936
hiring_manager: annalewis7; similarity_score: 0.16931
hiring_manager: gsastry; similarity_score: 0.16926
hiring_manager: meritt; similarity_score: 0.16924
hiring_manager: sb_ba; similarity_score: 0.16831
hiring_manager: snowmaker; similarity_score: 0.16826
hiring_manager: Synergyse; similarity_score: 0.16790
hiring_manager: woodhull; similarity_score: 0.16780
hiring_manager: matm; similarity_score: 0.16768
hiring_manager: tqn; similarity_score: 0.16622
hiring_manager: kmano8; similarity_score: 0.16615
hiring_manager: oms1005; similarity_score: 0.16583
hiring_manager: timanglade; similarity_score: 0.16576
hiring_manager: ILIKEPONIES; similarity_score: 0.16479
hiring_manager: bbeck; similarity_score: 0.16417
hiring_manager: brandonthejames; similarity_score: 0.16376
hiring_manager: jennifer_scroll; similarity_score: 0.16374
hiring_manager: shedd; similarity_score: 0.16335
hiring_manager: tair; similarity_score: 0.16297
hiring_manager: jarmitage; similarity_score: 0.16250
hiring_manager: rasengan; similarity_score: 0.16249
hiring_manager: andrewmb; similarity_score: 0.16230
hiring_manager: michaelhoffman; similarity_score: 0.16161
hiring_manager: the_gigi; similarity_score: 0.16054
hiring_manager: lightningstorm; similarity_score: 0.15966
hiring_manager: geverett; similarity_score: 0.15855
hiring_manager: mbesto; similarity_score: 0.15819
hiring_manager: frb; similarity_score: 0.15675
hiring_manager: cairo140; similarity_score: 0.15620
hiring_manager: vaxtrac; similarity_score: 0.15573
hiring_manager: murtza; similarity_score: 0.15495
hiring_manager: alexthornton; similarity_score: 0.15488
hiring_manager: paulc; similarity_score: 0.15421
hiring_manager: gnidan; similarity_score: 0.15419
hiring_manager: Cyranix; similarity_score: 0.15315
hiring_manager: azth; similarity_score: 0.15313
hiring_manager: jasonparekh; similarity_score: 0.15239
hiring_manager: andrewforee; similarity_score: 0.15232
hiring_manager: JimboOmega; similarity_score: 0.15216
hiring_manager: cwhiten; similarity_score: 0.15095
hiring_manager: ejdyksen; similarity_score: 0.14767
hiring_manager: blakeweb; similarity_score: 0.14696
hiring_manager: minichate; similarity_score: 0.14684
hiring_manager: kbar13; similarity_score: 0.14594
hiring_manager: jhdavids8; similarity_score: 0.14577
hiring_manager: courtneypowell; similarity_score: 0.14430
hiring_manager: capkutay; similarity_score: 0.14352
hiring_manager: jjarmoc; similarity_score: 0.14291
hiring_manager: JangoSteve; similarity_score: 0.14285
hiring_manager: bsnyder; similarity_score: 0.14146
hiring_manager: bambootalent; similarity_score: 0.14134
hiring_manager: miles932; similarity_score: 0.14054
hiring_manager: jnenglish; similarity_score: 0.14050
hiring_manager: ncbk12; similarity_score: 0.13763
hiring_manager: DustinCalim; similarity_score: 0.13693
hiring_manager: rchiba; similarity_score: 0.13654
hiring_manager: conorgil145; similarity_score: 0.13643
hiring_manager: spang; similarity_score: 0.13597
hiring_manager: bitcrusher; similarity_score: 0.13421
hiring_manager: boyd; similarity_score: 0.13367
hiring_manager: rrpadhy; similarity_score: 0.13153
hiring_manager: chrchr; similarity_score: 0.13115
hiring_manager: petrosagg; similarity_score: 0.12432
hiring_manager: st8machine; similarity_score: 0.12252
hiring_manager: pensieri; similarity_score: 0.12176
hiring_manager: tobinharris; similarity_score: 0.12072
hiring_manager: greattypo; similarity_score: 0.12039
hiring_manager: atto; similarity_score: 0.11847
hiring_manager: HeyLaughingBoy; similarity_score: 0.11711
hiring_manager: fuckthepoor; similarity_score: 0.11531
hiring_manager: helloshow; similarity_score: 0.11009
hiring_manager: ljlolel; similarity_score: 0.10990
hiring_manager: hrehhf; similarity_score: 0.10810
hiring_manager: joshcanhelp; similarity_score: 0.10270
hiring_manager: BWStearns; similarity_score: 0.10194
hiring_manager: smikhanov; similarity_score: 0.10090
hiring_manager: ddtruong17; similarity_score: 0.10042
hiring_manager: grinich; similarity_score: 0.09729
hiring_manager: makmanalp; similarity_score: 0.09577
hiring_manager: plaban123; similarity_score: 0.09369
hiring_manager: brendankemp; similarity_score: 0.09100
hiring_manager: fourier; similarity_score: 0.09009
hiring_manager: nathanwdavis; similarity_score: 0.08828
hiring_manager: quinthar; similarity_score: 0.08468
hiring_manager: BillFranklin; similarity_score: 0.08288
hiring_manager: curiousDog; similarity_score: 0.08108
hiring_manager: Caleb_Smith; similarity_score: 0.07927
hiring_manager: sid6376; similarity_score: 0.07747
hiring_manager: OpenDrapery; similarity_score: 0.07567
hiring_manager: ogennadi; similarity_score: 0.06486
hiring_manager: siddarthd2919; similarity_score: 0.05945
hiring_manager: frabrunelle; similarity_score: 0.05932
hiring_manager: neftaly; similarity_score: 0.05765
hiring_manager: xasos; similarity_score: 0.04864
hiring_manager: bostonpete; similarity_score: 0.04324
hiring_manager: zacharycohn; similarity_score: 0.02702
hiring_manager: bohnej; similarity_score: 0.02342
hiring_manager: deepsearch; similarity_score: 0.01981
hiring_manager: namelezz; similarity_score: 0.00360
