hiring_manager: morgante; similarity_score: 0.25460
hiring_manager: dh0913; similarity_score: 0.17779
hiring_manager: sinak; similarity_score: 0.17776
hiring_manager: jontonsoup; similarity_score: 0.17622
hiring_manager: sethbannon; similarity_score: 0.17528
hiring_manager: conversica; similarity_score: 0.17524
hiring_manager: bostik; similarity_score: 0.17501
hiring_manager: AaronLasseigne; similarity_score: 0.17467
hiring_manager: DustinCalim; similarity_score: 0.17454
hiring_manager: pandamcbonesaw; similarity_score: 0.17428
hiring_manager: antoviaque; similarity_score: 0.17427
hiring_manager: diego; similarity_score: 0.17335
hiring_manager: azinman2; similarity_score: 0.17331
hiring_manager: frb; similarity_score: 0.17202
hiring_manager: arobbins; similarity_score: 0.17163
hiring_manager: fheisler; similarity_score: 0.17129
hiring_manager: bootstraponline; similarity_score: 0.17128
hiring_manager: Cyranix; similarity_score: 0.17113
hiring_manager: sparkman55; similarity_score: 0.17083
hiring_manager: kcrossisec; similarity_score: 0.17077
hiring_manager: waseems; similarity_score: 0.17050
hiring_manager: jack7890; similarity_score: 0.16932
hiring_manager: tianyicui; similarity_score: 0.16886
hiring_manager: bjelkeman-again; similarity_score: 0.16776
hiring_manager: Gyffindor; similarity_score: 0.16714
hiring_manager: kbar13; similarity_score: 0.16701
hiring_manager: hseikaly; similarity_score: 0.16585
hiring_manager: daveoflynn; similarity_score: 0.16448
hiring_manager: mapdock; similarity_score: 0.16446
hiring_manager: gsastry; similarity_score: 0.16335
hiring_manager: iis_zephyr; similarity_score: 0.16330
hiring_manager: arach; similarity_score: 0.16293
hiring_manager: sqs; similarity_score: 0.16235
hiring_manager: _br; similarity_score: 0.16107
hiring_manager: geverett; similarity_score: 0.16082
hiring_manager: zaidos; similarity_score: 0.16075
hiring_manager: swampthing; similarity_score: 0.16066
hiring_manager: matm; similarity_score: 0.16006
hiring_manager: meritt; similarity_score: 0.15995
hiring_manager: snowmaker; similarity_score: 0.15969
hiring_manager: Synergyse; similarity_score: 0.15940
hiring_manager: bbeck; similarity_score: 0.15934
hiring_manager: miles932; similarity_score: 0.15876
hiring_manager: rfergie; similarity_score: 0.15843
hiring_manager: ILIKEPONIES; similarity_score: 0.15786
hiring_manager: tqn; similarity_score: 0.15725
hiring_manager: jarmitage; similarity_score: 0.15719
hiring_manager: oms1005; similarity_score: 0.15681
hiring_manager: brandonthejames; similarity_score: 0.15669
hiring_manager: tair; similarity_score: 0.15657
hiring_manager: kmano8; similarity_score: 0.15650
hiring_manager: martinshen; similarity_score: 0.15547
hiring_manager: woodhull; similarity_score: 0.15466
hiring_manager: michaelhoffman; similarity_score: 0.15440
hiring_manager: jennifer_scroll; similarity_score: 0.15286
hiring_manager: shedd; similarity_score: 0.15243
hiring_manager: sb_ba; similarity_score: 0.15202
hiring_manager: the_gigi; similarity_score: 0.15160
hiring_manager: murtza; similarity_score: 0.15157
hiring_manager: lightningstorm; similarity_score: 0.15136
hiring_manager: vaxtrac; similarity_score: 0.14904
hiring_manager: rrpadhy; similarity_score: 0.14845
hiring_manager: gnidan; similarity_score: 0.14743
hiring_manager: mbesto; similarity_score: 0.14669
hiring_manager: vaughnd; similarity_score: 0.14639
hiring_manager: jasonparekh; similarity_score: 0.14612
hiring_manager: cairo140; similarity_score: 0.14487
hiring_manager: andrewforee; similarity_score: 0.14480
hiring_manager: azth; similarity_score: 0.14386
hiring_manager: paulc; similarity_score: 0.14378
hiring_manager: JimboOmega; similarity_score: 0.14323
hiring_manager: minichate; similarity_score: 0.14134
hiring_manager: ejdyksen; similarity_score: 0.14092
hiring_manager: alexthornton; similarity_score: 0.14092
hiring_manager: cwhiten; similarity_score: 0.14029
hiring_manager: jhdavids8; similarity_score: 0.14005
hiring_manager: petrosagg; similarity_score: 0.13814
hiring_manager: courtneypowell; similarity_score: 0.13660
hiring_manager: blakeweb; similarity_score: 0.13643
hiring_manager: capkutay; similarity_score: 0.13570
hiring_manager: jjarmoc; similarity_score: 0.13354
hiring_manager: JangoSteve; similarity_score: 0.13335
hiring_manager: bambootalent; similarity_score: 0.13330
hiring_manager: jnenglish; similarity_score: 0.13228
hiring_manager: HeyLaughingBoy; similarity_score: 0.13195
hiring_manager: ncbk12; similarity_score: 0.13114
hiring_manager: Blackthorn; similarity_score: 0.12989
hiring_manager: spang; similarity_score: 0.12893
hiring_manager: tobinharris; similarity_score: 0.12783
hiring_manager: bsnyder; similarity_score: 0.12761
hiring_manager: bitcrusher; similarity_score: 0.12741
hiring_manager: conorgil145; similarity_score: 0.12736
hiring_manager: rchiba; similarity_score: 0.12632
hiring_manager: unclesaamm; similarity_score: 0.12577
hiring_manager: boyd; similarity_score: 0.12463
hiring_manager: chrchr; similarity_score: 0.12289
hiring_manager: ljlolel; similarity_score: 0.11958
hiring_manager: fuckthepoor; similarity_score: 0.11752
hiring_manager: atto; similarity_score: 0.11389
hiring_manager: joshcanhelp; similarity_score: 0.11340
hiring_manager: pensieri; similarity_score: 0.11282
hiring_manager: greattypo; similarity_score: 0.11265
hiring_manager: grinich; similarity_score: 0.10721
hiring_manager: plaban123; similarity_score: 0.10309
hiring_manager: helloshow; similarity_score: 0.10235
hiring_manager: nathanwdavis; similarity_score: 0.10103
hiring_manager: khwang; similarity_score: 0.09896
hiring_manager: BWStearns; similarity_score: 0.09318
hiring_manager: sid6376; similarity_score: 0.09278
hiring_manager: BillFranklin; similarity_score: 0.09072
hiring_manager: ddtruong17; similarity_score: 0.09056
hiring_manager: makmanalp; similarity_score: 0.08902
hiring_manager: fractalsea; similarity_score: 0.08865
hiring_manager: quinthar; similarity_score: 0.08659
hiring_manager: Caleb_Smith; similarity_score: 0.08453
hiring_manager: brendankemp; similarity_score: 0.08298
hiring_manager: ogennadi; similarity_score: 0.07422
hiring_manager: fapjacks; similarity_score: 0.07010
hiring_manager: siddarthd2919; similarity_score: 0.06804
hiring_manager: metaobject; similarity_score: 0.06597
hiring_manager: neftaly; similarity_score: 0.06391
hiring_manager: bostonpete; similarity_score: 0.05360
hiring_manager: frabrunelle; similarity_score: 0.05350
hiring_manager: zacharycohn; similarity_score: 0.02886
hiring_manager: bohnej; similarity_score: 0.02680
hiring_manager: deepsearch; similarity_score: 0.02061
hiring_manager: namelezz; similarity_score: 0.0
