hiring_manager: milewska; similarity_score: 30.3333
hiring_manager: ncbk12; similarity_score: 8.50914
hiring_manager: makmanalp; similarity_score: 8.03478
hiring_manager: azinman2; similarity_score: 7.95811
hiring_manager: rchiba; similarity_score: 7.88461
hiring_manager: BWStearns; similarity_score: 7.88243
hiring_manager: conversica; similarity_score: 7.84898
hiring_manager: conorgil145; similarity_score: 7.73042
hiring_manager: helloshow; similarity_score: 7.60760
hiring_manager: jhmaddox; similarity_score: 7.58959
hiring_manager: mapdock; similarity_score: 7.57124
hiring_manager: brendankemp; similarity_score: 7.54348
hiring_manager: jennifer_scroll; similarity_score: 7.53809
hiring_manager: sridevizarin; similarity_score: 7.42334
hiring_manager: loganfrederick; similarity_score: 7.22543
hiring_manager: brandonthejames; similarity_score: 7.03019
hiring_manager: cwc22; similarity_score: 6.99865
hiring_manager: alphast0rm; similarity_score: 6.99062
hiring_manager: artursapek; similarity_score: 6.77637
hiring_manager: vonnik; similarity_score: 6.77382
hiring_manager: davidshariff; similarity_score: 6.74846
hiring_manager: noahbrier; similarity_score: 6.67361
hiring_manager: diego; similarity_score: 6.61728
hiring_manager: thethimble; similarity_score: 6.59955
hiring_manager: Mynar; similarity_score: 6.49762
hiring_manager: baran; similarity_score: 6.18892
hiring_manager: bohnej; similarity_score: 6.07594
hiring_manager: zacharycohn; similarity_score: 6.06060
hiring_manager: bostonpete; similarity_score: 5.86797
hiring_manager: cairo140; similarity_score: 5.84
hiring_manager: xasos; similarity_score: 5.83941
hiring_manager: DustinCalim; similarity_score: 5.80021
hiring_manager: kcrossisec; similarity_score: 5.64440
hiring_manager: deepsearch; similarity_score: 5.61224
hiring_manager: antoviaque; similarity_score: 5.47677
hiring_manager: _br; similarity_score: 5.27272
hiring_manager: ljlolel; similarity_score: 5.16129
hiring_manager: djyoo; similarity_score: 4.80349
hiring_manager: ddtruong17; similarity_score: 4.69524
hiring_manager: snowmaker; similarity_score: 4.56466
hiring_manager: yesimahuman; similarity_score: 3.83463
hiring_manager: greattypo; similarity_score: 3.76522
hiring_manager: frabrunelle; similarity_score: 3.61916
hiring_manager: namelezz; similarity_score: 0.0
