hiring_manager: joanatello; similarity_score: 0.25029
hiring_manager: pandamcbonesaw; similarity_score: 0.19218
hiring_manager: waseems; similarity_score: 0.19174
hiring_manager: bostik; similarity_score: 0.19151
hiring_manager: beaverfox; similarity_score: 0.19097
hiring_manager: Clairesheng; similarity_score: 0.19094
hiring_manager: antoviaque; similarity_score: 0.19050
hiring_manager: arobbins; similarity_score: 0.19010
hiring_manager: paradox95; similarity_score: 0.18954
hiring_manager: manpageman; similarity_score: 0.18923
hiring_manager: nschuett; similarity_score: 0.18918
hiring_manager: lsee; similarity_score: 0.18914
hiring_manager: conversica; similarity_score: 0.18872
hiring_manager: kcrossisec; similarity_score: 0.18853
hiring_manager: EmilLondon; similarity_score: 0.18840
hiring_manager: tianyicui; similarity_score: 0.18832
hiring_manager: ivanzhao; similarity_score: 0.1875
hiring_manager: rprovey; similarity_score: 0.18663
hiring_manager: AaronLasseigne; similarity_score: 0.18640
hiring_manager: milewska; similarity_score: 0.18576
hiring_manager: bootstraponline; similarity_score: 0.18569
hiring_manager: jontonsoup; similarity_score: 0.18568
hiring_manager: dbuxton; similarity_score: 0.18512
hiring_manager: JJMalina; similarity_score: 0.18485
hiring_manager: jszumski; similarity_score: 0.18481
hiring_manager: sparkman55; similarity_score: 0.18477
hiring_manager: azinman2; similarity_score: 0.18443
hiring_manager: greenjellybean; similarity_score: 0.18402
hiring_manager: justhw; similarity_score: 0.18229
hiring_manager: robg; similarity_score: 0.18151
hiring_manager: toreriklinnerud; similarity_score: 0.18055
hiring_manager: fchollet; similarity_score: 0.18032
hiring_manager: bjelkeman-again; similarity_score: 0.17986
hiring_manager: _br; similarity_score: 0.17976
hiring_manager: kiyoto; similarity_score: 0.17932
hiring_manager: zaidos; similarity_score: 0.17873
hiring_manager: Gyffindor; similarity_score: 0.17798
hiring_manager: gsastry; similarity_score: 0.17786
hiring_manager: hseikaly; similarity_score: 0.17774
hiring_manager: sqs; similarity_score: 0.17745
hiring_manager: dalys; similarity_score: 0.17708
hiring_manager: arach; similarity_score: 0.17699
hiring_manager: daveoflynn; similarity_score: 0.17647
hiring_manager: yegg; similarity_score: 0.17534
hiring_manager: iis_zephyr; similarity_score: 0.17467
hiring_manager: samingrassia; similarity_score: 0.17441
hiring_manager: snowmaker; similarity_score: 0.17279
hiring_manager: swampthing; similarity_score: 0.17232
hiring_manager: Synergyse; similarity_score: 0.17215
hiring_manager: rasengan; similarity_score: 0.17187
hiring_manager: encore2097; similarity_score: 0.17109
hiring_manager: tqn; similarity_score: 0.17097
hiring_manager: tair; similarity_score: 0.17085
hiring_manager: mapdock; similarity_score: 0.17055
hiring_manager: zerr; similarity_score: 0.17013
hiring_manager: meritt; similarity_score: 0.16976
hiring_manager: eric_romo; similarity_score: 0.16946
hiring_manager: jarmitage; similarity_score: 0.16941
hiring_manager: matm; similarity_score: 0.16920
hiring_manager: oms1005; similarity_score: 0.16883
hiring_manager: frb; similarity_score: 0.16840
hiring_manager: kmano8; similarity_score: 0.16819
hiring_manager: ILIKEPONIES; similarity_score: 0.16746
hiring_manager: woodhull; similarity_score: 0.16731
hiring_manager: brandonthejames; similarity_score: 0.16702
hiring_manager: martinshen; similarity_score: 0.16657
hiring_manager: shedd; similarity_score: 0.16633
hiring_manager: michaelhoffman; similarity_score: 0.16546
hiring_manager: jennifer_scroll; similarity_score: 0.16516
hiring_manager: bbeck; similarity_score: 0.16513
hiring_manager: rememberlenny; similarity_score: 0.16493
hiring_manager: sb_ba; similarity_score: 0.16485
hiring_manager: lightningstorm; similarity_score: 0.16406
hiring_manager: timanglade; similarity_score: 0.16145
hiring_manager: cairo140; similarity_score: 0.15998
hiring_manager: azth; similarity_score: 0.15975
hiring_manager: geverett; similarity_score: 0.15972
hiring_manager: paulc; similarity_score: 0.15942
hiring_manager: vaxtrac; similarity_score: 0.15930
hiring_manager: the_gigi; similarity_score: 0.15913
hiring_manager: jasonparekh; similarity_score: 0.15912
hiring_manager: marybheine; similarity_score: 0.15806
hiring_manager: gnidan; similarity_score: 0.15734
hiring_manager: andrewforee; similarity_score: 0.15702
hiring_manager: mbesto; similarity_score: 0.15675
hiring_manager: blakeweb; similarity_score: 0.15546
hiring_manager: ejdyksen; similarity_score: 0.15443
hiring_manager: cwhiten; similarity_score: 0.15351
hiring_manager: alexthornton; similarity_score: 0.15319
hiring_manager: JimboOmega; similarity_score: 0.14993
hiring_manager: jhdavids8; similarity_score: 0.14985
hiring_manager: courtneypowell; similarity_score: 0.14876
hiring_manager: ncbk12; similarity_score: 0.14738
hiring_manager: minichate; similarity_score: 0.14727
hiring_manager: bambootalent; similarity_score: 0.14684
hiring_manager: JangoSteve; similarity_score: 0.14641
hiring_manager: DustinCalim; similarity_score: 0.14583
hiring_manager: jnenglish; similarity_score: 0.14520
hiring_manager: jjarmoc; similarity_score: 0.14486
hiring_manager: capkutay; similarity_score: 0.14430
hiring_manager: kbar13; similarity_score: 0.14409
hiring_manager: spang; similarity_score: 0.14375
hiring_manager: Cyranix; similarity_score: 0.14236
hiring_manager: bsnyder; similarity_score: 0.14146
hiring_manager: conorgil145; similarity_score: 0.14096
hiring_manager: bitcrusher; similarity_score: 0.14026
hiring_manager: andrewmb; similarity_score: 0.13888
hiring_manager: rchiba; similarity_score: 0.13691
hiring_manager: boyd; similarity_score: 0.13656
hiring_manager: chrchr; similarity_score: 0.13425
hiring_manager: rrpadhy; similarity_score: 0.13368
hiring_manager: vaughnd; similarity_score: 0.13194
hiring_manager: greattypo; similarity_score: 0.12596
hiring_manager: pensieri; similarity_score: 0.12453
hiring_manager: atto; similarity_score: 0.12335
hiring_manager: st8machine; similarity_score: 0.11979
hiring_manager: HeyLaughingBoy; similarity_score: 0.11631
hiring_manager: helloshow; similarity_score: 0.11424
hiring_manager: tobinharris; similarity_score: 0.11284
hiring_manager: Blackthorn; similarity_score: 0.11111
hiring_manager: unclesaamm; similarity_score: 0.10763
hiring_manager: hrehhf; similarity_score: 0.10590
hiring_manager: BWStearns; similarity_score: 0.10437
hiring_manager: fuckthepoor; similarity_score: 0.10416
hiring_manager: ljlolel; similarity_score: 0.10069
hiring_manager: ddtruong17; similarity_score: 0.10042
hiring_manager: makmanalp; similarity_score: 0.09959
hiring_manager: smikhanov; similarity_score: 0.09722
hiring_manager: brendankemp; similarity_score: 0.09396
hiring_manager: BillFranklin; similarity_score: 0.09027
hiring_manager: fourier; similarity_score: 0.08854
hiring_manager: plaban123; similarity_score: 0.08680
hiring_manager: nathanwdavis; similarity_score: 0.08333
hiring_manager: sid6376; similarity_score: 0.08159
hiring_manager: curiousDog; similarity_score: 0.07812
hiring_manager: quinthar; similarity_score: 0.07465
hiring_manager: fractalsea; similarity_score: 0.07291
hiring_manager: Caleb_Smith; similarity_score: 0.07118
hiring_manager: fapjacks; similarity_score: 0.06423
hiring_manager: ogennadi; similarity_score: 0.0625
hiring_manager: frabrunelle; similarity_score: 0.06019
hiring_manager: papaonlegs; similarity_score: 0.05902
hiring_manager: metaobject; similarity_score: 0.05555
hiring_manager: siddarthd2919; similarity_score: 0.05381
hiring_manager: xasos; similarity_score: 0.04861
hiring_manager: bostonpete; similarity_score: 0.04513
hiring_manager: zacharycohn; similarity_score: 0.02604
hiring_manager: bohnej; similarity_score: 0.02430
hiring_manager: deepsearch; similarity_score: 0.01909
hiring_manager: namelezz; similarity_score: 0.0
