hiring_manager: chrisduesing; similarity_score: 0.25945
hiring_manager: vonnik; similarity_score: 0.23291
hiring_manager: kscottz; similarity_score: 0.23285
hiring_manager: conversica; similarity_score: 0.23284
hiring_manager: Bahamut; similarity_score: 0.23279
hiring_manager: pashabitz; similarity_score: 0.23272
hiring_manager: fortpoint; similarity_score: 0.23248
hiring_manager: lsee; similarity_score: 0.23220
hiring_manager: davidshariff; similarity_score: 0.23218
hiring_manager: sethbannon; similarity_score: 0.23203
hiring_manager: kcrossisec; similarity_score: 0.23151
hiring_manager: sridevizarin; similarity_score: 0.23139
hiring_manager: EmilLondon; similarity_score: 0.23130
hiring_manager: jhmaddox; similarity_score: 0.23128
hiring_manager: rprovey; similarity_score: 0.23118
hiring_manager: mrbird; similarity_score: 0.23109
hiring_manager: kefeizhou; similarity_score: 0.23096
hiring_manager: antoviaque; similarity_score: 0.23076
hiring_manager: xiongww; similarity_score: 0.23061
hiring_manager: noobuser123; similarity_score: 0.23027
hiring_manager: YelpEngineering; similarity_score: 0.23021
hiring_manager: encore2097; similarity_score: 0.22971
hiring_manager: salar; similarity_score: 0.22955
hiring_manager: grydstedt; similarity_score: 0.22941
hiring_manager: darrenkopp; similarity_score: 0.22933
hiring_manager: myom; similarity_score: 0.22908
hiring_manager: BMarkmann; similarity_score: 0.22849
hiring_manager: Andrew_Metail; similarity_score: 0.22822
hiring_manager: ben336; similarity_score: 0.22817
hiring_manager: nikhaldi; similarity_score: 0.22754
hiring_manager: loganfrederick; similarity_score: 0.22731
hiring_manager: dangoldin; similarity_score: 0.22721
hiring_manager: noahbrier; similarity_score: 0.22706
hiring_manager: svec; similarity_score: 0.22674
hiring_manager: pandamcbonesaw; similarity_score: 0.22664
hiring_manager: davidw; similarity_score: 0.22663
hiring_manager: arobbins; similarity_score: 0.22646
hiring_manager: johnnyg; similarity_score: 0.22596
hiring_manager: bostik; similarity_score: 0.22569
hiring_manager: diego; similarity_score: 0.22566
hiring_manager: brendan_gill; similarity_score: 0.22499
hiring_manager: PhantomPhreak; similarity_score: 0.22491
hiring_manager: sinak; similarity_score: 0.22473
hiring_manager: andrewmb; similarity_score: 0.22471
hiring_manager: JayNeely; similarity_score: 0.22466
hiring_manager: cwc22; similarity_score: 0.22443
hiring_manager: mburst; similarity_score: 0.22433
hiring_manager: waseems; similarity_score: 0.22418
hiring_manager: jontonsoup; similarity_score: 0.22353
hiring_manager: wattenberger; similarity_score: 0.22347
hiring_manager: wiredd; similarity_score: 0.22332
hiring_manager: bootstraponline; similarity_score: 0.22318
hiring_manager: sparkman55; similarity_score: 0.22312
hiring_manager: JJMalina; similarity_score: 0.22271
hiring_manager: blo; similarity_score: 0.22268
hiring_manager: Theranos; similarity_score: 0.22232
hiring_manager: sqs; similarity_score: 0.22168
hiring_manager: AaronLasseigne; similarity_score: 0.22157
hiring_manager: ashleyjohn; similarity_score: 0.22103
hiring_manager: peter_mcrae; similarity_score: 0.22097
hiring_manager: lightningstorm; similarity_score: 0.22070
hiring_manager: fheisler; similarity_score: 0.22048
hiring_manager: ssk2; similarity_score: 0.22010
hiring_manager: edziubudzik; similarity_score: 0.21972
hiring_manager: escherize; similarity_score: 0.21847
hiring_manager: tqn; similarity_score: 0.21794
hiring_manager: Gyffindor; similarity_score: 0.21791
hiring_manager: axiom; similarity_score: 0.21753
hiring_manager: matm; similarity_score: 0.21747
hiring_manager: yavery; similarity_score: 0.21722
hiring_manager: arach; similarity_score: 0.21707
hiring_manager: bjelkeman-again; similarity_score: 0.21672
hiring_manager: zaidos; similarity_score: 0.21667
hiring_manager: kmano8; similarity_score: 0.21646
hiring_manager: tianyicui; similarity_score: 0.21637
hiring_manager: bowmanb; similarity_score: 0.21627
hiring_manager: hglaser; similarity_score: 0.21627
hiring_manager: iis_zephyr; similarity_score: 0.21602
hiring_manager: BGCivis; similarity_score: 0.21579
hiring_manager: RaizlabsTalent; similarity_score: 0.21568
hiring_manager: pohungc; similarity_score: 0.21473
hiring_manager: mapdock; similarity_score: 0.21370
hiring_manager: hseikaly; similarity_score: 0.21339
hiring_manager: swampthing; similarity_score: 0.21236
hiring_manager: edawerd; similarity_score: 0.21223
hiring_manager: azinman2; similarity_score: 0.21190
hiring_manager: nichol4s; similarity_score: 0.21153
hiring_manager: roybarberuk; similarity_score: 0.21098
hiring_manager: daveoflynn; similarity_score: 0.21078
hiring_manager: woodhull; similarity_score: 0.21011
hiring_manager: meritt; similarity_score: 0.21001
hiring_manager: oms1005; similarity_score: 0.20991
hiring_manager: omarish; similarity_score: 0.20967
hiring_manager: gsastry; similarity_score: 0.20956
hiring_manager: mrw34; similarity_score: 0.20885
hiring_manager: zacharypinter; similarity_score: 0.20876
hiring_manager: uwemaurer; similarity_score: 0.20848
hiring_manager: snowmaker; similarity_score: 0.20755
hiring_manager: martinshen; similarity_score: 0.20729
hiring_manager: asanwal; similarity_score: 0.20724
hiring_manager: Synergyse; similarity_score: 0.20722
hiring_manager: sidjoshi; similarity_score: 0.20673
hiring_manager: the_gigi; similarity_score: 0.20668
hiring_manager: bbeck; similarity_score: 0.20666
hiring_manager: michaelhoffman; similarity_score: 0.20634
hiring_manager: jorgecastillo; similarity_score: 0.20599
hiring_manager: _br; similarity_score: 0.20560
hiring_manager: sb_ba; similarity_score: 0.20483
hiring_manager: burnout1540; similarity_score: 0.20474
hiring_manager: shedd; similarity_score: 0.20456
hiring_manager: tair; similarity_score: 0.20384
hiring_manager: gnidan; similarity_score: 0.20333
hiring_manager: ILIKEPONIES; similarity_score: 0.20320
hiring_manager: jennifer_scroll; similarity_score: 0.20255
hiring_manager: marybheine; similarity_score: 0.20224
hiring_manager: vaxtrac; similarity_score: 0.20214
hiring_manager: jarmitage; similarity_score: 0.20180
hiring_manager: DustinCalim; similarity_score: 0.20099
hiring_manager: alexk; similarity_score: 0.20089
hiring_manager: finnh; similarity_score: 0.19975
hiring_manager: mbesto; similarity_score: 0.19942
hiring_manager: azth; similarity_score: 0.19814
hiring_manager: andrewforee; similarity_score: 0.19746
hiring_manager: cairo140; similarity_score: 0.19726
hiring_manager: feverishaaron; similarity_score: 0.19725
hiring_manager: jasonparekh; similarity_score: 0.19722
hiring_manager: joanatello; similarity_score: 0.19666
hiring_manager: brandonthejames; similarity_score: 0.19640
hiring_manager: geori; similarity_score: 0.19600
hiring_manager: retrodict; similarity_score: 0.19548
hiring_manager: mattnguyen; similarity_score: 0.19475
hiring_manager: minichate; similarity_score: 0.19466
hiring_manager: chollida1; similarity_score: 0.19434
hiring_manager: pouloum78; similarity_score: 0.19350
hiring_manager: alexthornton; similarity_score: 0.19339
hiring_manager: Mynar; similarity_score: 0.19296
hiring_manager: fuelfive; similarity_score: 0.19267
hiring_manager: choult; similarity_score: 0.19260
hiring_manager: reubendoetsch; similarity_score: 0.19225
hiring_manager: paulc; similarity_score: 0.19200
hiring_manager: JimboOmega; similarity_score: 0.19143
hiring_manager: blakeweb; similarity_score: 0.19068
hiring_manager: baran; similarity_score: 0.19008
hiring_manager: k1w1; similarity_score: 0.18976
hiring_manager: espinchi; similarity_score: 0.18851
hiring_manager: cwhiten; similarity_score: 0.18848
hiring_manager: FreshPuzzles; similarity_score: 0.18742
hiring_manager: FUSAR_rs; similarity_score: 0.18726
hiring_manager: hgrttn; similarity_score: 0.18681
hiring_manager: jhdavids8; similarity_score: 0.18660
hiring_manager: courtneypowell; similarity_score: 0.18646
hiring_manager: cjbarber; similarity_score: 0.18601
hiring_manager: capkutay; similarity_score: 0.18537
hiring_manager: emcienjobs; similarity_score: 0.18476
hiring_manager: jjarmoc; similarity_score: 0.18430
hiring_manager: bambootalent; similarity_score: 0.18408
hiring_manager: JangoSteve; similarity_score: 0.18401
hiring_manager: ejdyksen; similarity_score: 0.18396
hiring_manager: ninetax; similarity_score: 0.18352
hiring_manager: jnenglish; similarity_score: 0.18277
hiring_manager: bsnyder; similarity_score: 0.18263
hiring_manager: conorgil145; similarity_score: 0.18253
hiring_manager: lesleyann25; similarity_score: 0.18227
hiring_manager: kevinschumacher; similarity_score: 0.17977
hiring_manager: bitcrusher; similarity_score: 0.17731
hiring_manager: ugh123; similarity_score: 0.17727
hiring_manager: spang; similarity_score: 0.17636
hiring_manager: frabcus; similarity_score: 0.17602
hiring_manager: ncbk12; similarity_score: 0.17580
hiring_manager: boyd; similarity_score: 0.17521
hiring_manager: edent; similarity_score: 0.17478
hiring_manager: g06; similarity_score: 0.17228
hiring_manager: chrchr; similarity_score: 0.17108
hiring_manager: toreriklinnerud; similarity_score: 0.17103
hiring_manager: austinhallock; similarity_score: 0.16853
hiring_manager: rchiba; similarity_score: 0.16721
hiring_manager: doxcf434; similarity_score: 0.16604
hiring_manager: manpageman; similarity_score: 0.16104
hiring_manager: pensieri; similarity_score: 0.15967
hiring_manager: greattypo; similarity_score: 0.15815
hiring_manager: untilHellbanned; similarity_score: 0.15730
hiring_manager: S4M; similarity_score: 0.15605
hiring_manager: greenjellybean; similarity_score: 0.15480
hiring_manager: atto; similarity_score: 0.15114
hiring_manager: justhw; similarity_score: 0.14981
hiring_manager: helloshow; similarity_score: 0.14882
hiring_manager: dalys; similarity_score: 0.14856
hiring_manager: rememberlenny; similarity_score: 0.14357
hiring_manager: BWStearns; similarity_score: 0.13649
hiring_manager: timanglade; similarity_score: 0.13233
hiring_manager: ddtruong17; similarity_score: 0.13233
hiring_manager: geverett; similarity_score: 0.12983
hiring_manager: makmanalp; similarity_score: 0.12769
hiring_manager: brendankemp; similarity_score: 0.12415
hiring_manager: chrisbennet; similarity_score: 0.12234
hiring_manager: Cyranix; similarity_score: 0.11985
hiring_manager: kbar13; similarity_score: 0.11735
hiring_manager: miles932; similarity_score: 0.11485
hiring_manager: rrpadhy; similarity_score: 0.10736
hiring_manager: vaughnd; similarity_score: 0.09987
hiring_manager: st8machine; similarity_score: 0.09612
hiring_manager: HeyLaughingBoy; similarity_score: 0.09113
hiring_manager: Blackthorn; similarity_score: 0.08988
hiring_manager: tobinharris; similarity_score: 0.08739
hiring_manager: ljlolel; similarity_score: 0.08614
hiring_manager: fuckthepoor; similarity_score: 0.08489
hiring_manager: siscia; similarity_score: 0.08364
hiring_manager: frabrunelle; similarity_score: 0.08261
hiring_manager: unclesaamm; similarity_score: 0.08239
hiring_manager: joshcanhelp; similarity_score: 0.08114
hiring_manager: hrehhf; similarity_score: 0.07865
hiring_manager: smikhanov; similarity_score: 0.07740
hiring_manager: plaban123; similarity_score: 0.07240
hiring_manager: grinich; similarity_score: 0.07116
hiring_manager: fourier; similarity_score: 0.06866
hiring_manager: nathanwdavis; similarity_score: 0.06741
hiring_manager: BillFranklin; similarity_score: 0.06616
hiring_manager: curiousDog; similarity_score: 0.06367
hiring_manager: sid6376; similarity_score: 0.05992
hiring_manager: quinthar; similarity_score: 0.05867
hiring_manager: Caleb_Smith; similarity_score: 0.05617
hiring_manager: OpenDrapery; similarity_score: 0.05493
hiring_manager: fapjacks; similarity_score: 0.04868
hiring_manager: ogennadi; similarity_score: 0.04494
hiring_manager: papaonlegs; similarity_score: 0.04244
hiring_manager: siddarthd2919; similarity_score: 0.03995
hiring_manager: bostonpete; similarity_score: 0.03370
hiring_manager: xasos; similarity_score: 0.03245
hiring_manager: zacharycohn; similarity_score: 0.01872
hiring_manager: bohnej; similarity_score: 0.01747
hiring_manager: deepsearch; similarity_score: 0.01373
hiring_manager: namelezz; similarity_score: 0.0
