hiring_manager: darrennix; similarity_score: 27.5334
hiring_manager: Theranos; similarity_score: 16.7187
hiring_manager: burnout1540; similarity_score: 16.6944
hiring_manager: fourier; similarity_score: 16.6666
hiring_manager: uwemaurer; similarity_score: 16.5631
hiring_manager: kiyoto; similarity_score: 16.5116
hiring_manager: 7parkdata; similarity_score: 16.4028
hiring_manager: pouloum78; similarity_score: 16.2698
hiring_manager: Blackthorn; similarity_score: 16.0
hiring_manager: joanatello; similarity_score: 15.9259
hiring_manager: artursapek; similarity_score: 15.9014
hiring_manager: yegg; similarity_score: 15.8365
hiring_manager: carlatqueue; similarity_score: 15.7622
hiring_manager: sid6376; similarity_score: 15.7534
hiring_manager: DustinCalim; similarity_score: 15.6763
hiring_manager: mattnguyen; similarity_score: 15.6576
hiring_manager: PhantomPhreak; similarity_score: 15.6226
hiring_manager: jszumski; similarity_score: 15.5844
hiring_manager: jerematasno; similarity_score: 15.5688
hiring_manager: reubendoetsch; similarity_score: 15.5419
hiring_manager: emcienjobs; similarity_score: 15.3571
hiring_manager: dbuxton; similarity_score: 15.3493
hiring_manager: wattenberger; similarity_score: 15.3153
hiring_manager: baran; similarity_score: 15.2573
hiring_manager: chrisdl; similarity_score: 15.2492
hiring_manager: S4M; similarity_score: 15.1658
hiring_manager: papaonlegs; similarity_score: 15.1624
hiring_manager: jack7890; similarity_score: 15.0740
hiring_manager: g06; similarity_score: 15.0712
hiring_manager: FUSAR_rs; similarity_score: 15.0101
hiring_manager: iandanforth; similarity_score: 15.0
hiring_manager: jjnvdm; similarity_score: 14.9922
hiring_manager: fractalsea; similarity_score: 14.9659
hiring_manager: statictype; similarity_score: 14.9560
hiring_manager: salar; similarity_score: 14.8953
hiring_manager: rfergie; similarity_score: 14.8555
hiring_manager: mburst; similarity_score: 14.8397
hiring_manager: HeyLaughingBoy; similarity_score: 14.7692
hiring_manager: edawerd; similarity_score: 14.7623
hiring_manager: alphast0rm; similarity_score: 14.7144
hiring_manager: justhw; similarity_score: 14.7058
hiring_manager: sidjoshi; similarity_score: 14.7005
hiring_manager: zacharypinter; similarity_score: 14.6209
hiring_manager: vaughnd; similarity_score: 14.6198
hiring_manager: jorgecastillo; similarity_score: 14.6067
hiring_manager: matlock; similarity_score: 14.5748
hiring_manager: ben336; similarity_score: 14.4115
hiring_manager: quinthar; similarity_score: 14.2372
hiring_manager: ljlolel; similarity_score: 14.1538
hiring_manager: doxcf434; similarity_score: 14.1263
hiring_manager: annalewis7; similarity_score: 14.1089
hiring_manager: bowmanb; similarity_score: 14.0597
hiring_manager: khwang; similarity_score: 13.9534
hiring_manager: kscottz; similarity_score: 13.9362
hiring_manager: hglaser; similarity_score: 13.6963
hiring_manager: BGCivis; similarity_score: 13.6842
hiring_manager: lsee; similarity_score: 13.6631
hiring_manager: frisco; similarity_score: 13.6094
hiring_manager: ugh123; similarity_score: 13.5881
hiring_manager: clieu1; similarity_score: 13.5408
hiring_manager: encore2097; similarity_score: 13.5231
hiring_manager: soundandfeury; similarity_score: 13.4960
hiring_manager: davidw; similarity_score: 13.4812
hiring_manager: omarish; similarity_score: 13.4630
hiring_manager: choult; similarity_score: 13.4038
hiring_manager: toreriklinnerud; similarity_score: 13.2723
hiring_manager: pandamcbonesaw; similarity_score: 13.2571
hiring_manager: alexk; similarity_score: 13.2508
hiring_manager: robg; similarity_score: 13.1578
hiring_manager: fapjacks; similarity_score: 13.1487
hiring_manager: chollida1; similarity_score: 13.0929
hiring_manager: cwc22; similarity_score: 13.0757
hiring_manager: grydstedt; similarity_score: 13.0055
hiring_manager: miles932; similarity_score: 12.9943
hiring_manager: ashleyjohn; similarity_score: 12.9337
hiring_manager: nikhaldi; similarity_score: 12.8830
hiring_manager: RaizlabsTalent; similarity_score: 12.7696
hiring_manager: Bahamut; similarity_score: 12.7243
hiring_manager: drpancake; similarity_score: 12.6614
hiring_manager: wiredd; similarity_score: 12.6097
hiring_manager: lbo; similarity_score: 12.5588
hiring_manager: xasos; similarity_score: 12.5461
hiring_manager: greenjellybean; similarity_score: 12.5290
hiring_manager: darrenkopp; similarity_score: 12.4450
hiring_manager: mateodelnorte; similarity_score: 12.4293
hiring_manager: florianf; similarity_score: 12.4151
hiring_manager: peter_mcrae; similarity_score: 12.4124
hiring_manager: biggitybones; similarity_score: 12.3950
hiring_manager: jsaxton86; similarity_score: 12.3711
hiring_manager: realdlee; similarity_score: 12.3197
hiring_manager: xiongww; similarity_score: 12.2969
hiring_manager: yonibaciu1; similarity_score: 12.2672
hiring_manager: JayNeely; similarity_score: 12.1845
hiring_manager: Equiet; similarity_score: 12.1739
hiring_manager: ogennadi; similarity_score: 12.0567
hiring_manager: YelpEngineering; similarity_score: 12.0351
hiring_manager: chrisduesing; similarity_score: 11.9911
hiring_manager: pohungc; similarity_score: 11.8589
hiring_manager: knes; similarity_score: 11.8022
hiring_manager: olivercameron; similarity_score: 11.6918
hiring_manager: austinhallock; similarity_score: 11.6845
hiring_manager: Caleb_Smith; similarity_score: 11.6438
hiring_manager: edent; similarity_score: 11.6129
hiring_manager: JJMalina; similarity_score: 11.6100
hiring_manager: retrodict; similarity_score: 11.6040
hiring_manager: TheMakeA; similarity_score: 11.6030
hiring_manager: davidshariff; similarity_score: 11.5436
hiring_manager: st8machine; similarity_score: 11.4803
hiring_manager: siddarthd2919; similarity_score: 11.4695
hiring_manager: jonbischke; similarity_score: 11.4552
hiring_manager: loganfrederick; similarity_score: 11.4147
hiring_manager: Cyranix; similarity_score: 11.2600
hiring_manager: axiom; similarity_score: 11.0332
hiring_manager: cjbarber; similarity_score: 11.0220
hiring_manager: zeiler; similarity_score: 10.9375
hiring_manager: myom; similarity_score: 10.9236
hiring_manager: geori; similarity_score: 10.9055
hiring_manager: EmilLondon; similarity_score: 10.8850
hiring_manager: dannysu; similarity_score: 10.88
hiring_manager: fortpoint; similarity_score: 10.8597
hiring_manager: sam; similarity_score: 10.8270
hiring_manager: andrewmb; similarity_score: 10.8108
hiring_manager: gajomi; similarity_score: 10.7551
hiring_manager: Mynar; similarity_score: 10.6951
hiring_manager: samingrassia; similarity_score: 10.6761
hiring_manager: nschuett; similarity_score: 10.6090
hiring_manager: asolove; similarity_score: 10.5960
hiring_manager: k1w1; similarity_score: 10.5675
hiring_manager: scottaj2; similarity_score: 10.5322
hiring_manager: escherize; similarity_score: 10.5081
hiring_manager: dmritard96; similarity_score: 10.4426
hiring_manager: vonnik; similarity_score: 10.3620
hiring_manager: vtuulos; similarity_score: 10.3448
hiring_manager: sethbannon; similarity_score: 10.2900
hiring_manager: astralship; similarity_score: 10.2857
hiring_manager: asanwal; similarity_score: 10.2617
hiring_manager: yesimahuman; similarity_score: 10.2027
hiring_manager: santiycr; similarity_score: 10.1804
hiring_manager: neftaly; similarity_score: 10.1449
hiring_manager: jhmaddox; similarity_score: 10.1325
hiring_manager: Gyffindor; similarity_score: 10.1303
hiring_manager: bgriggs1; similarity_score: 10.1217
hiring_manager: bostik; similarity_score: 10.1135
hiring_manager: rvivek; similarity_score: 10.1101
hiring_manager: fchollet; similarity_score: 10.1057
hiring_manager: twymer; similarity_score: 10.0886
hiring_manager: meaydinli; similarity_score: 10.0517
hiring_manager: djyoo; similarity_score: 10.0472
hiring_manager: ivanzhao; similarity_score: 9.95962
hiring_manager: DLarsen; similarity_score: 9.95405
hiring_manager: dangoldin; similarity_score: 9.94594
hiring_manager: tobinharris; similarity_score: 9.94152
hiring_manager: d0m; similarity_score: 9.93425
hiring_manager: timanglade; similarity_score: 9.92167
hiring_manager: FreshPuzzles; similarity_score: 9.88593
hiring_manager: sciurus; similarity_score: 9.88023
hiring_manager: jlees; similarity_score: 9.87491
hiring_manager: mapdock; similarity_score: 9.85979
hiring_manager: Symbol; similarity_score: 9.77683
hiring_manager: kcrossisec; similarity_score: 9.76837
hiring_manager: jason_allen; similarity_score: 9.75609
hiring_manager: kdavari; similarity_score: 9.72644
hiring_manager: woodhull; similarity_score: 9.57771
hiring_manager: dh0913; similarity_score: 9.54446
hiring_manager: georgespencer; similarity_score: 9.52380
hiring_manager: mandoescamilla; similarity_score: 9.5
hiring_manager: martinshen; similarity_score: 9.47467
hiring_manager: ndonnellan; similarity_score: 9.46814
hiring_manager: gsiener; similarity_score: 9.44326
hiring_manager: waseems; similarity_score: 9.40082
hiring_manager: conversica; similarity_score: 9.39668
hiring_manager: AaronLasseigne; similarity_score: 9.34771
hiring_manager: bootstraponline; similarity_score: 9.31645
hiring_manager: plaban123; similarity_score: 9.24092
hiring_manager: svec; similarity_score: 9.16713
hiring_manager: espinchi; similarity_score: 9.15287
hiring_manager: hafabnew; similarity_score: 9.10290
hiring_manager: brendan_gill; similarity_score: 9.08574
hiring_manager: fuelfive; similarity_score: 9.01563
hiring_manager: sridevizarin; similarity_score: 8.95869
hiring_manager: propellerhat; similarity_score: 8.92857
hiring_manager: alexose; similarity_score: 8.90566
hiring_manager: blo; similarity_score: 8.86758
hiring_manager: blakeweb; similarity_score: 8.85282
hiring_manager: tharshan09; similarity_score: 8.76680
hiring_manager: sinak; similarity_score: 8.73634
hiring_manager: samuelbrin; similarity_score: 8.73015
hiring_manager: diego; similarity_score: 8.70026
hiring_manager: jontonsoup; similarity_score: 8.69565
hiring_manager: fheisler; similarity_score: 8.63382
hiring_manager: rrpadhy; similarity_score: 8.59598
hiring_manager: arobbins; similarity_score: 8.54611
hiring_manager: tair; similarity_score: 8.53873
hiring_manager: jdjdjd; similarity_score: 8.52017
hiring_manager: noobuser123; similarity_score: 8.50587
hiring_manager: jkoc; similarity_score: 8.50030
hiring_manager: azinman2; similarity_score: 8.47457
hiring_manager: bbeck; similarity_score: 8.39100
hiring_manager: conorgil145; similarity_score: 8.38240
hiring_manager: chrisbennet; similarity_score: 8.33333
hiring_manager: damon_c; similarity_score: 8.30860
hiring_manager: pwman; similarity_score: 8.29493
hiring_manager: BMarkmann; similarity_score: 8.27664
hiring_manager: JangoSteve; similarity_score: 8.23699
hiring_manager: petrosagg; similarity_score: 8.21114
hiring_manager: paradox95; similarity_score: 8.20633
hiring_manager: antoviaque; similarity_score: 8.18897
hiring_manager: bostonpete; similarity_score: 8.17843
hiring_manager: nichol4s; similarity_score: 8.17777
hiring_manager: freyil; similarity_score: 8.16326
hiring_manager: shedd; similarity_score: 8.15964
hiring_manager: ejdyksen; similarity_score: 8.11949
hiring_manager: Synergyse; similarity_score: 8.10174
hiring_manager: daveoflynn; similarity_score: 8.08858
hiring_manager: meritt; similarity_score: 8.07709
hiring_manager: ncbk12; similarity_score: 8.06213
hiring_manager: kmano8; similarity_score: 8.05794
hiring_manager: pashabitz; similarity_score: 7.95660
hiring_manager: tianyicui; similarity_score: 7.84708
hiring_manager: infer; similarity_score: 7.72585
hiring_manager: jakestein; similarity_score: 7.69659
hiring_manager: arach; similarity_score: 7.67807
hiring_manager: ILIKEPONIES; similarity_score: 7.65595
hiring_manager: noahbrier; similarity_score: 7.64904
hiring_manager: hseikaly; similarity_score: 7.64818
hiring_manager: squirrel; similarity_score: 7.64119
hiring_manager: alexthornton; similarity_score: 7.60368
hiring_manager: vaxtrac; similarity_score: 7.57453
hiring_manager: breckognize; similarity_score: 7.51445
hiring_manager: rprovey; similarity_score: 7.46582
hiring_manager: bjelkeman-again; similarity_score: 7.38222
hiring_manager: azth; similarity_score: 7.33944
hiring_manager: kenrose; similarity_score: 7.32177
hiring_manager: mikebabineau; similarity_score: 7.30593
hiring_manager: jarmitage; similarity_score: 7.25047
hiring_manager: mbesto; similarity_score: 7.21959
hiring_manager: brandonthejames; similarity_score: 7.21500
hiring_manager: snowmaker; similarity_score: 7.18778
hiring_manager: _br; similarity_score: 7.18446
hiring_manager: lightningstorm; similarity_score: 7.16470
hiring_manager: the_gigi; similarity_score: 7.10359
hiring_manager: clarkevans; similarity_score: 7.09117
hiring_manager: swampthing; similarity_score: 7.04607
hiring_manager: Clairesheng; similarity_score: 7.01186
hiring_manager: spooneybarger; similarity_score: 6.97674
hiring_manager: sqs; similarity_score: 6.87350
hiring_manager: mrbird; similarity_score: 6.87342
hiring_manager: greattypo; similarity_score: 6.68202
hiring_manager: bsnyder; similarity_score: 6.65980
hiring_manager: jnenglish; similarity_score: 6.58082
hiring_manager: atto; similarity_score: 6.54152
hiring_manager: minichate; similarity_score: 6.52841
hiring_manager: matm; similarity_score: 6.51878
hiring_manager: zaidos; similarity_score: 6.50623
hiring_manager: andrewforee; similarity_score: 6.50337
hiring_manager: jjarmoc; similarity_score: 6.49536
hiring_manager: paulc; similarity_score: 6.44907
hiring_manager: cwhiten; similarity_score: 6.41918
hiring_manager: hgrttn; similarity_score: 6.41509
hiring_manager: deepsearch; similarity_score: 6.34920
hiring_manager: bohnej; similarity_score: 6.27450
hiring_manager: gnidan; similarity_score: 6.26270
hiring_manager: zacharycohn; similarity_score: 6.25
hiring_manager: OpenDrapery; similarity_score: 6.22837
hiring_manager: capkutay; similarity_score: 6.21872
hiring_manager: michaelhoffman; similarity_score: 6.20689
hiring_manager: iis_zephyr; similarity_score: 6.15808
hiring_manager: sb_ba; similarity_score: 6.08734
hiring_manager: nkoren; similarity_score: 6.05095
hiring_manager: chrchr; similarity_score: 6.03941
hiring_manager: bambootalent; similarity_score: 5.99078
hiring_manager: klochner; similarity_score: 5.90015
hiring_manager: jhdavids8; similarity_score: 5.87360
hiring_manager: tqn; similarity_score: 5.80524
hiring_manager: gsastry; similarity_score: 5.80399
hiring_manager: pensieri; similarity_score: 5.79626
hiring_manager: jpwagner; similarity_score: 5.76131
hiring_manager: metaobject; similarity_score: 5.75539
hiring_manager: ddtruong17; similarity_score: 5.59626
hiring_manager: helloshow; similarity_score: 5.44605
hiring_manager: spang; similarity_score: 5.44217
hiring_manager: nathanwdavis; similarity_score: 5.36912
hiring_manager: mrw34; similarity_score: 5.34759
hiring_manager: Andrew_Metail; similarity_score: 5.32258
hiring_manager: oms1005; similarity_score: 5.27492
hiring_manager: rchiba; similarity_score: 5.23489
hiring_manager: thethimble; similarity_score: 5.21844
hiring_manager: jennifer_scroll; similarity_score: 4.75785
hiring_manager: BWStearns; similarity_score: 4.73454
hiring_manager: stockninja; similarity_score: 4.65772
hiring_manager: jasonparekh; similarity_score: 4.61165
hiring_manager: mpdaugherty; similarity_score: 4.57380
hiring_manager: ssk2; similarity_score: 4.21585
hiring_manager: sparkman55; similarity_score: 4.17940
hiring_manager: dwiel; similarity_score: 4.17661
hiring_manager: cairo140; similarity_score: 4.06779
hiring_manager: bitcrusher; similarity_score: 3.95010
hiring_manager: JimboOmega; similarity_score: 3.94842
hiring_manager: smikhanov; similarity_score: 3.83386
hiring_manager: boyd; similarity_score: 3.78863
hiring_manager: eugeneiiim; similarity_score: 3.71959
hiring_manager: jasoncrawford; similarity_score: 3.66101
hiring_manager: makmanalp; similarity_score: 3.62550
hiring_manager: brendankemp; similarity_score: 3.21478
hiring_manager: courtneypowell; similarity_score: 3.02806
hiring_manager: ehberger; similarity_score: 2.68256
hiring_manager: frabrunelle; similarity_score: 2.62176
hiring_manager: namelezz; similarity_score: 0.0
