hiring_manager: lsee; similarity_score: 26.5442
hiring_manager: Caleb_Smith; similarity_score: 8.73634
hiring_manager: jhmaddox; similarity_score: 8.70098
hiring_manager: quinthar; similarity_score: 8.69565
hiring_manager: fuckthepoor; similarity_score: 8.65671
hiring_manager: squirrel; similarity_score: 8.62846
hiring_manager: pensieri; similarity_score: 8.45070
hiring_manager: helloshow; similarity_score: 8.37098
hiring_manager: tharshan09; similarity_score: 8.34951
hiring_manager: ILIKEPONIES; similarity_score: 8.27586
hiring_manager: sb_ba; similarity_score: 8.25688
hiring_manager: tobinharris; similarity_score: 8.10419
hiring_manager: iandanforth; similarity_score: 7.94912
hiring_manager: mateodelnorte; similarity_score: 7.93450
hiring_manager: santiycr; similarity_score: 7.89058
hiring_manager: arach; similarity_score: 7.80565
hiring_manager: noahbrier; similarity_score: 7.80441
hiring_manager: S4M; similarity_score: 7.78210
hiring_manager: davidw; similarity_score: 7.75805
hiring_manager: jjarmoc; similarity_score: 7.74357
hiring_manager: vaxtrac; similarity_score: 7.62981
hiring_manager: boyd; similarity_score: 7.56402
hiring_manager: tair; similarity_score: 7.55436
hiring_manager: bostik; similarity_score: 7.52076
hiring_manager: bbeck; similarity_score: 7.51597
hiring_manager: xasos; similarity_score: 7.41935
hiring_manager: HeyLaughingBoy; similarity_score: 7.41839
hiring_manager: siddarthd2919; similarity_score: 7.32484
hiring_manager: grinich; similarity_score: 7.28376
hiring_manager: hseikaly; similarity_score: 7.21015
hiring_manager: rchiba; similarity_score: 7.20937
hiring_manager: ljlolel; similarity_score: 7.12166
hiring_manager: jontonsoup; similarity_score: 7.10214
hiring_manager: blo; similarity_score: 6.93756
hiring_manager: freyil; similarity_score: 6.85224
hiring_manager: jkoc; similarity_score: 6.81362
hiring_manager: Gyffindor; similarity_score: 6.48740
hiring_manager: unclesaamm; similarity_score: 6.29685
hiring_manager: JimboOmega; similarity_score: 6.28753
hiring_manager: metaobject; similarity_score: 6.06060
hiring_manager: ddtruong17; similarity_score: 6.01813
hiring_manager: frabrunelle; similarity_score: 5.30932
hiring_manager: bostonpete; similarity_score: 5.17799
hiring_manager: rrpadhy; similarity_score: 5.15759
hiring_manager: neftaly; similarity_score: 4.8
hiring_manager: petrosagg; similarity_score: 4.34782
hiring_manager: michaelhoffman; similarity_score: 4.19632
hiring_manager: deepsearch; similarity_score: 3.66056
hiring_manager: zacharycohn; similarity_score: 3.63636
hiring_manager: brendankemp; similarity_score: 3.07923
hiring_manager: bohnej; similarity_score: 2.64900
hiring_manager: namelezz; similarity_score: 0.33783
