hiring_manager: petrosagg; similarity_score: 0.30000
hiring_manager: the_gigi; similarity_score: 0.03013
hiring_manager: gnidan; similarity_score: 0.02975
hiring_manager: andrewforee; similarity_score: 0.02961
hiring_manager: jennifer_scroll; similarity_score: 0.02934
hiring_manager: jasonparekh; similarity_score: 0.02913
hiring_manager: azth; similarity_score: 0.02912
hiring_manager: vaxtrac; similarity_score: 0.02855
hiring_manager: JimboOmega; similarity_score: 0.02811
hiring_manager: paulc; similarity_score: 0.02780
hiring_manager: cwhiten; similarity_score: 0.02771
hiring_manager: alexthornton; similarity_score: 0.02750
hiring_manager: ejdyksen; similarity_score: 0.02742
hiring_manager: bambootalent; similarity_score: 0.02708
hiring_manager: jhdavids8; similarity_score: 0.02694
hiring_manager: JangoSteve; similarity_score: 0.02651
hiring_manager: ncbk12; similarity_score: 0.02639
hiring_manager: courtneypowell; similarity_score: 0.02634
hiring_manager: blakeweb; similarity_score: 0.02631
hiring_manager: capkutay; similarity_score: 0.02620
hiring_manager: jjarmoc; similarity_score: 0.02616
hiring_manager: jnenglish; similarity_score: 0.02544
hiring_manager: conorgil145; similarity_score: 0.02532
hiring_manager: bitcrusher; similarity_score: 0.02495
hiring_manager: spang; similarity_score: 0.02445
hiring_manager: bsnyder; similarity_score: 0.02432
hiring_manager: rchiba; similarity_score: 0.02373
hiring_manager: boyd; similarity_score: 0.02348
hiring_manager: chrchr; similarity_score: 0.02271
hiring_manager: pensieri; similarity_score: 0.02065
hiring_manager: greattypo; similarity_score: 0.02042
hiring_manager: atto; similarity_score: 0.02015
hiring_manager: helloshow; similarity_score: 0.01770
hiring_manager: BWStearns; similarity_score: 0.01605
hiring_manager: ddtruong17; similarity_score: 0.01572
hiring_manager: makmanalp; similarity_score: 0.01483
hiring_manager: brendankemp; similarity_score: 0.01414
hiring_manager: frabrunelle; similarity_score: 0.00829
hiring_manager: namelezz; similarity_score: 0.0
