hiring_manager: damon_c; similarity_score: 0.25318
hiring_manager: cjbarber; similarity_score: 0.20079
hiring_manager: jack7890; similarity_score: 0.20063
hiring_manager: xiongww; similarity_score: 0.20026
hiring_manager: arobbins; similarity_score: 0.19964
hiring_manager: pandamcbonesaw; similarity_score: 0.19946
hiring_manager: emcienjobs; similarity_score: 0.19904
hiring_manager: fheisler; similarity_score: 0.19849
hiring_manager: svec; similarity_score: 0.19832
hiring_manager: kevinschumacher; similarity_score: 0.19783
hiring_manager: Equiet; similarity_score: 0.19745
hiring_manager: noahbrier; similarity_score: 0.19713
hiring_manager: rprovey; similarity_score: 0.19686
hiring_manager: fortpoint; similarity_score: 0.19646
hiring_manager: waseems; similarity_score: 0.19587
hiring_manager: ugh123; similarity_score: 0.19585
hiring_manager: sethbannon; similarity_score: 0.19546
hiring_manager: Renat; similarity_score: 0.19541
hiring_manager: mikebabineau; similarity_score: 0.19523
hiring_manager: vtuulos; similarity_score: 0.19463
hiring_manager: jontonsoup; similarity_score: 0.19455
hiring_manager: uwemaurer; similarity_score: 0.19448
hiring_manager: dangoldin; similarity_score: 0.19444
hiring_manager: sinak; similarity_score: 0.19441
hiring_manager: reubendoetsch; similarity_score: 0.19426
hiring_manager: AaronLasseigne; similarity_score: 0.19343
hiring_manager: bootstraponline; similarity_score: 0.19319
hiring_manager: manpageman; similarity_score: 0.19267
hiring_manager: Clairesheng; similarity_score: 0.19218
hiring_manager: EmilLondon; similarity_score: 0.19130
hiring_manager: antoviaque; similarity_score: 0.19110
hiring_manager: rasengan; similarity_score: 0.19108
hiring_manager: paradox95; similarity_score: 0.18949
hiring_manager: sridevizarin; similarity_score: 0.18944
hiring_manager: nschuett; similarity_score: 0.18918
hiring_manager: kcrossisec; similarity_score: 0.18911
hiring_manager: tianyicui; similarity_score: 0.18889
hiring_manager: darrennix; similarity_score: 0.18789
hiring_manager: sparkman55; similarity_score: 0.18768
hiring_manager: bjelkeman-again; similarity_score: 0.18756
hiring_manager: morgante; similarity_score: 0.18711
hiring_manager: azinman2; similarity_score: 0.18639
hiring_manager: yonibaciu1; similarity_score: 0.18601
hiring_manager: jdjdjd; similarity_score: 0.18586
hiring_manager: hseikaly; similarity_score: 0.18476
hiring_manager: untilHellbanned; similarity_score: 0.18471
hiring_manager: zaidos; similarity_score: 0.18372
hiring_manager: daveoflynn; similarity_score: 0.18355
hiring_manager: Gyffindor; similarity_score: 0.18311
hiring_manager: mapdock; similarity_score: 0.18223
hiring_manager: _br; similarity_score: 0.18196
hiring_manager: iis_zephyr; similarity_score: 0.18191
hiring_manager: arach; similarity_score: 0.18167
hiring_manager: gsastry; similarity_score: 0.18162
hiring_manager: edent; similarity_score: 0.18152
hiring_manager: swampthing; similarity_score: 0.18144
hiring_manager: dmritard96; similarity_score: 0.18125
hiring_manager: wattenberger; similarity_score: 0.18083
hiring_manager: asanwal; similarity_score: 0.18067
hiring_manager: milewska; similarity_score: 0.17993
hiring_manager: martinshen; similarity_score: 0.17979
hiring_manager: artursapek; similarity_score: 0.17944
hiring_manager: andrewmb; similarity_score: 0.17834
hiring_manager: matm; similarity_score: 0.17784
hiring_manager: ILIKEPONIES; similarity_score: 0.17759
hiring_manager: sqs; similarity_score: 0.17745
hiring_manager: snowmaker; similarity_score: 0.17732
hiring_manager: tair; similarity_score: 0.17725
hiring_manager: bbeck; similarity_score: 0.17672
hiring_manager: Synergyse; similarity_score: 0.17640
hiring_manager: meritt; similarity_score: 0.17595
hiring_manager: michaelhoffman; similarity_score: 0.17556
hiring_manager: oms1005; similarity_score: 0.17535
hiring_manager: tqn; similarity_score: 0.17519
hiring_manager: greenjellybean; similarity_score: 0.17515
hiring_manager: kmano8; similarity_score: 0.17428
hiring_manager: woodhull; similarity_score: 0.17412
hiring_manager: toreriklinnerud; similarity_score: 0.17356
hiring_manager: lightningstorm; similarity_score: 0.17333
hiring_manager: jarmitage; similarity_score: 0.17312
hiring_manager: brandonthejames; similarity_score: 0.17301
hiring_manager: eric_romo; similarity_score: 0.17197
hiring_manager: jennifer_scroll; similarity_score: 0.17179
hiring_manager: sb_ba; similarity_score: 0.17176
hiring_manager: the_gigi; similarity_score: 0.17043
hiring_manager: dalys; similarity_score: 0.17038
hiring_manager: shedd; similarity_score: 0.16931
hiring_manager: DustinCalim; similarity_score: 0.16878
hiring_manager: vaxtrac; similarity_score: 0.16778
hiring_manager: paulc; similarity_score: 0.16724
hiring_manager: encore2097; similarity_score: 0.16719
hiring_manager: mbesto; similarity_score: 0.16682
hiring_manager: gnidan; similarity_score: 0.16591
hiring_manager: samingrassia; similarity_score: 0.16560
hiring_manager: jasonparekh; similarity_score: 0.16539
hiring_manager: dbuxton; similarity_score: 0.16455
hiring_manager: alexthornton; similarity_score: 0.16419
hiring_manager: andrewforee; similarity_score: 0.16408
hiring_manager: azth; similarity_score: 0.16328
hiring_manager: cairo140; similarity_score: 0.16281
hiring_manager: kiyoto; similarity_score: 0.16242
hiring_manager: blakeweb; similarity_score: 0.16234
hiring_manager: minichate; similarity_score: 0.16165
hiring_manager: JimboOmega; similarity_score: 0.16064
hiring_manager: gajomi; similarity_score: 0.15955
hiring_manager: jhdavids8; similarity_score: 0.15924
hiring_manager: rememberlenny; similarity_score: 0.15923
hiring_manager: geverett; similarity_score: 0.15764
hiring_manager: ncbk12; similarity_score: 0.15753
hiring_manager: cwhiten; similarity_score: 0.15607
hiring_manager: zerr; similarity_score: 0.15605
hiring_manager: timanglade; similarity_score: 0.15445
hiring_manager: jnenglish; similarity_score: 0.15420
hiring_manager: ejdyksen; similarity_score: 0.15358
hiring_manager: capkutay; similarity_score: 0.15330
hiring_manager: bambootalent; similarity_score: 0.15234
hiring_manager: jjarmoc; similarity_score: 0.15111
hiring_manager: courtneypowell; similarity_score: 0.15038
hiring_manager: bsnyder; similarity_score: 0.15007
hiring_manager: conorgil145; similarity_score: 0.14965
hiring_manager: JangoSteve; similarity_score: 0.14958
hiring_manager: spang; similarity_score: 0.14820
hiring_manager: bitcrusher; similarity_score: 0.14631
hiring_manager: chrchr; similarity_score: 0.14423
hiring_manager: boyd; similarity_score: 0.14378
hiring_manager: marybheine; similarity_score: 0.14331
hiring_manager: rchiba; similarity_score: 0.14275
hiring_manager: chrisbennet; similarity_score: 0.14171
hiring_manager: Cyranix; similarity_score: 0.13694
hiring_manager: kbar13; similarity_score: 0.13535
hiring_manager: greattypo; similarity_score: 0.13060
hiring_manager: miles932; similarity_score: 0.12898
hiring_manager: atto; similarity_score: 0.12824
hiring_manager: pensieri; similarity_score: 0.12823
hiring_manager: petrosagg; similarity_score: 0.12579
hiring_manager: rrpadhy; similarity_score: 0.12420
hiring_manager: helloshow; similarity_score: 0.12033
hiring_manager: vaughnd; similarity_score: 0.11783
hiring_manager: BWStearns; similarity_score: 0.11070
hiring_manager: HeyLaughingBoy; similarity_score: 0.10987
hiring_manager: Blackthorn; similarity_score: 0.10828
hiring_manager: ddtruong17; similarity_score: 0.10722
hiring_manager: joshcanhelp; similarity_score: 0.10668
hiring_manager: tobinharris; similarity_score: 0.10509
hiring_manager: makmanalp; similarity_score: 0.10476
hiring_manager: siscia; similarity_score: 0.10350
hiring_manager: ljlolel; similarity_score: 0.10191
hiring_manager: hrehhf; similarity_score: 0.10031
hiring_manager: brendankemp; similarity_score: 0.09881
hiring_manager: fuckthepoor; similarity_score: 0.09872
hiring_manager: unclesaamm; similarity_score: 0.09554
hiring_manager: smikhanov; similarity_score: 0.09394
hiring_manager: BillFranklin; similarity_score: 0.09076
hiring_manager: grinich; similarity_score: 0.08757
hiring_manager: nathanwdavis; similarity_score: 0.08121
hiring_manager: plaban123; similarity_score: 0.07961
hiring_manager: curiousDog; similarity_score: 0.07643
hiring_manager: quinthar; similarity_score: 0.07324
hiring_manager: sid6376; similarity_score: 0.07006
hiring_manager: OpenDrapery; similarity_score: 0.06687
hiring_manager: frabrunelle; similarity_score: 0.06527
hiring_manager: Caleb_Smith; similarity_score: 0.06369
hiring_manager: ogennadi; similarity_score: 0.05891
hiring_manager: fapjacks; similarity_score: 0.05732
hiring_manager: siddarthd2919; similarity_score: 0.05573
hiring_manager: metaobject; similarity_score: 0.05254
hiring_manager: papaonlegs; similarity_score: 0.04936
hiring_manager: xasos; similarity_score: 0.04458
hiring_manager: bostonpete; similarity_score: 0.03662
hiring_manager: zacharycohn; similarity_score: 0.02388
hiring_manager: bohnej; similarity_score: 0.01910
hiring_manager: deepsearch; similarity_score: 0.01592
hiring_manager: namelezz; similarity_score: 0.00159
