hiring_manager: zerr; similarity_score: 26.7543
hiring_manager: xiongww; similarity_score: 8.51305
hiring_manager: mrbird; similarity_score: 8.44841
hiring_manager: waseems; similarity_score: 8.40932
hiring_manager: jsaxton86; similarity_score: 8.36820
hiring_manager: ejdyksen; similarity_score: 8.30502
hiring_manager: jason_allen; similarity_score: 8.29629
hiring_manager: bambootalent; similarity_score: 8.25132
hiring_manager: siddarthd2919; similarity_score: 8.20189
hiring_manager: JangoSteve; similarity_score: 8.19672
hiring_manager: ILIKEPONIES; similarity_score: 8.17084
hiring_manager: zacharycohn; similarity_score: 8.16326
hiring_manager: jkoc; similarity_score: 8.07121
hiring_manager: zaidos; similarity_score: 8.06310
hiring_manager: spang; similarity_score: 8.05910
hiring_manager: gnidan; similarity_score: 8.00961
hiring_manager: EmilLondon; similarity_score: 7.98403
hiring_manager: woodhull; similarity_score: 7.88008
hiring_manager: JimboOmega; similarity_score: 7.85714
hiring_manager: alexose; similarity_score: 7.77696
hiring_manager: tharshan09; similarity_score: 7.77587
hiring_manager: rrpadhy; similarity_score: 7.75193
hiring_manager: clarkevans; similarity_score: 7.74647
hiring_manager: arach; similarity_score: 7.63636
hiring_manager: paradox95; similarity_score: 7.63187
hiring_manager: st8machine; similarity_score: 7.58807
hiring_manager: fortpoint; similarity_score: 7.53045
hiring_manager: rchiba; similarity_score: 7.48840
hiring_manager: chrchr; similarity_score: 7.41206
hiring_manager: cwhiten; similarity_score: 7.39329
hiring_manager: petrosagg; similarity_score: 7.38786
hiring_manager: tianyicui; similarity_score: 7.30503
hiring_manager: jasonparekh; similarity_score: 7.25099
hiring_manager: rprovey; similarity_score: 7.21649
hiring_manager: snowmaker; similarity_score: 7.15547
hiring_manager: AaronLasseigne; similarity_score: 7.15365
hiring_manager: cjbarber; similarity_score: 7.14285
hiring_manager: plaban123; similarity_score: 7.03812
hiring_manager: capkutay; similarity_score: 6.98166
hiring_manager: deepsearch; similarity_score: 6.89655
hiring_manager: swampthing; similarity_score: 6.66074
hiring_manager: courtneypowell; similarity_score: 6.62782
hiring_manager: jennifer_scroll; similarity_score: 6.60535
hiring_manager: stockninja; similarity_score: 6.59793
hiring_manager: minichate; similarity_score: 6.58591
hiring_manager: the_gigi; similarity_score: 6.57511
hiring_manager: d0m; similarity_score: 6.53873
hiring_manager: carlatqueue; similarity_score: 6.40394
hiring_manager: pensieri; similarity_score: 6.35821
hiring_manager: gsastry; similarity_score: 6.26168
hiring_manager: dangoldin; similarity_score: 6.23052
hiring_manager: atto; similarity_score: 6.19020
hiring_manager: bostik; similarity_score: 6.17408
hiring_manager: conorgil145; similarity_score: 6.15384
hiring_manager: sparkman55; similarity_score: 6.1
hiring_manager: sb_ba; similarity_score: 6.07375
hiring_manager: jjarmoc; similarity_score: 6.05633
hiring_manager: makmanalp; similarity_score: 6.05034
hiring_manager: paulc; similarity_score: 6.04416
hiring_manager: noahbrier; similarity_score: 5.94713
hiring_manager: ddtruong17; similarity_score: 5.94582
hiring_manager: greattypo; similarity_score: 5.92592
hiring_manager: meaydinli; similarity_score: 5.89503
hiring_manager: hgrttn; similarity_score: 5.82877
hiring_manager: bsnyder; similarity_score: 5.76075
hiring_manager: metaobject; similarity_score: 5.69620
hiring_manager: cairo140; similarity_score: 5.67139
hiring_manager: boyd; similarity_score: 5.64489
hiring_manager: OpenDrapery; similarity_score: 5.50458
hiring_manager: bohnej; similarity_score: 5.46075
hiring_manager: mbesto; similarity_score: 5.32769
hiring_manager: shedd; similarity_score: 5.23331
hiring_manager: azinman2; similarity_score: 5.08849
hiring_manager: jarmitage; similarity_score: 4.81036
hiring_manager: nathanwdavis; similarity_score: 4.76190
hiring_manager: oms1005; similarity_score: 4.74725
hiring_manager: brendankemp; similarity_score: 4.74576
hiring_manager: blakeweb; similarity_score: 4.72899
hiring_manager: BWStearns; similarity_score: 4.69355
hiring_manager: helloshow; similarity_score: 4.41705
hiring_manager: nichol4s; similarity_score: 4.12725
hiring_manager: smikhanov; similarity_score: 3.98860
hiring_manager: frabrunelle; similarity_score: 3.85490
hiring_manager: klochner; similarity_score: 3.38235
hiring_manager: bitcrusher; similarity_score: 3.28317
hiring_manager: namelezz; similarity_score: 1.42348
