hiring_manager: brettz; similarity_score: 0.26349
hiring_manager: capkutay; similarity_score: 0.18341
hiring_manager: pouloum78; similarity_score: 0.18251
hiring_manager: jnenglish; similarity_score: 0.18238
hiring_manager: JangoSteve; similarity_score: 0.18163
hiring_manager: ugh123; similarity_score: 0.18123
hiring_manager: conorgil145; similarity_score: 0.18102
hiring_manager: bambootalent; similarity_score: 0.17985
hiring_manager: bsnyder; similarity_score: 0.17814
hiring_manager: bitcrusher; similarity_score: 0.17807
hiring_manager: maramaemartin; similarity_score: 0.17766
hiring_manager: kevinschumacher; similarity_score: 0.17737
hiring_manager: spang; similarity_score: 0.17673
hiring_manager: darrennix; similarity_score: 0.17609
hiring_manager: boyd; similarity_score: 0.17593
hiring_manager: ncbk12; similarity_score: 0.17498
hiring_manager: alphast0rm; similarity_score: 0.17424
hiring_manager: geori; similarity_score: 0.17302
hiring_manager: edent; similarity_score: 0.17223
hiring_manager: doxcf434; similarity_score: 0.17095
hiring_manager: rchiba; similarity_score: 0.17086
hiring_manager: chrchr; similarity_score: 0.17039
hiring_manager: frabcus; similarity_score: 0.16838
hiring_manager: florianf; similarity_score: 0.16708
hiring_manager: justhw; similarity_score: 0.16195
hiring_manager: greenjellybean; similarity_score: 0.16066
hiring_manager: untilHellbanned; similarity_score: 0.15938
hiring_manager: greattypo; similarity_score: 0.15846
hiring_manager: pensieri; similarity_score: 0.15782
hiring_manager: milewska; similarity_score: 0.15681
hiring_manager: manpageman; similarity_score: 0.15552
hiring_manager: atto; similarity_score: 0.15511
hiring_manager: beaverfox; similarity_score: 0.15424
hiring_manager: toreriklinnerud; similarity_score: 0.15295
hiring_manager: austinhallock; similarity_score: 0.15267
hiring_manager: nschuett; similarity_score: 0.14781
hiring_manager: helloshow; similarity_score: 0.14495
hiring_manager: rememberlenny; similarity_score: 0.14395
hiring_manager: zerr; similarity_score: 0.14267
hiring_manager: timanglade; similarity_score: 0.13624
hiring_manager: BWStearns; similarity_score: 0.13552
hiring_manager: ddtruong17; similarity_score: 0.13115
hiring_manager: Cyranix; similarity_score: 0.12596
hiring_manager: makmanalp; similarity_score: 0.12567
hiring_manager: geverett; similarity_score: 0.12467
hiring_manager: brendankemp; similarity_score: 0.12288
hiring_manager: chrisbennet; similarity_score: 0.12210
hiring_manager: miles932; similarity_score: 0.11182
hiring_manager: rrpadhy; similarity_score: 0.10925
hiring_manager: vaughnd; similarity_score: 0.10539
hiring_manager: petrosagg; similarity_score: 0.10411
hiring_manager: st8machine; similarity_score: 0.09511
hiring_manager: HeyLaughingBoy; similarity_score: 0.09383
hiring_manager: Blackthorn; similarity_score: 0.09254
hiring_manager: tobinharris; similarity_score: 0.08868
hiring_manager: ljlolel; similarity_score: 0.08611
hiring_manager: hrehhf; similarity_score: 0.08483
hiring_manager: unclesaamm; similarity_score: 0.08354
hiring_manager: frabrunelle; similarity_score: 0.08124
hiring_manager: smikhanov; similarity_score: 0.07583
hiring_manager: fourier; similarity_score: 0.07326
hiring_manager: plaban123; similarity_score: 0.06940
hiring_manager: khwang; similarity_score: 0.06812
hiring_manager: BillFranklin; similarity_score: 0.06683
hiring_manager: sid6376; similarity_score: 0.06298
hiring_manager: curiousDog; similarity_score: 0.06169
hiring_manager: quinthar; similarity_score: 0.06041
hiring_manager: Caleb_Smith; similarity_score: 0.05912
hiring_manager: OpenDrapery; similarity_score: 0.05526
hiring_manager: fapjacks; similarity_score: 0.05269
hiring_manager: ogennadi; similarity_score: 0.05012
hiring_manager: siddarthd2919; similarity_score: 0.04498
hiring_manager: neftaly; similarity_score: 0.04241
hiring_manager: papaonlegs; similarity_score: 0.04113
hiring_manager: xasos; similarity_score: 0.03598
hiring_manager: bostonpete; similarity_score: 0.03213
hiring_manager: zacharycohn; similarity_score: 0.01928
hiring_manager: bohnej; similarity_score: 0.01799
hiring_manager: deepsearch; similarity_score: 0.01413
hiring_manager: namelezz; similarity_score: 0.0
