hiring_manager: edziubudzik; similarity_score: 0.26834
hiring_manager: murtza; similarity_score: 0.17913
hiring_manager: pashabitz; similarity_score: 0.17912
hiring_manager: thethimble; similarity_score: 0.17910
hiring_manager: geverett; similarity_score: 0.17819
hiring_manager: ndonnellan; similarity_score: 0.17755
hiring_manager: sridevizarin; similarity_score: 0.17726
hiring_manager: statictype; similarity_score: 0.17610
hiring_manager: diego; similarity_score: 0.17579
hiring_manager: noobuser123; similarity_score: 0.17529
hiring_manager: Bahamut; similarity_score: 0.17521
hiring_manager: conversica; similarity_score: 0.17463
hiring_manager: jakestein; similarity_score: 0.17396
hiring_manager: arobbins; similarity_score: 0.17342
hiring_manager: scottaj2; similarity_score: 0.17292
hiring_manager: noahbrier; similarity_score: 0.17241
hiring_manager: fortpoint; similarity_score: 0.17223
hiring_manager: zerr; similarity_score: 0.17190
hiring_manager: svec; similarity_score: 0.17183
hiring_manager: pandamcbonesaw; similarity_score: 0.17163
hiring_manager: sethbannon; similarity_score: 0.17150
hiring_manager: ivanzhao; similarity_score: 0.17131
hiring_manager: rfergie; similarity_score: 0.17078
hiring_manager: dh0913; similarity_score: 0.17030
hiring_manager: Clairesheng; similarity_score: 0.16986
hiring_manager: sinak; similarity_score: 0.16884
hiring_manager: BMarkmann; similarity_score: 0.16874
hiring_manager: rprovey; similarity_score: 0.16857
hiring_manager: antoviaque; similarity_score: 0.16826
hiring_manager: tianyicui; similarity_score: 0.16771
hiring_manager: bostik; similarity_score: 0.16676
hiring_manager: Gyffindor; similarity_score: 0.16657
hiring_manager: AaronLasseigne; similarity_score: 0.16647
hiring_manager: DustinCalim; similarity_score: 0.16545
hiring_manager: sparkman55; similarity_score: 0.16443
hiring_manager: azinman2; similarity_score: 0.16415
hiring_manager: 7parkdata; similarity_score: 0.16352
hiring_manager: EmilLondon; similarity_score: 0.16347
hiring_manager: fheisler; similarity_score: 0.16319
hiring_manager: frb; similarity_score: 0.16257
hiring_manager: sqs; similarity_score: 0.16235
hiring_manager: waseems; similarity_score: 0.16224
hiring_manager: kcrossisec; similarity_score: 0.16160
hiring_manager: jontonsoup; similarity_score: 0.16026
hiring_manager: bootstraponline; similarity_score: 0.15974
hiring_manager: kbar13; similarity_score: 0.15932
hiring_manager: jack7890; similarity_score: 0.15737
hiring_manager: bjelkeman-again; similarity_score: 0.15731
hiring_manager: rrpadhy; similarity_score: 0.15723
hiring_manager: hseikaly; similarity_score: 0.15667
hiring_manager: gsastry; similarity_score: 0.15636
hiring_manager: arach; similarity_score: 0.15564
hiring_manager: biomimic; similarity_score: 0.15513
hiring_manager: martinshen; similarity_score: 0.15441
hiring_manager: kmano8; similarity_score: 0.15345
hiring_manager: daveoflynn; similarity_score: 0.15305
hiring_manager: brandonthejames; similarity_score: 0.15179
hiring_manager: jarmitage; similarity_score: 0.15135
hiring_manager: iis_zephyr; similarity_score: 0.15038
hiring_manager: zaidos; similarity_score: 0.14977
hiring_manager: mapdock; similarity_score: 0.14974
hiring_manager: meritt; similarity_score: 0.14963
hiring_manager: swampthing; similarity_score: 0.14951
hiring_manager: tair; similarity_score: 0.14869
hiring_manager: woodhull; similarity_score: 0.14834
hiring_manager: Synergyse; similarity_score: 0.14824
hiring_manager: lightningstorm; similarity_score: 0.14794
hiring_manager: _br; similarity_score: 0.14788
hiring_manager: tqn; similarity_score: 0.14775
hiring_manager: matm; similarity_score: 0.14735
hiring_manager: ILIKEPONIES; similarity_score: 0.1472
hiring_manager: sb_ba; similarity_score: 0.14708
hiring_manager: oms1005; similarity_score: 0.14679
hiring_manager: snowmaker; similarity_score: 0.14659
hiring_manager: the_gigi; similarity_score: 0.14548
hiring_manager: bbeck; similarity_score: 0.14534
hiring_manager: michaelhoffman; similarity_score: 0.14430
hiring_manager: shedd; similarity_score: 0.14399
hiring_manager: jennifer_scroll; similarity_score: 0.14292
hiring_manager: gnidan; similarity_score: 0.14292
hiring_manager: vaughnd; similarity_score: 0.14255
hiring_manager: andrewforee; similarity_score: 0.14151
hiring_manager: mbesto; similarity_score: 0.14141
hiring_manager: cairo140; similarity_score: 0.14110
hiring_manager: petrosagg; similarity_score: 0.14046
hiring_manager: jasonparekh; similarity_score: 0.13850
hiring_manager: vaxtrac; similarity_score: 0.13788
hiring_manager: paulc; similarity_score: 0.13683
hiring_manager: azth; similarity_score: 0.13636
hiring_manager: JimboOmega; similarity_score: 0.13565
hiring_manager: blakeweb; similarity_score: 0.13481
hiring_manager: Blackthorn; similarity_score: 0.13417
hiring_manager: minichate; similarity_score: 0.13415
hiring_manager: bambootalent; similarity_score: 0.13372
hiring_manager: alexthornton; similarity_score: 0.13288
hiring_manager: st8machine; similarity_score: 0.13207
hiring_manager: ejdyksen; similarity_score: 0.13164
hiring_manager: jhdavids8; similarity_score: 0.13025
hiring_manager: cwhiten; similarity_score: 0.13006
hiring_manager: ncbk12; similarity_score: 0.12992
hiring_manager: courtneypowell; similarity_score: 0.12849
hiring_manager: jnenglish; similarity_score: 0.12798
hiring_manager: HeyLaughingBoy; similarity_score: 0.12788
hiring_manager: capkutay; similarity_score: 0.12749
hiring_manager: JangoSteve; similarity_score: 0.12702
hiring_manager: conorgil145; similarity_score: 0.12622
hiring_manager: tobinharris; similarity_score: 0.12578
hiring_manager: jjarmoc; similarity_score: 0.12573
hiring_manager: spang; similarity_score: 0.12523
hiring_manager: fuckthepoor; similarity_score: 0.12159
hiring_manager: bsnyder; similarity_score: 0.12125
hiring_manager: ljlolel; similarity_score: 0.11949
hiring_manager: bitcrusher; similarity_score: 0.11871
hiring_manager: boyd; similarity_score: 0.11849
hiring_manager: chrchr; similarity_score: 0.11600
hiring_manager: rchiba; similarity_score: 0.11500
hiring_manager: hrehhf; similarity_score: 0.11320
hiring_manager: siscia; similarity_score: 0.11111
hiring_manager: BillFranklin; similarity_score: 0.10901
hiring_manager: pensieri; similarity_score: 0.10696
hiring_manager: fourier; similarity_score: 0.10691
hiring_manager: greattypo; similarity_score: 0.10584
hiring_manager: atto; similarity_score: 0.10351
hiring_manager: nathanwdavis; similarity_score: 0.09643
hiring_manager: helloshow; similarity_score: 0.09543
hiring_manager: khwang; similarity_score: 0.09433
hiring_manager: BWStearns; similarity_score: 0.09124
hiring_manager: Caleb_Smith; similarity_score: 0.09014
hiring_manager: sid6376; similarity_score: 0.08805
hiring_manager: OpenDrapery; similarity_score: 0.08595
hiring_manager: ddtruong17; similarity_score: 0.08564
hiring_manager: quinthar; similarity_score: 0.08385
hiring_manager: makmanalp; similarity_score: 0.08228
hiring_manager: brendankemp; similarity_score: 0.08002
hiring_manager: fapjacks; similarity_score: 0.07547
hiring_manager: ogennadi; similarity_score: 0.07337
hiring_manager: siddarthd2919; similarity_score: 0.06918
hiring_manager: iandanforth; similarity_score: 0.06708
hiring_manager: papaonlegs; similarity_score: 0.06289
hiring_manager: xasos; similarity_score: 0.05450
hiring_manager: frabrunelle; similarity_score: 0.05028
hiring_manager: bostonpete; similarity_score: 0.04821
hiring_manager: zacharycohn; similarity_score: 0.02935
hiring_manager: bohnej; similarity_score: 0.02725
hiring_manager: deepsearch; similarity_score: 0.02306
hiring_manager: namelezz; similarity_score: 0.0
