hiring_manager: namelezz; similarity_score: 0.97221
hiring_manager: dh0913; similarity_score: 0.19662
hiring_manager: Clairesheng; similarity_score: 0.19662
hiring_manager: fheisler; similarity_score: 0.19552
hiring_manager: AaronLasseigne; similarity_score: 0.19552
hiring_manager: sinak; similarity_score: 0.19444
hiring_manager: JJMalina; similarity_score: 0.19443
hiring_manager: brandonthejames; similarity_score: 0.19336
hiring_manager: azinman2; similarity_score: 0.19336
hiring_manager: jakestein; similarity_score: 0.19336
hiring_manager: Bahamut; similarity_score: 0.19230
hiring_manager: martinshen; similarity_score: 0.19230
hiring_manager: jonbischke; similarity_score: 0.19230
hiring_manager: kcrossisec; similarity_score: 0.19230
hiring_manager: sqs; similarity_score: 0.19229
hiring_manager: EmilLondon; similarity_score: 0.19021
hiring_manager: Synergyse; similarity_score: 0.19021
hiring_manager: diego; similarity_score: 0.19020
hiring_manager: _br; similarity_score: 0.18917
hiring_manager: fortpoint; similarity_score: 0.18816
hiring_manager: jarmitage; similarity_score: 0.18716
hiring_manager: jontonsoup; similarity_score: 0.18716
hiring_manager: bjelkeman-again; similarity_score: 0.18716
hiring_manager: arobbins; similarity_score: 0.18518
hiring_manager: sparkman55; similarity_score: 0.18324
hiring_manager: ILIKEPONIES; similarity_score: 0.18324
hiring_manager: JimiofEden; similarity_score: 0.18323
hiring_manager: cgilboy; similarity_score: 0.18228
hiring_manager: alexchantastic; similarity_score: 0.17948
hiring_manager: gsastry; similarity_score: 0.17948
hiring_manager: waseems; similarity_score: 0.17856
hiring_manager: tqn; similarity_score: 0.17766
hiring_manager: georgespencer; similarity_score: 0.17766
hiring_manager: noahbrier; similarity_score: 0.17676
hiring_manager: bostik; similarity_score: 0.17675
hiring_manager: michaelhoffman; similarity_score: 0.17499
hiring_manager: zaidos; similarity_score: 0.17412
hiring_manager: oms1005; similarity_score: 0.17240
hiring_manager: shedd; similarity_score: 0.17156
hiring_manager: daveoflynn; similarity_score: 0.17156
hiring_manager: gnidan; similarity_score: 0.17072
hiring_manager: tair; similarity_score: 0.17072
hiring_manager: cairo140; similarity_score: 0.17072
hiring_manager: paulc; similarity_score: 0.16908
hiring_manager: bbeck; similarity_score: 0.16907
hiring_manager: arach; similarity_score: 0.16825
hiring_manager: andrewforee; similarity_score: 0.16746
hiring_manager: swampthing; similarity_score: 0.16746
hiring_manager: woodhull; similarity_score: 0.16745
hiring_manager: mapdock; similarity_score: 0.16745
hiring_manager: iis_zephyr; similarity_score: 0.16509
hiring_manager: the_gigi; similarity_score: 0.16508
hiring_manager: jennifer_scroll; similarity_score: 0.16508
hiring_manager: lightningstorm; similarity_score: 0.16431
hiring_manager: sb_ba; similarity_score: 0.16354
hiring_manager: mbesto; similarity_score: 0.16279
hiring_manager: kmano8; similarity_score: 0.16278
hiring_manager: ameryz07; similarity_score: 0.16278
hiring_manager: JimboOmega; similarity_score: 0.16054
hiring_manager: jnenglish; similarity_score: 0.15981
hiring_manager: vaxtrac; similarity_score: 0.15694
hiring_manager: meritt; similarity_score: 0.15694
hiring_manager: matm; similarity_score: 0.15624
hiring_manager: ncbk12; similarity_score: 0.15624
hiring_manager: azth; similarity_score: 0.15554
hiring_manager: jasonparekh; similarity_score: 0.15486
hiring_manager: snowmaker; similarity_score: 0.15418
hiring_manager: alexthornton; similarity_score: 0.15283
hiring_manager: minichate; similarity_score: 0.15086
hiring_manager: cwhiten; similarity_score: 0.15020
hiring_manager: jhdavids8; similarity_score: 0.14956
hiring_manager: rchiba; similarity_score: 0.14893
hiring_manager: bsnyder; similarity_score: 0.14892
hiring_manager: JangoSteve; similarity_score: 0.14462
hiring_manager: jsfour; similarity_score: 0.14461
hiring_manager: blakeweb; similarity_score: 0.14402
hiring_manager: boyd; similarity_score: 0.14402
hiring_manager: ejdyksen; similarity_score: 0.14226
hiring_manager: jspiral; similarity_score: 0.14112
hiring_manager: capkutay; similarity_score: 0.13943
hiring_manager: conorgil145; similarity_score: 0.13833
hiring_manager: kedargj; similarity_score: 0.13778
hiring_manager: michaelrstubbs; similarity_score: 0.13724
hiring_manager: courtneypowell; similarity_score: 0.13513
hiring_manager: bitcrusher; similarity_score: 0.13409
hiring_manager: maxneu; similarity_score: 0.13357
hiring_manager: jjarmoc; similarity_score: 0.13307
hiring_manager: spang; similarity_score: 0.12914
hiring_manager: atto; similarity_score: 0.12499
hiring_manager: chrchr; similarity_score: 0.12323
hiring_manager: helloshow; similarity_score: 0.12194
hiring_manager: pensieri; similarity_score: 0.11362
hiring_manager: greattypo; similarity_score: 0.11145
hiring_manager: ddtruong17; similarity_score: 0.10936
hiring_manager: BWStearns; similarity_score: 0.09749
hiring_manager: makmanalp; similarity_score: 0.09614
hiring_manager: fh2210; similarity_score: 0.09536
hiring_manager: brendankemp; similarity_score: 0.09114
hiring_manager: frabrunelle; similarity_score: 0.06283
