hiring_manager: pohungc; similarity_score: 0.21932
hiring_manager: ashleyjohn; similarity_score: 0.13729
hiring_manager: alexk; similarity_score: 0.13692
hiring_manager: loganfrederick; similarity_score: 0.13659
hiring_manager: mburst; similarity_score: 0.13650
hiring_manager: BillFranklin; similarity_score: 0.13636
hiring_manager: hglaser; similarity_score: 0.13594
hiring_manager: doxcf434; similarity_score: 0.13468
hiring_manager: jpwagner; similarity_score: 0.13449
hiring_manager: jason_allen; similarity_score: 0.13445
hiring_manager: knes; similarity_score: 0.13425
hiring_manager: wiredd; similarity_score: 0.13339
hiring_manager: jhmaddox; similarity_score: 0.13339
hiring_manager: grydstedt; similarity_score: 0.13333
hiring_manager: nkoren; similarity_score: 0.13300
hiring_manager: dannysu; similarity_score: 0.13280
hiring_manager: edent; similarity_score: 0.13257
hiring_manager: propellerhat; similarity_score: 0.13218
hiring_manager: omarish; similarity_score: 0.13205
hiring_manager: mateodelnorte; similarity_score: 0.13126
hiring_manager: clieu1; similarity_score: 0.13122
hiring_manager: darrenkopp; similarity_score: 0.13066
hiring_manager: cwc22; similarity_score: 0.13031
hiring_manager: chrisduesing; similarity_score: 0.12972
hiring_manager: ben336; similarity_score: 0.12896
hiring_manager: nathanwdavis; similarity_score: 0.12878
hiring_manager: d0m; similarity_score: 0.12854
hiring_manager: myom; similarity_score: 0.12848
hiring_manager: Theranos; similarity_score: 0.12800
hiring_manager: DLarsen; similarity_score: 0.12769
hiring_manager: jjnvdm; similarity_score: 0.12725
hiring_manager: clarkevans; similarity_score: 0.12708
hiring_manager: PhantomPhreak; similarity_score: 0.12634
hiring_manager: eugeneiiim; similarity_score: 0.12618
hiring_manager: sciurus; similarity_score: 0.12602
hiring_manager: klochner; similarity_score: 0.12580
hiring_manager: sam; similarity_score: 0.12580
hiring_manager: quinthar; similarity_score: 0.125
hiring_manager: meaydinli; similarity_score: 0.12410
hiring_manager: kscottz; similarity_score: 0.12364
hiring_manager: alexose; similarity_score: 0.12361
hiring_manager: stockninja; similarity_score: 0.12329
hiring_manager: breckognize; similarity_score: 0.12248
hiring_manager: soundandfeury; similarity_score: 0.12065
hiring_manager: gsiener; similarity_score: 0.12054
hiring_manager: yesimahuman; similarity_score: 0.12034
hiring_manager: asolove; similarity_score: 0.11985
hiring_manager: olivercameron; similarity_score: 0.11953
hiring_manager: davidshariff; similarity_score: 0.11929
hiring_manager: BGCivis; similarity_score: 0.11806
hiring_manager: sid6376; similarity_score: 0.11742
hiring_manager: darrennix; similarity_score: 0.11702
hiring_manager: jlees; similarity_score: 0.11658
hiring_manager: jasoncrawford; similarity_score: 0.11588
hiring_manager: twymer; similarity_score: 0.11582
hiring_manager: mpdaugherty; similarity_score: 0.11564
hiring_manager: YelpEngineering; similarity_score: 0.11550
hiring_manager: OpenDrapery; similarity_score: 0.11363
hiring_manager: hafabnew; similarity_score: 0.11294
hiring_manager: kenrose; similarity_score: 0.11170
hiring_manager: vonnik; similarity_score: 0.11168
hiring_manager: biggitybones; similarity_score: 0.11162
hiring_manager: k1w1; similarity_score: 0.11111
hiring_manager: astralship; similarity_score: 0.11094
hiring_manager: santiycr; similarity_score: 0.11060
hiring_manager: rvivek; similarity_score: 0.11059
hiring_manager: mandoescamilla; similarity_score: 0.11037
hiring_manager: zeiler; similarity_score: 0.11033
hiring_manager: dwiel; similarity_score: 0.10731
hiring_manager: nikhaldi; similarity_score: 0.10677
hiring_manager: blo; similarity_score: 0.10644
hiring_manager: samuelbrin; similarity_score: 0.10606
hiring_manager: thethimble; similarity_score: 0.10589
hiring_manager: pashabitz; similarity_score: 0.10578
hiring_manager: infer; similarity_score: 0.10557
hiring_manager: djyoo; similarity_score: 0.10544
hiring_manager: mikebabineau; similarity_score: 0.10390
hiring_manager: tharshan09; similarity_score: 0.10340
hiring_manager: brendan_gill; similarity_score: 0.10328
hiring_manager: jkoc; similarity_score: 0.10312
hiring_manager: Clairesheng; similarity_score: 0.10229
hiring_manager: siddarthd2919; similarity_score: 0.10227
hiring_manager: JJMalina; similarity_score: 0.10220
hiring_manager: jonbischke; similarity_score: 0.10204
hiring_manager: georgespencer; similarity_score: 0.10177
hiring_manager: scottaj2; similarity_score: 0.10168
hiring_manager: sridevizarin; similarity_score: 0.10148
hiring_manager: diego; similarity_score: 0.10097
hiring_manager: fortpoint; similarity_score: 0.10085
hiring_manager: pandamcbonesaw; similarity_score: 0.10072
hiring_manager: ndonnellan; similarity_score: 0.10068
hiring_manager: noahbrier; similarity_score: 0.10019
hiring_manager: svec; similarity_score: 0.10012
hiring_manager: conversica; similarity_score: 0.09926
hiring_manager: BMarkmann; similarity_score: 0.09914
hiring_manager: arobbins; similarity_score: 0.09892
hiring_manager: fapjacks; similarity_score: 0.09848
hiring_manager: xiongww; similarity_score: 0.09844
hiring_manager: Bahamut; similarity_score: 0.09824
hiring_manager: jakestein; similarity_score: 0.09793
hiring_manager: azinman2; similarity_score: 0.09744
hiring_manager: noobuser123; similarity_score: 0.09702
hiring_manager: sethbannon; similarity_score: 0.09646
hiring_manager: rprovey; similarity_score: 0.09512
hiring_manager: metaobject; similarity_score: 0.09469
hiring_manager: antoviaque; similarity_score: 0.09375
hiring_manager: dh0913; similarity_score: 0.09357
hiring_manager: bootstraponline; similarity_score: 0.09342
hiring_manager: EmilLondon; similarity_score: 0.09333
hiring_manager: tianyicui; similarity_score: 0.09330
hiring_manager: AaronLasseigne; similarity_score: 0.09261
hiring_manager: bostik; similarity_score: 0.09251
hiring_manager: sinak; similarity_score: 0.09215
hiring_manager: jontonsoup; similarity_score: 0.09166
hiring_manager: Gyffindor; similarity_score: 0.09127
hiring_manager: fheisler; similarity_score: 0.09085
hiring_manager: waseems; similarity_score: 0.09085
hiring_manager: _br; similarity_score: 0.09070
hiring_manager: kcrossisec; similarity_score: 0.09054
hiring_manager: bjelkeman-again; similarity_score: 0.09020
hiring_manager: sparkman55; similarity_score: 0.08948
hiring_manager: hseikaly; similarity_score: 0.08914
hiring_manager: sqs; similarity_score: 0.08845
hiring_manager: iis_zephyr; similarity_score: 0.08837
hiring_manager: meritt; similarity_score: 0.08823
hiring_manager: daveoflynn; similarity_score: 0.08714
hiring_manager: iandanforth; similarity_score: 0.08712
hiring_manager: arach; similarity_score: 0.08693
hiring_manager: mapdock; similarity_score: 0.08629
hiring_manager: gsastry; similarity_score: 0.08597
hiring_manager: tair; similarity_score: 0.08517
hiring_manager: martinshen; similarity_score: 0.08514
hiring_manager: Synergyse; similarity_score: 0.08501
hiring_manager: jarmitage; similarity_score: 0.08497
hiring_manager: brandonthejames; similarity_score: 0.08487
hiring_manager: tqn; similarity_score: 0.08390
hiring_manager: ILIKEPONIES; similarity_score: 0.08320
hiring_manager: snowmaker; similarity_score: 0.08312
hiring_manager: bbeck; similarity_score: 0.08305
hiring_manager: sb_ba; similarity_score: 0.08292
hiring_manager: zaidos; similarity_score: 0.08287
hiring_manager: mbesto; similarity_score: 0.08245
hiring_manager: shedd; similarity_score: 0.08242
hiring_manager: kmano8; similarity_score: 0.08231
hiring_manager: swampthing; similarity_score: 0.08210
hiring_manager: oms1005; similarity_score: 0.08166
hiring_manager: lightningstorm; similarity_score: 0.08154
hiring_manager: andrewforee; similarity_score: 0.08133
hiring_manager: the_gigi; similarity_score: 0.08050
hiring_manager: woodhull; similarity_score: 0.08025
hiring_manager: michaelhoffman; similarity_score: 0.07984
hiring_manager: xasos; similarity_score: 0.07954
hiring_manager: ejdyksen; similarity_score: 0.07721
hiring_manager: jennifer_scroll; similarity_score: 0.07714
hiring_manager: cairo140; similarity_score: 0.07645
hiring_manager: jasonparekh; similarity_score: 0.07619
hiring_manager: gnidan; similarity_score: 0.07619
hiring_manager: vaxtrac; similarity_score: 0.07496
hiring_manager: azth; similarity_score: 0.07413
hiring_manager: paulc; similarity_score: 0.07384
hiring_manager: alexthornton; similarity_score: 0.07321
hiring_manager: cwhiten; similarity_score: 0.07292
hiring_manager: JimboOmega; similarity_score: 0.07228
hiring_manager: bostonpete; similarity_score: 0.07196
hiring_manager: minichate; similarity_score: 0.07194
hiring_manager: bambootalent; similarity_score: 0.07151
hiring_manager: jhdavids8; similarity_score: 0.07104
hiring_manager: courtneypowell; similarity_score: 0.07012
hiring_manager: ncbk12; similarity_score: 0.06983
hiring_manager: blakeweb; similarity_score: 0.06963
hiring_manager: capkutay; similarity_score: 0.06883
hiring_manager: jnenglish; similarity_score: 0.06810
hiring_manager: jjarmoc; similarity_score: 0.06794
hiring_manager: JangoSteve; similarity_score: 0.06766
hiring_manager: conorgil145; similarity_score: 0.06689
hiring_manager: spang; similarity_score: 0.06446
hiring_manager: boyd; similarity_score: 0.06394
hiring_manager: bitcrusher; similarity_score: 0.06389
hiring_manager: rchiba; similarity_score: 0.06389
hiring_manager: chrchr; similarity_score: 0.06368
hiring_manager: bsnyder; similarity_score: 0.06362
hiring_manager: atto; similarity_score: 0.05801
hiring_manager: greattypo; similarity_score: 0.05663
hiring_manager: pensieri; similarity_score: 0.05641
hiring_manager: helloshow; similarity_score: 0.05034
hiring_manager: zacharycohn; similarity_score: 0.04924
hiring_manager: bohnej; similarity_score: 0.04545
hiring_manager: BWStearns; similarity_score: 0.04525
hiring_manager: ddtruong17; similarity_score: 0.04411
hiring_manager: makmanalp; similarity_score: 0.04316
hiring_manager: deepsearch; similarity_score: 0.04166
hiring_manager: brendankemp; similarity_score: 0.04075
hiring_manager: frabrunelle; similarity_score: 0.02638
hiring_manager: namelezz; similarity_score: 0.00378
