hiring_manager: 7parkdata; similarity_score: 28.2515
hiring_manager: hrehhf; similarity_score: 12.3234
hiring_manager: boyd; similarity_score: 12.3165
hiring_manager: fourier; similarity_score: 12.2715
hiring_manager: lightningstorm; similarity_score: 12.2686
hiring_manager: FUSAR_rs; similarity_score: 12.2589
hiring_manager: ugh123; similarity_score: 12.1664
hiring_manager: Renat; similarity_score: 12.1463
hiring_manager: pashabitz; similarity_score: 12.1411
hiring_manager: vaughnd; similarity_score: 12.1287
hiring_manager: jontonsoup; similarity_score: 12.0934
hiring_manager: ILIKEPONIES; similarity_score: 12.0836
hiring_manager: edent; similarity_score: 12.0300
hiring_manager: martinshen; similarity_score: 12.0092
hiring_manager: sridevizarin; similarity_score: 11.9908
hiring_manager: fuelfive; similarity_score: 11.9768
hiring_manager: jack7890; similarity_score: 11.9106
hiring_manager: frisco; similarity_score: 11.9089
hiring_manager: arach; similarity_score: 11.8721
hiring_manager: michaelhoffman; similarity_score: 11.8449
hiring_manager: jasonparekh; similarity_score: 11.8447
hiring_manager: jennifer_scroll; similarity_score: 11.8439
hiring_manager: asolove; similarity_score: 11.8356
hiring_manager: matlock; similarity_score: 11.8294
hiring_manager: sidjoshi; similarity_score: 11.7346
hiring_manager: biomimic; similarity_score: 11.6538
hiring_manager: kcrossisec; similarity_score: 11.5823
hiring_manager: mrbird; similarity_score: 11.5732
hiring_manager: tair; similarity_score: 11.5412
hiring_manager: nathanwdavis; similarity_score: 11.5183
hiring_manager: siscia; similarity_score: 11.4503
hiring_manager: blo; similarity_score: 11.4285
hiring_manager: biggitybones; similarity_score: 11.4143
hiring_manager: grydstedt; similarity_score: 11.3491
hiring_manager: axiom; similarity_score: 11.3184
hiring_manager: dh0913; similarity_score: 11.2554
hiring_manager: johnnyg; similarity_score: 11.1977
hiring_manager: Blackthorn; similarity_score: 11.1251
hiring_manager: d0m; similarity_score: 11.1171
hiring_manager: bambootalent; similarity_score: 11.0749
hiring_manager: atto; similarity_score: 11.0497
hiring_manager: BMarkmann; similarity_score: 11.0313
hiring_manager: mmelin; similarity_score: 10.9854
hiring_manager: waseems; similarity_score: 10.9075
hiring_manager: chrisbennet; similarity_score: 10.8958
hiring_manager: helloshow; similarity_score: 10.8283
hiring_manager: azinman2; similarity_score: 10.8228
hiring_manager: wiredd; similarity_score: 10.8202
hiring_manager: loganfrederick; similarity_score: 10.7602
hiring_manager: darrennix; similarity_score: 10.7178
hiring_manager: JangoSteve; similarity_score: 10.6988
hiring_manager: kbar13; similarity_score: 10.5896
hiring_manager: azth; similarity_score: 10.4944
hiring_manager: feverishaaron; similarity_score: 10.4417
hiring_manager: georgespencer; similarity_score: 10.4035
hiring_manager: YelpEngineering; similarity_score: 10.3856
hiring_manager: ddtruong17; similarity_score: 10.3843
hiring_manager: bjelkeman-again; similarity_score: 10.3762
hiring_manager: nschuett; similarity_score: 10.2425
hiring_manager: bbeck; similarity_score: 10.2231
hiring_manager: pensieri; similarity_score: 10.1746
hiring_manager: mapdock; similarity_score: 10.0859
hiring_manager: joshcanhelp; similarity_score: 10.0755
hiring_manager: klochner; similarity_score: 10.0671
hiring_manager: jarmitage; similarity_score: 10.0386
hiring_manager: makmanalp; similarity_score: 10.0096
hiring_manager: fuckthepoor; similarity_score: 9.91105
hiring_manager: tianyicui; similarity_score: 9.86145
hiring_manager: infer; similarity_score: 9.85031
hiring_manager: cwhiten; similarity_score: 9.76408
hiring_manager: zerr; similarity_score: 9.72850
hiring_manager: khwang; similarity_score: 9.64797
hiring_manager: sinak; similarity_score: 9.62745
hiring_manager: zaidos; similarity_score: 9.59409
hiring_manager: st8machine; similarity_score: 9.53575
hiring_manager: cairo140; similarity_score: 9.48336
hiring_manager: ogennadi; similarity_score: 9.35828
hiring_manager: vaxtrac; similarity_score: 9.29443
hiring_manager: fractalsea; similarity_score: 8.94736
hiring_manager: blakeweb; similarity_score: 8.87629
hiring_manager: iandanforth; similarity_score: 8.84718
hiring_manager: grinich; similarity_score: 8.76288
hiring_manager: tharshan09; similarity_score: 8.72760
hiring_manager: siddarthd2919; similarity_score: 8.59060
hiring_manager: brendankemp; similarity_score: 8.56145
hiring_manager: courtneypowell; similarity_score: 8.38059
hiring_manager: brendan_gill; similarity_score: 8.35204
hiring_manager: gsastry; similarity_score: 8.33333
hiring_manager: BillFranklin; similarity_score: 8.29015
hiring_manager: curiousDog; similarity_score: 7.88436
hiring_manager: OpenDrapery; similarity_score: 7.68211
hiring_manager: kmano8; similarity_score: 7.55140
hiring_manager: ndonnellan; similarity_score: 7.53330
hiring_manager: bitcrusher; similarity_score: 7.51789
hiring_manager: jnenglish; similarity_score: 7.48007
hiring_manager: Cyranix; similarity_score: 7.38974
hiring_manager: Caleb_Smith; similarity_score: 7.38786
hiring_manager: quinthar; similarity_score: 7.35873
hiring_manager: Clairesheng; similarity_score: 7.15517
hiring_manager: papaonlegs; similarity_score: 6.99865
hiring_manager: bsnyder; similarity_score: 6.92512
hiring_manager: spooneybarger; similarity_score: 6.77419
hiring_manager: paradox95; similarity_score: 6.67172
hiring_manager: xasos; similarity_score: 6.51289
hiring_manager: sb_ba; similarity_score: 6.43980
hiring_manager: sid6376; similarity_score: 6.33245
hiring_manager: rrpadhy; similarity_score: 6.13496
hiring_manager: Equiet; similarity_score: 5.82218
hiring_manager: BWStearns; similarity_score: 5.72970
hiring_manager: bostonpete; similarity_score: 5.44217
hiring_manager: kenrose; similarity_score: 5.43746
hiring_manager: timanglade; similarity_score: 5.41813
hiring_manager: alexose; similarity_score: 5.36013
hiring_manager: alexthornton; similarity_score: 5.08143
hiring_manager: fapjacks; similarity_score: 4.50331
hiring_manager: plaban123; similarity_score: 4.42132
hiring_manager: neftaly; similarity_score: 4.31266
hiring_manager: frabrunelle; similarity_score: 4.21364
hiring_manager: metaobject; similarity_score: 4.03225
hiring_manager: zacharycohn; similarity_score: 3.87811
hiring_manager: deepsearch; similarity_score: 2.50696
hiring_manager: bohnej; similarity_score: 2.21914
hiring_manager: namelezz; similarity_score: 0.0
