job_seeker: FiddlerClamp; similarity_score: 0.92173
job_seeker: asethwright; similarity_score: 0.71140
job_seeker: cday; similarity_score: 0.70666
job_seeker: paulojreis; similarity_score: 0.70666
job_seeker: lukasLansky; similarity_score: 0.70666
job_seeker: jan0e; similarity_score: 0.70666
job_seeker: csorrell; similarity_score: 0.70666
job_seeker: ddebernardy; similarity_score: 0.70665
job_seeker: gsamm; similarity_score: 0.70198
job_seeker: nt_tdc; similarity_score: 0.70197
job_seeker: akama; similarity_score: 0.70197
job_seeker: BenderV; similarity_score: 0.69736
job_seeker: hayolie; similarity_score: 0.69736
job_seeker: sfteus; similarity_score: 0.69280
job_seeker: yen223; similarity_score: 0.69280
job_seeker: ealeksandrov; similarity_score: 0.69280
job_seeker: mtdavis; similarity_score: 0.69280
job_seeker: keraj; similarity_score: 0.68831
job_seeker: bluerobotcat; similarity_score: 0.68830
job_seeker: dyadic; similarity_score: 0.68386
job_seeker: yzzxy; similarity_score: 0.67947
job_seeker: emillon; similarity_score: 0.67515
job_seeker: tomaskazemekas; similarity_score: 0.66666
job_seeker: gmoneynj2000; similarity_score: 0.66666
job_seeker: navait; similarity_score: 0.66249
job_seeker: Jarlakxen; similarity_score: 0.65431
job_seeker: domador; similarity_score: 0.65431
job_seeker: 67726e; similarity_score: 0.65030
job_seeker: schneidmaster; similarity_score: 0.65029
job_seeker: jw989; similarity_score: 0.64633
job_seeker: bcoates; similarity_score: 0.64241
job_seeker: iN7h33nD; similarity_score: 0.64241
job_seeker: Akkuma; similarity_score: 0.63472
job_seeker: kparaju; similarity_score: 0.63095
job_seeker: chrispecoraro; similarity_score: 0.62721
job_seeker: sdernley; similarity_score: 0.62721
job_seeker: avyfain; similarity_score: 0.61988
job_seeker: zwetan; similarity_score: 0.61987
job_seeker: kirpekar; similarity_score: 0.61627
job_seeker: yoav; similarity_score: 0.61627
job_seeker: RickS; similarity_score: 0.61626
job_seeker: mike-cardwell; similarity_score: 0.61270
job_seeker: btbuildem; similarity_score: 0.60918
job_seeker: majodev; similarity_score: 0.60918
job_seeker: TheDom; similarity_score: 0.60918
job_seeker: sidmitra; similarity_score: 0.60918
job_seeker: valarauca1; similarity_score: 0.60227
job_seeker: hereonbusiness; similarity_score: 0.60226
job_seeker: joyofdata; similarity_score: 0.59886
job_seeker: acharnou; similarity_score: 0.59217
job_seeker: osenar; similarity_score: 0.59217
job_seeker: siscia; similarity_score: 0.59217
job_seeker: richardhoward; similarity_score: 0.58563
job_seeker: AlexNeoNomad; similarity_score: 0.57296
job_seeker: HamboneWilson; similarity_score: 0.57296
job_seeker: eximius; similarity_score: 0.56988
job_seeker: jrm2k6; similarity_score: 0.56988
job_seeker: throwaway83; similarity_score: 0.56381
job_seeker: howard941; similarity_score: 0.55789
job_seeker: jamesbrewer; similarity_score: 0.55208
job_seeker: madprops; similarity_score: 0.53806
job_seeker: saiko-chriskun; similarity_score: 0.53534
job_seeker: ryankevans; similarity_score: 0.53265
job_seeker: orteipid; similarity_score: 0.49999
job_seeker: Hario; similarity_score: 0.48847
job_seeker: lechuckcaptain; similarity_score: 0.47533
job_seeker: wyclif; similarity_score: 0.45298
job_seeker: KTamasEnty; similarity_score: 0.44725
job_seeker: tehwalrus; similarity_score: 0.41896
job_seeker: frazer; similarity_score: 0.41084
job_seeker: chrisbennet; similarity_score: 0.40151
job_seeker: astangl; similarity_score: 0.39849
job_seeker: batbomb; similarity_score: 0.35931
