job_seeker: vdimarco; similarity_score: 0.96254
job_seeker: ryanjanvier; similarity_score: 0.89859
job_seeker: philippnagel; similarity_score: 0.89546
job_seeker: gothy; similarity_score: 0.89546
job_seeker: 32faction; similarity_score: 0.89236
job_seeker: mateja; similarity_score: 0.89235
job_seeker: baggachipz; similarity_score: 0.89235
job_seeker: rahulroy; similarity_score: 0.89235
job_seeker: 3zzy; similarity_score: 0.88927
job_seeker: toddrew; similarity_score: 0.88927
job_seeker: thomasfromcdnjs; similarity_score: 0.88927
job_seeker: nubcakes; similarity_score: 0.88926
job_seeker: 2close4comfort; similarity_score: 0.88926
job_seeker: pablokbs; similarity_score: 0.88926
job_seeker: nicopace; similarity_score: 0.88926
job_seeker: cpursley; similarity_score: 0.88620
job_seeker: jecjec; similarity_score: 0.88315
job_seeker: lukasLansky; similarity_score: 0.88315
job_seeker: Achshar; similarity_score: 0.88315
job_seeker: zachcowell; similarity_score: 0.88315
job_seeker: gsamm; similarity_score: 0.88013
job_seeker: beanmind; similarity_score: 0.88013
job_seeker: fvinci; similarity_score: 0.88013
job_seeker: apsdehal; similarity_score: 0.88013
job_seeker: TapanilaT; similarity_score: 0.88013
job_seeker: hiby007; similarity_score: 0.88013
job_seeker: dyadic; similarity_score: 0.88012
job_seeker: 2bluesc; similarity_score: 0.88012
job_seeker: akama; similarity_score: 0.87713
job_seeker: kidsil; similarity_score: 0.87713
job_seeker: asethwright; similarity_score: 0.87712
job_seeker: nt_tdc; similarity_score: 0.87414
job_seeker: bruticus; similarity_score: 0.87414
job_seeker: Cyranix; similarity_score: 0.87414
job_seeker: Daves; similarity_score: 0.87118
job_seeker: jan0e; similarity_score: 0.86824
job_seeker: hayolie; similarity_score: 0.86824
job_seeker: keraj; similarity_score: 0.86823
job_seeker: codez; similarity_score: 0.86823
job_seeker: csorrell; similarity_score: 0.86531
job_seeker: darsi; similarity_score: 0.86531
job_seeker: cday; similarity_score: 0.86531
job_seeker: yen223; similarity_score: 0.86531
job_seeker: ddebernardy; similarity_score: 0.86241
job_seeker: J_Darnley; similarity_score: 0.86241
job_seeker: mtdavis; similarity_score: 0.86241
job_seeker: keane; similarity_score: 0.86241
job_seeker: gmoneynj2000; similarity_score: 0.85953
job_seeker: yzzxy; similarity_score: 0.85952
job_seeker: BenderV; similarity_score: 0.85952
job_seeker: cswelin; similarity_score: 0.85952
job_seeker: ealeksandrov; similarity_score: 0.85952
job_seeker: bluerobotcat; similarity_score: 0.85952
job_seeker: jw989; similarity_score: 0.85666
job_seeker: emillon; similarity_score: 0.85665
job_seeker: paulojreis; similarity_score: 0.85665
job_seeker: sfteus; similarity_score: 0.85381
job_seeker: tomaskazemekas; similarity_score: 0.85099
job_seeker: zwetan; similarity_score: 0.85098
job_seeker: bcoates; similarity_score: 0.84818
job_seeker: iN7h33nD; similarity_score: 0.84539
job_seeker: navait; similarity_score: 0.84539
job_seeker: schneidmaster; similarity_score: 0.84538
job_seeker: Jarlakxen; similarity_score: 0.83986
job_seeker: sdernley; similarity_score: 0.83440
job_seeker: TheDom; similarity_score: 0.83171
job_seeker: 67726e; similarity_score: 0.83171
job_seeker: Akkuma; similarity_score: 0.82902
job_seeker: avyfain; similarity_score: 0.82636
job_seeker: btbuildem; similarity_score: 0.82636
job_seeker: domador; similarity_score: 0.82108
job_seeker: RickS; similarity_score: 0.82107
job_seeker: kparaju; similarity_score: 0.82107
job_seeker: hereonbusiness; similarity_score: 0.81586
job_seeker: kirpekar; similarity_score: 0.81071
job_seeker: siscia; similarity_score: 0.80817
job_seeker: majodev; similarity_score: 0.80817
job_seeker: yoav; similarity_score: 0.80816
job_seeker: chrispecoraro; similarity_score: 0.80816
job_seeker: sidmitra; similarity_score: 0.80563
job_seeker: osenar; similarity_score: 0.80311
job_seeker: AlexNeoNomad; similarity_score: 0.80311
job_seeker: jrm2k6; similarity_score: 0.80062
job_seeker: mike-cardwell; similarity_score: 0.80061
job_seeker: joyofdata; similarity_score: 0.79813
job_seeker: eximius; similarity_score: 0.79813
job_seeker: richardhoward; similarity_score: 0.79813
job_seeker: valarauca1; similarity_score: 0.79566
job_seeker: acharnou; similarity_score: 0.79320
job_seeker: HamboneWilson; similarity_score: 0.79320
job_seeker: jamesbrewer; similarity_score: 0.79076
job_seeker: throwaway83; similarity_score: 0.79076
job_seeker: howard941; similarity_score: 0.77877
job_seeker: madprops; similarity_score: 0.77642
job_seeker: saiko-chriskun; similarity_score: 0.76260
job_seeker: ryankevans; similarity_score: 0.75365
job_seeker: orteipid; similarity_score: 0.74062
job_seeker: Hario; similarity_score: 0.73218
job_seeker: lechuckcaptain; similarity_score: 0.71587
job_seeker: wyclif; similarity_score: 0.70604
job_seeker: KTamasEnty; similarity_score: 0.69836
job_seeker: tehwalrus; similarity_score: 0.67809
job_seeker: frazer; similarity_score: 0.66237
job_seeker: astangl; similarity_score: 0.64410
job_seeker: chrisbennet; similarity_score: 0.63771
job_seeker: batbomb; similarity_score: 0.59905
