job_seeker: vdimarco; similarity_score: 0.96370
job_seeker: osenar; similarity_score: 0.77345
job_seeker: richardhoward; similarity_score: 0.77096
job_seeker: madprops; similarity_score: 0.76848
job_seeker: acharnou; similarity_score: 0.76848
job_seeker: throwaway83; similarity_score: 0.76357
job_seeker: HamboneWilson; similarity_score: 0.76357
job_seeker: howard941; similarity_score: 0.75156
job_seeker: jamesbrewer; similarity_score: 0.74686
job_seeker: ryankevans; similarity_score: 0.73537
job_seeker: saiko-chriskun; similarity_score: 0.72643
job_seeker: orteipid; similarity_score: 0.72204
job_seeker: Hario; similarity_score: 0.70709
job_seeker: lechuckcaptain; similarity_score: 0.68875
job_seeker: wyclif; similarity_score: 0.67513
job_seeker: KTamasEnty; similarity_score: 0.66573
job_seeker: tehwalrus; similarity_score: 0.64593
job_seeker: frazer; similarity_score: 0.63563
job_seeker: astangl; similarity_score: 0.61124
job_seeker: chrisbennet; similarity_score: 0.60968
job_seeker: batbomb; similarity_score: 0.58435
