job_seeker: colsandurz; similarity_score: 0.88888
job_seeker: Jarlakxen; similarity_score: 0.56737
job_seeker: zwetan; similarity_score: 0.56737
job_seeker: domador; similarity_score: 0.56337
job_seeker: kparaju; similarity_score: 0.56337
job_seeker: avyfain; similarity_score: 0.55555
job_seeker: Akkuma; similarity_score: 0.55555
job_seeker: chrispecoraro; similarity_score: 0.54794
job_seeker: TheDom; similarity_score: 0.54421
job_seeker: kirpekar; similarity_score: 0.54053
job_seeker: btbuildem; similarity_score: 0.53690
job_seeker: sidmitra; similarity_score: 0.53333
job_seeker: majodev; similarity_score: 0.53332
job_seeker: RickS; similarity_score: 0.52979
job_seeker: mike-cardwell; similarity_score: 0.52979
job_seeker: hereonbusiness; similarity_score: 0.52631
job_seeker: yoav; similarity_score: 0.52287
job_seeker: acharnou; similarity_score: 0.51947
job_seeker: siscia; similarity_score: 0.51612
job_seeker: valarauca1; similarity_score: 0.51281
job_seeker: joyofdata; similarity_score: 0.51281
job_seeker: AlexNeoNomad; similarity_score: 0.50632
job_seeker: osenar; similarity_score: 0.50632
job_seeker: richardhoward; similarity_score: 0.50314
job_seeker: eximius; similarity_score: 0.50314
job_seeker: HamboneWilson; similarity_score: 0.48779
job_seeker: jrm2k6; similarity_score: 0.48484
job_seeker: throwaway83; similarity_score: 0.48484
job_seeker: howard941; similarity_score: 0.48192
job_seeker: jamesbrewer; similarity_score: 0.47618
job_seeker: madprops; similarity_score: 0.46241
job_seeker: ryankevans; similarity_score: 0.44444
job_seeker: saiko-chriskun; similarity_score: 0.43477
job_seeker: orteipid; similarity_score: 0.42552
job_seeker: Hario; similarity_score: 0.41236
job_seeker: lechuckcaptain; similarity_score: 0.39602
job_seeker: wyclif; similarity_score: 0.37557
job_seeker: KTamasEnty; similarity_score: 0.36363
job_seeker: tehwalrus; similarity_score: 0.35398
job_seeker: frazer; similarity_score: 0.34187
job_seeker: chrisbennet; similarity_score: 0.32519
job_seeker: astangl; similarity_score: 0.32257
job_seeker: batbomb; similarity_score: 0.29196
