job_seeker: trumbitta2; similarity_score: 0.66666
job_seeker: rhexs; similarity_score: 0.01492
job_seeker: th1agofm; similarity_score: 0.01398
job_seeker: wyclif; similarity_score: 0.01388
job_seeker: jbcrail; similarity_score: 0.01351
job_seeker: addisonj; similarity_score: 0.01265
job_seeker: dmunoz; similarity_score: 0.01234
job_seeker: laughfactory; similarity_score: 0.01212
job_seeker: doorty; similarity_score: 0.01148
job_seeker: thegrif; similarity_score: 0.01111
job_seeker: astangl; similarity_score: 0.01069
job_seeker: pookieinc; similarity_score: 0.01040
