job_seeker: FiddlerClamp; similarity_score: 0.94185
job_seeker: 3zzy; similarity_score: 0.83937
job_seeker: asfarley; similarity_score: 0.83937
job_seeker: waiquoo; similarity_score: 0.83937
job_seeker: mariocesar; similarity_score: 0.83937
job_seeker: rogerbinns; similarity_score: 0.83937
job_seeker: nubcakes; similarity_score: 0.83504
job_seeker: pablokbs; similarity_score: 0.83504
job_seeker: gothy; similarity_score: 0.83076
job_seeker: baggachipz; similarity_score: 0.83076
job_seeker: 2close4comfort; similarity_score: 0.82652
job_seeker: ryanjanvier; similarity_score: 0.82652
job_seeker: zachcowell; similarity_score: 0.82652
job_seeker: Grue3; similarity_score: 0.82652
job_seeker: codez; similarity_score: 0.82233
job_seeker: japesinator; similarity_score: 0.82232
job_seeker: hiby007; similarity_score: 0.82232
job_seeker: mateja; similarity_score: 0.81818
job_seeker: philippnagel; similarity_score: 0.81817
job_seeker: ryaneager; similarity_score: 0.81817
job_seeker: rahulroy; similarity_score: 0.81817
job_seeker: Achshar; similarity_score: 0.81817
job_seeker: 32faction; similarity_score: 0.81817
job_seeker: thomasfromcdnjs; similarity_score: 0.81406
job_seeker: bruticus; similarity_score: 0.81406
job_seeker: 2bluesc; similarity_score: 0.80999
job_seeker: apsdehal; similarity_score: 0.80999
job_seeker: yen223; similarity_score: 0.80999
job_seeker: kidsil; similarity_score: 0.80596
job_seeker: jecjec; similarity_score: 0.80596
job_seeker: TapanilaT; similarity_score: 0.80596
job_seeker: cpursley; similarity_score: 0.80197
job_seeker: Cyranix; similarity_score: 0.80197
job_seeker: Daves; similarity_score: 0.79802
job_seeker: ddebernardy; similarity_score: 0.79802
job_seeker: cswelin; similarity_score: 0.79411
job_seeker: beanmind; similarity_score: 0.79411
job_seeker: ealeksandrov; similarity_score: 0.79411
job_seeker: darsi; similarity_score: 0.79411
job_seeker: nt_tdc; similarity_score: 0.79411
job_seeker: akama; similarity_score: 0.79024
job_seeker: keane; similarity_score: 0.79023
job_seeker: lukasLansky; similarity_score: 0.79023
job_seeker: toddrew; similarity_score: 0.78640
job_seeker: fvinci; similarity_score: 0.78260
job_seeker: J_Darnley; similarity_score: 0.78260
job_seeker: csorrell; similarity_score: 0.78260
job_seeker: cday; similarity_score: 0.78260
job_seeker: asethwright; similarity_score: 0.78260
job_seeker: jan0e; similarity_score: 0.78260
job_seeker: mtdavis; similarity_score: 0.77884
job_seeker: BenderV; similarity_score: 0.77883
job_seeker: hayolie; similarity_score: 0.77511
job_seeker: paulojreis; similarity_score: 0.77511
job_seeker: gsamm; similarity_score: 0.77142
job_seeker: dyadic; similarity_score: 0.77142
job_seeker: keraj; similarity_score: 0.77141
job_seeker: bluerobotcat; similarity_score: 0.76776
job_seeker: sfteus; similarity_score: 0.76414
job_seeker: emillon; similarity_score: 0.76055
job_seeker: navait; similarity_score: 0.75700
job_seeker: yzzxy; similarity_score: 0.75700
job_seeker: 67726e; similarity_score: 0.74999
job_seeker: tomaskazemekas; similarity_score: 0.74999
job_seeker: Jarlakxen; similarity_score: 0.74653
job_seeker: gmoneynj2000; similarity_score: 0.74653
job_seeker: jw989; similarity_score: 0.74653
job_seeker: schneidmaster; similarity_score: 0.73635
job_seeker: bcoates; similarity_score: 0.73302
job_seeker: iN7h33nD; similarity_score: 0.72972
job_seeker: avyfain; similarity_score: 0.72972
job_seeker: domador; similarity_score: 0.72645
job_seeker: chrispecoraro; similarity_score: 0.71999
job_seeker: zwetan; similarity_score: 0.71681
job_seeker: sidmitra; similarity_score: 0.71680
job_seeker: kparaju; similarity_score: 0.71680
job_seeker: Akkuma; similarity_score: 0.71680
job_seeker: sdernley; similarity_score: 0.71365
job_seeker: btbuildem; similarity_score: 0.71052
job_seeker: yoav; similarity_score: 0.71051
job_seeker: kirpekar; similarity_score: 0.70434
job_seeker: hereonbusiness; similarity_score: 0.70434
job_seeker: TheDom; similarity_score: 0.70129
job_seeker: acharnou; similarity_score: 0.70129
job_seeker: majodev; similarity_score: 0.70129
job_seeker: mike-cardwell; similarity_score: 0.70128
job_seeker: valarauca1; similarity_score: 0.69527
job_seeker: RickS; similarity_score: 0.69230
job_seeker: joyofdata; similarity_score: 0.68354
job_seeker: siscia; similarity_score: 0.68353
job_seeker: richardhoward; similarity_score: 0.68066
job_seeker: eximius; similarity_score: 0.67499
job_seeker: AlexNeoNomad; similarity_score: 0.67499
job_seeker: HamboneWilson; similarity_score: 0.67219
job_seeker: throwaway83; similarity_score: 0.66941
job_seeker: jamesbrewer; similarity_score: 0.66666
job_seeker: jrm2k6; similarity_score: 0.66665
job_seeker: osenar; similarity_score: 0.66392
job_seeker: howard941; similarity_score: 0.66392
job_seeker: madprops; similarity_score: 0.65059
job_seeker: saiko-chriskun; similarity_score: 0.64030
job_seeker: ryankevans; similarity_score: 0.62306
job_seeker: Hario; similarity_score: 0.60222
job_seeker: orteipid; similarity_score: 0.60222
job_seeker: lechuckcaptain; similarity_score: 0.59999
job_seeker: wyclif; similarity_score: 0.56445
job_seeker: KTamasEnty; similarity_score: 0.54728
job_seeker: frazer; similarity_score: 0.52768
job_seeker: tehwalrus; similarity_score: 0.52426
job_seeker: astangl; similarity_score: 0.50310
job_seeker: chrisbennet; similarity_score: 0.49541
job_seeker: batbomb; similarity_score: 0.45891
