job_seeker: colsandurz; similarity_score: 0.94623
job_seeker: gothy; similarity_score: 0.87561
job_seeker: ucacian; similarity_score: 0.87561
job_seeker: mariocesar; similarity_score: 0.87128
job_seeker: Nullslash; similarity_score: 0.87127
job_seeker: ownagefool; similarity_score: 0.86698
job_seeker: rogerbinns; similarity_score: 0.86698
job_seeker: srpoder; similarity_score: 0.86274
job_seeker: 3zzy; similarity_score: 0.86273
job_seeker: asfarley; similarity_score: 0.85853
job_seeker: claudiordgz; similarity_score: 0.85853
job_seeker: japesinator; similarity_score: 0.85852
job_seeker: waiquoo; similarity_score: 0.85436
job_seeker: nicopace; similarity_score: 0.85023
job_seeker: rahulroy; similarity_score: 0.85023
job_seeker: nubcakes; similarity_score: 0.85023
job_seeker: ryanjanvier; similarity_score: 0.84615
job_seeker: 32faction; similarity_score: 0.84615
job_seeker: Grue3; similarity_score: 0.84614
job_seeker: ryaneager; similarity_score: 0.84210
job_seeker: 2close4comfort; similarity_score: 0.84210
job_seeker: hiby007; similarity_score: 0.84210
job_seeker: mateja; similarity_score: 0.84209
job_seeker: philippnagel; similarity_score: 0.84209
job_seeker: thomasfromcdnjs; similarity_score: 0.84209
job_seeker: 2bluesc; similarity_score: 0.83809
job_seeker: Achshar; similarity_score: 0.83808
job_seeker: baggachipz; similarity_score: 0.83808
job_seeker: kidsil; similarity_score: 0.83412
job_seeker: pablokbs; similarity_score: 0.83411
job_seeker: zachcowell; similarity_score: 0.83411
job_seeker: cpursley; similarity_score: 0.83411
job_seeker: codez; similarity_score: 0.82629
job_seeker: apsdehal; similarity_score: 0.82629
job_seeker: jecjec; similarity_score: 0.82628
job_seeker: bruticus; similarity_score: 0.82242
job_seeker: TapanilaT; similarity_score: 0.82242
job_seeker: darsi; similarity_score: 0.82242
job_seeker: fvinci; similarity_score: 0.81860
job_seeker: keane; similarity_score: 0.81860
job_seeker: lukasLansky; similarity_score: 0.81860
job_seeker: beanmind; similarity_score: 0.81859
job_seeker: Cyranix; similarity_score: 0.81859
job_seeker: toddrew; similarity_score: 0.81859
job_seeker: akama; similarity_score: 0.81481
job_seeker: asethwright; similarity_score: 0.81481
job_seeker: cswelin; similarity_score: 0.81481
job_seeker: gsamm; similarity_score: 0.81481
job_seeker: cday; similarity_score: 0.81480
job_seeker: jan0e; similarity_score: 0.81480
job_seeker: BenderV; similarity_score: 0.81480
job_seeker: mtdavis; similarity_score: 0.81105
job_seeker: Daves; similarity_score: 0.81105
job_seeker: yen223; similarity_score: 0.81105
job_seeker: keraj; similarity_score: 0.80733
job_seeker: sfteus; similarity_score: 0.80733
job_seeker: ealeksandrov; similarity_score: 0.80733
job_seeker: ddebernardy; similarity_score: 0.80733
job_seeker: nt_tdc; similarity_score: 0.80364
job_seeker: csorrell; similarity_score: 0.80364
job_seeker: J_Darnley; similarity_score: 0.80364
job_seeker: paulojreis; similarity_score: 0.79999
job_seeker: gmoneynj2000; similarity_score: 0.79637
job_seeker: emillon; similarity_score: 0.79637
job_seeker: hayolie; similarity_score: 0.79637
job_seeker: dyadic; similarity_score: 0.79278
job_seeker: bluerobotcat; similarity_score: 0.79278
job_seeker: yzzxy; similarity_score: 0.78923
job_seeker: tomaskazemekas; similarity_score: 0.78922
job_seeker: jw989; similarity_score: 0.78570
job_seeker: navait; similarity_score: 0.78221
job_seeker: Jarlakxen; similarity_score: 0.77192
job_seeker: 67726e; similarity_score: 0.77192
job_seeker: schneidmaster; similarity_score: 0.76521
job_seeker: domador; similarity_score: 0.76189
job_seeker: sdernley; similarity_score: 0.75861
job_seeker: zwetan; similarity_score: 0.75861
job_seeker: bcoates; similarity_score: 0.75861
job_seeker: avyfain; similarity_score: 0.75861
job_seeker: btbuildem; similarity_score: 0.75535
job_seeker: iN7h33nD; similarity_score: 0.75535
job_seeker: kparaju; similarity_score: 0.75213
job_seeker: Akkuma; similarity_score: 0.75212
job_seeker: chrispecoraro; similarity_score: 0.74575
job_seeker: sidmitra; similarity_score: 0.74261
job_seeker: TheDom; similarity_score: 0.73949
job_seeker: hereonbusiness; similarity_score: 0.73949
job_seeker: RickS; similarity_score: 0.73332
job_seeker: majodev; similarity_score: 0.73332
job_seeker: kirpekar; similarity_score: 0.73028
job_seeker: mike-cardwell; similarity_score: 0.73028
job_seeker: valarauca1; similarity_score: 0.72727
job_seeker: yoav; similarity_score: 0.72726
job_seeker: joyofdata; similarity_score: 0.72726
job_seeker: siscia; similarity_score: 0.72130
job_seeker: acharnou; similarity_score: 0.71836
job_seeker: osenar; similarity_score: 0.71254
job_seeker: HamboneWilson; similarity_score: 0.71254
job_seeker: eximius; similarity_score: 0.70967
job_seeker: AlexNeoNomad; similarity_score: 0.70967
job_seeker: throwaway83; similarity_score: 0.70681
job_seeker: richardhoward; similarity_score: 0.70399
job_seeker: howard941; similarity_score: 0.70119
job_seeker: jrm2k6; similarity_score: 0.70118
job_seeker: jamesbrewer; similarity_score: 0.69841
job_seeker: madprops; similarity_score: 0.68482
job_seeker: ryankevans; similarity_score: 0.67175
job_seeker: saiko-chriskun; similarity_score: 0.66920
job_seeker: orteipid; similarity_score: 0.63768
job_seeker: Hario; similarity_score: 0.63308
job_seeker: lechuckcaptain; similarity_score: 0.61110
job_seeker: wyclif; similarity_score: 0.60899
job_seeker: KTamasEnty; similarity_score: 0.58277
job_seeker: tehwalrus; similarity_score: 0.56229
job_seeker: frazer; similarity_score: 0.56050
job_seeker: astangl; similarity_score: 0.53657
job_seeker: chrisbennet; similarity_score: 0.53171
job_seeker: batbomb; similarity_score: 0.49717
