job_seeker: vdimarco; similarity_score: 0.96969
job_seeker: mike-cardwell; similarity_score: 0.82285
job_seeker: sidmitra; similarity_score: 0.82050
job_seeker: yoav; similarity_score: 0.81817
job_seeker: joyofdata; similarity_score: 0.81355
job_seeker: jrm2k6; similarity_score: 0.81126
job_seeker: AlexNeoNomad; similarity_score: 0.81125
job_seeker: HamboneWilson; similarity_score: 0.80446
job_seeker: richardhoward; similarity_score: 0.80446
job_seeker: throwaway83; similarity_score: 0.80222
job_seeker: madprops; similarity_score: 0.80222
job_seeker: eximius; similarity_score: 0.79999
job_seeker: howard941; similarity_score: 0.79338
job_seeker: jamesbrewer; similarity_score: 0.79120
job_seeker: saiko-chriskun; similarity_score: 0.77627
job_seeker: ryankevans; similarity_score: 0.77418
job_seeker: orteipid; similarity_score: 0.76190
job_seeker: Hario; similarity_score: 0.75392
job_seeker: lechuckcaptain; similarity_score: 0.74804
job_seeker: wyclif; similarity_score: 0.72180
job_seeker: KTamasEnty; similarity_score: 0.70072
job_seeker: tehwalrus; similarity_score: 0.68408
job_seeker: frazer; similarity_score: 0.67289
job_seeker: astangl; similarity_score: 0.66821
job_seeker: chrisbennet; similarity_score: 0.66206
job_seeker: batbomb; similarity_score: 0.63296
