job_seeker: vdimarco; similarity_score: 0.81131
job_seeker: kirpekar; similarity_score: 0.38052
job_seeker: majodev; similarity_score: 0.37719
job_seeker: hereonbusiness; similarity_score: 0.37390
job_seeker: acharnou; similarity_score: 0.37068
job_seeker: yoav; similarity_score: 0.37068
job_seeker: joyofdata; similarity_score: 0.36751
job_seeker: valarauca1; similarity_score: 0.36440
job_seeker: RickS; similarity_score: 0.36134
job_seeker: siscia; similarity_score: 0.36134
job_seeker: richardhoward; similarity_score: 0.35832
job_seeker: osenar; similarity_score: 0.34958
job_seeker: jrm2k6; similarity_score: 0.34676
job_seeker: AlexNeoNomad; similarity_score: 0.34399
job_seeker: eximius; similarity_score: 0.34126
job_seeker: HamboneWilson; similarity_score: 0.34126
job_seeker: throwaway83; similarity_score: 0.33857
job_seeker: howard941; similarity_score: 0.33332
job_seeker: jamesbrewer; similarity_score: 0.33076
job_seeker: madprops; similarity_score: 0.31386
job_seeker: saiko-chriskun; similarity_score: 0.30281
job_seeker: ryankevans; similarity_score: 0.29250
job_seeker: orteipid; similarity_score: 0.28104
job_seeker: Hario; similarity_score: 0.27563
job_seeker: lechuckcaptain; similarity_score: 0.25443
job_seeker: wyclif; similarity_score: 0.24157
job_seeker: KTamasEnty; similarity_score: 0.22994
job_seeker: tehwalrus; similarity_score: 0.22395
job_seeker: frazer; similarity_score: 0.21392
job_seeker: chrisbennet; similarity_score: 0.20673
job_seeker: astangl; similarity_score: 0.20093
job_seeker: batbomb; similarity_score: 0.17842
