job_seeker: colsandurz; similarity_score: 0.94252
job_seeker: yzzxy; similarity_score: 0.77358
job_seeker: dyadic; similarity_score: 0.76994
job_seeker: emillon; similarity_score: 0.76635
job_seeker: tomaskazemekas; similarity_score: 0.76278
job_seeker: gmoneynj2000; similarity_score: 0.75925
job_seeker: jw989; similarity_score: 0.75925
job_seeker: domador; similarity_score: 0.75575
job_seeker: 67726e; similarity_score: 0.75228
job_seeker: bcoates; similarity_score: 0.75228
job_seeker: schneidmaster; similarity_score: 0.75228
job_seeker: avyfain; similarity_score: 0.74885
job_seeker: Jarlakxen; similarity_score: 0.74884
job_seeker: btbuildem; similarity_score: 0.73873
job_seeker: iN7h33nD; similarity_score: 0.73873
job_seeker: kparaju; similarity_score: 0.73542
job_seeker: majodev; similarity_score: 0.73213
job_seeker: zwetan; similarity_score: 0.72888
job_seeker: sdernley; similarity_score: 0.72565
job_seeker: Akkuma; similarity_score: 0.72246
job_seeker: TheDom; similarity_score: 0.72246
job_seeker: hereonbusiness; similarity_score: 0.71929
job_seeker: yoav; similarity_score: 0.71615
job_seeker: kirpekar; similarity_score: 0.71303
job_seeker: mike-cardwell; similarity_score: 0.71303
job_seeker: RickS; similarity_score: 0.71303
job_seeker: chrispecoraro; similarity_score: 0.70995
job_seeker: acharnou; similarity_score: 0.70689
job_seeker: sidmitra; similarity_score: 0.70688
job_seeker: valarauca1; similarity_score: 0.70386
job_seeker: joyofdata; similarity_score: 0.70385
job_seeker: siscia; similarity_score: 0.68907
job_seeker: richardhoward; similarity_score: 0.68906
job_seeker: osenar; similarity_score: 0.68906
job_seeker: throwaway83; similarity_score: 0.68906
job_seeker: AlexNeoNomad; similarity_score: 0.68618
job_seeker: eximius; similarity_score: 0.68618
job_seeker: HamboneWilson; similarity_score: 0.68332
job_seeker: jrm2k6; similarity_score: 0.68332
job_seeker: jamesbrewer; similarity_score: 0.67488
job_seeker: howard941; similarity_score: 0.66396
job_seeker: saiko-chriskun; similarity_score: 0.64821
job_seeker: ryankevans; similarity_score: 0.64821
job_seeker: madprops; similarity_score: 0.64566
job_seeker: Hario; similarity_score: 0.61422
job_seeker: orteipid; similarity_score: 0.61422
job_seeker: lechuckcaptain; similarity_score: 0.59635
job_seeker: wyclif; similarity_score: 0.57142
job_seeker: KTamasEnty; similarity_score: 0.55972
job_seeker: tehwalrus; similarity_score: 0.53073
job_seeker: frazer; similarity_score: 0.52563
job_seeker: astangl; similarity_score: 0.51898
job_seeker: chrisbennet; similarity_score: 0.50773
job_seeker: batbomb; similarity_score: 0.47125
