job_seeker: FiddlerClamp; similarity_score: 0.88888
job_seeker: mtdavis; similarity_score: 0.61067
job_seeker: emillon; similarity_score: 0.61067
job_seeker: yzzxy; similarity_score: 0.60605
job_seeker: tomaskazemekas; similarity_score: 0.60150
job_seeker: Jarlakxen; similarity_score: 0.58822
job_seeker: jw989; similarity_score: 0.58822
job_seeker: 67726e; similarity_score: 0.58393
job_seeker: schneidmaster; similarity_score: 0.57970
job_seeker: navait; similarity_score: 0.57553
job_seeker: iN7h33nD; similarity_score: 0.57553
job_seeker: sdernley; similarity_score: 0.57142
job_seeker: bcoates; similarity_score: 0.57142
job_seeker: kparaju; similarity_score: 0.56737
job_seeker: zwetan; similarity_score: 0.56737
job_seeker: avyfain; similarity_score: 0.56337
job_seeker: domador; similarity_score: 0.56337
job_seeker: Akkuma; similarity_score: 0.56337
job_seeker: sidmitra; similarity_score: 0.55943
job_seeker: chrispecoraro; similarity_score: 0.55555
job_seeker: TheDom; similarity_score: 0.54420
job_seeker: btbuildem; similarity_score: 0.54420
job_seeker: mike-cardwell; similarity_score: 0.54420
job_seeker: kirpekar; similarity_score: 0.53691
job_seeker: yoav; similarity_score: 0.53332
job_seeker: hereonbusiness; similarity_score: 0.53332
job_seeker: siscia; similarity_score: 0.52286
job_seeker: RickS; similarity_score: 0.52286
job_seeker: majodev; similarity_score: 0.51947
job_seeker: acharnou; similarity_score: 0.51947
job_seeker: richardhoward; similarity_score: 0.51947
job_seeker: valarauca1; similarity_score: 0.51947
job_seeker: joyofdata; similarity_score: 0.51612
job_seeker: osenar; similarity_score: 0.51281
job_seeker: AlexNeoNomad; similarity_score: 0.50955
job_seeker: eximius; similarity_score: 0.49999
job_seeker: howard941; similarity_score: 0.49381
job_seeker: HamboneWilson; similarity_score: 0.49079
job_seeker: jamesbrewer; similarity_score: 0.49079
job_seeker: jrm2k6; similarity_score: 0.49079
job_seeker: throwaway83; similarity_score: 0.49078
job_seeker: madprops; similarity_score: 0.47618
job_seeker: saiko-chriskun; similarity_score: 0.46511
job_seeker: ryankevans; similarity_score: 0.44691
job_seeker: orteipid; similarity_score: 0.43242
job_seeker: Hario; similarity_score: 0.41236
job_seeker: lechuckcaptain; similarity_score: 0.40403
job_seeker: wyclif; similarity_score: 0.38095
job_seeker: KTamasEnty; similarity_score: 0.37914
job_seeker: tehwalrus; similarity_score: 0.34782
job_seeker: frazer; similarity_score: 0.34631
job_seeker: chrisbennet; similarity_score: 0.32786
job_seeker: astangl; similarity_score: 0.32127
job_seeker: batbomb; similarity_score: 0.28776
