job_seeker: colsandurz; similarity_score: 0.95186
job_seeker: J_Darnley; similarity_score: 0.80542
job_seeker: BenderV; similarity_score: 0.80542
job_seeker: lukasLansky; similarity_score: 0.80542
job_seeker: cswelin; similarity_score: 0.80180
job_seeker: ealeksandrov; similarity_score: 0.80180
job_seeker: nt_tdc; similarity_score: 0.79819
job_seeker: hayolie; similarity_score: 0.79819
job_seeker: mtdavis; similarity_score: 0.79464
job_seeker: paulojreis; similarity_score: 0.79463
job_seeker: bluerobotcat; similarity_score: 0.79463
job_seeker: keraj; similarity_score: 0.79463
job_seeker: dyadic; similarity_score: 0.79463
job_seeker: yzzxy; similarity_score: 0.79110
job_seeker: tomaskazemekas; similarity_score: 0.79110
job_seeker: emillon; similarity_score: 0.78760
job_seeker: gmoneynj2000; similarity_score: 0.78413
job_seeker: Jarlakxen; similarity_score: 0.77390
job_seeker: jw989; similarity_score: 0.77056
job_seeker: bcoates; similarity_score: 0.77056
job_seeker: schneidmaster; similarity_score: 0.77055
job_seeker: navait; similarity_score: 0.77055
job_seeker: Akkuma; similarity_score: 0.76394
job_seeker: 67726e; similarity_score: 0.76394
job_seeker: iN7h33nD; similarity_score: 0.76068
job_seeker: domador; similarity_score: 0.75743
job_seeker: sdernley; similarity_score: 0.75423
job_seeker: zwetan; similarity_score: 0.75422
job_seeker: avyfain; similarity_score: 0.75104
job_seeker: kparaju; similarity_score: 0.74476
job_seeker: TheDom; similarity_score: 0.74166
job_seeker: btbuildem; similarity_score: 0.74165
job_seeker: chrispecoraro; similarity_score: 0.73858
job_seeker: sidmitra; similarity_score: 0.73250
job_seeker: kirpekar; similarity_score: 0.73250
job_seeker: yoav; similarity_score: 0.73250
job_seeker: valarauca1; similarity_score: 0.72652
job_seeker: hereonbusiness; similarity_score: 0.72652
job_seeker: RickS; similarity_score: 0.72652
job_seeker: mike-cardwell; similarity_score: 0.72064
job_seeker: joyofdata; similarity_score: 0.72064
job_seeker: majodev; similarity_score: 0.72064
job_seeker: richardhoward; similarity_score: 0.71773
job_seeker: AlexNeoNomad; similarity_score: 0.71485
job_seeker: acharnou; similarity_score: 0.71485
job_seeker: throwaway83; similarity_score: 0.70916
job_seeker: siscia; similarity_score: 0.70634
job_seeker: jrm2k6; similarity_score: 0.70634
job_seeker: osenar; similarity_score: 0.70077
job_seeker: eximius; similarity_score: 0.69803
job_seeker: HamboneWilson; similarity_score: 0.69530
job_seeker: madprops; similarity_score: 0.68992
job_seeker: jamesbrewer; similarity_score: 0.68461
job_seeker: howard941; similarity_score: 0.68198
job_seeker: saiko-chriskun; similarity_score: 0.65925
job_seeker: ryankevans; similarity_score: 0.65924
job_seeker: Hario; similarity_score: 0.63799
job_seeker: orteipid; similarity_score: 0.63570
job_seeker: lechuckcaptain; similarity_score: 0.61167
job_seeker: wyclif; similarity_score: 0.59135
job_seeker: KTamasEnty; similarity_score: 0.58745
job_seeker: tehwalrus; similarity_score: 0.56150
job_seeker: frazer; similarity_score: 0.54268
job_seeker: astangl; similarity_score: 0.52661
job_seeker: chrisbennet; similarity_score: 0.52507
job_seeker: batbomb; similarity_score: 0.50282
