job_seeker: new_user_name; similarity_score: 0.90475
job_seeker: gothy; similarity_score: 0.74802
job_seeker: mariocesar; similarity_score: 0.74802
job_seeker: mateja; similarity_score: 0.74218
job_seeker: hiby007; similarity_score: 0.73643
job_seeker: baggachipz; similarity_score: 0.73643
job_seeker: rahulroy; similarity_score: 0.73643
job_seeker: zachcowell; similarity_score: 0.73643
job_seeker: 32faction; similarity_score: 0.73642
job_seeker: Achshar; similarity_score: 0.73642
job_seeker: Grue3; similarity_score: 0.73642
job_seeker: ryaneager; similarity_score: 0.73076
job_seeker: 2close4comfort; similarity_score: 0.73076
job_seeker: pablokbs; similarity_score: 0.72518
job_seeker: nubcakes; similarity_score: 0.72518
job_seeker: codez; similarity_score: 0.72518
job_seeker: cpursley; similarity_score: 0.72518
job_seeker: philippnagel; similarity_score: 0.72518
job_seeker: thomasfromcdnjs; similarity_score: 0.71969
job_seeker: japesinator; similarity_score: 0.71968
job_seeker: TapanilaT; similarity_score: 0.71968
job_seeker: fvinci; similarity_score: 0.71428
job_seeker: Cyranix; similarity_score: 0.71428
job_seeker: jecjec; similarity_score: 0.71428
job_seeker: 2bluesc; similarity_score: 0.71428
job_seeker: bruticus; similarity_score: 0.70895
job_seeker: kidsil; similarity_score: 0.70895
job_seeker: asethwright; similarity_score: 0.70894
job_seeker: apsdehal; similarity_score: 0.70894
job_seeker: toddrew; similarity_score: 0.70370
job_seeker: beanmind; similarity_score: 0.69852
job_seeker: cday; similarity_score: 0.69852
job_seeker: darsi; similarity_score: 0.69852
job_seeker: keane; similarity_score: 0.69852
job_seeker: akama; similarity_score: 0.69342
job_seeker: Daves; similarity_score: 0.69342
job_seeker: paulojreis; similarity_score: 0.68840
job_seeker: cswelin; similarity_score: 0.68345
job_seeker: ddebernardy; similarity_score: 0.68344
job_seeker: ealeksandrov; similarity_score: 0.68344
job_seeker: yen223; similarity_score: 0.68344
job_seeker: hayolie; similarity_score: 0.67856
job_seeker: gsamm; similarity_score: 0.67856
job_seeker: J_Darnley; similarity_score: 0.67856
job_seeker: jan0e; similarity_score: 0.67856
job_seeker: mtdavis; similarity_score: 0.67375
job_seeker: lukasLansky; similarity_score: 0.67375
job_seeker: BenderV; similarity_score: 0.67375
job_seeker: csorrell; similarity_score: 0.67375
job_seeker: nt_tdc; similarity_score: 0.66900
job_seeker: sfteus; similarity_score: 0.66433
job_seeker: yzzxy; similarity_score: 0.66433
job_seeker: keraj; similarity_score: 0.66433
job_seeker: bluerobotcat; similarity_score: 0.65971
job_seeker: emillon; similarity_score: 0.65971
job_seeker: dyadic; similarity_score: 0.65971
job_seeker: gmoneynj2000; similarity_score: 0.65516
job_seeker: jw989; similarity_score: 0.65067
job_seeker: tomaskazemekas; similarity_score: 0.63332
job_seeker: 67726e; similarity_score: 0.63332
job_seeker: Jarlakxen; similarity_score: 0.63332
job_seeker: schneidmaster; similarity_score: 0.62913
job_seeker: iN7h33nD; similarity_score: 0.62913
job_seeker: bcoates; similarity_score: 0.61688
job_seeker: navait; similarity_score: 0.61687
job_seeker: Akkuma; similarity_score: 0.61687
job_seeker: domador; similarity_score: 0.60896
job_seeker: zwetan; similarity_score: 0.60509
job_seeker: avyfain; similarity_score: 0.60126
job_seeker: TheDom; similarity_score: 0.59748
job_seeker: sdernley; similarity_score: 0.59748
job_seeker: kparaju; similarity_score: 0.59748
job_seeker: chrispecoraro; similarity_score: 0.59374
job_seeker: majodev; similarity_score: 0.59005
job_seeker: btbuildem; similarity_score: 0.59005
job_seeker: sidmitra; similarity_score: 0.58641
job_seeker: RickS; similarity_score: 0.58641
job_seeker: yoav; similarity_score: 0.58641
job_seeker: kirpekar; similarity_score: 0.57926
job_seeker: acharnou; similarity_score: 0.57575
job_seeker: valarauca1; similarity_score: 0.57575
job_seeker: mike-cardwell; similarity_score: 0.57575
job_seeker: hereonbusiness; similarity_score: 0.56886
job_seeker: joyofdata; similarity_score: 0.56885
job_seeker: richardhoward; similarity_score: 0.56546
job_seeker: siscia; similarity_score: 0.55881
job_seeker: osenar; similarity_score: 0.55881
job_seeker: AlexNeoNomad; similarity_score: 0.55231
job_seeker: HamboneWilson; similarity_score: 0.54284
job_seeker: jrm2k6; similarity_score: 0.53977
job_seeker: jamesbrewer; similarity_score: 0.53977
job_seeker: howard941; similarity_score: 0.53976
job_seeker: eximius; similarity_score: 0.53976
job_seeker: throwaway83; similarity_score: 0.52777
job_seeker: madprops; similarity_score: 0.51629
job_seeker: saiko-chriskun; similarity_score: 0.50263
job_seeker: ryankevans; similarity_score: 0.49737
job_seeker: orteipid; similarity_score: 0.47738
job_seeker: Hario; similarity_score: 0.46115
job_seeker: lechuckcaptain; similarity_score: 0.43981
job_seeker: wyclif; similarity_score: 0.42985
job_seeker: KTamasEnty; similarity_score: 0.41484
job_seeker: tehwalrus; similarity_score: 0.39748
job_seeker: frazer; similarity_score: 0.38305
job_seeker: chrisbennet; similarity_score: 0.36964
job_seeker: astangl; similarity_score: 0.35984
job_seeker: batbomb; similarity_score: 0.33450
