job_seeker: FiddlerClamp; similarity_score: 0.92480
job_seeker: csorrell; similarity_score: 0.71929
job_seeker: gmoneynj2000; similarity_score: 0.71511
job_seeker: navait; similarity_score: 0.71097
job_seeker: tomaskazemekas; similarity_score: 0.70689
job_seeker: jw989; similarity_score: 0.70689
job_seeker: Jarlakxen; similarity_score: 0.70285
job_seeker: 67726e; similarity_score: 0.69885
job_seeker: schneidmaster; similarity_score: 0.69100
job_seeker: sdernley; similarity_score: 0.69100
job_seeker: avyfain; similarity_score: 0.68714
job_seeker: iN7h33nD; similarity_score: 0.68714
job_seeker: domador; similarity_score: 0.68332
job_seeker: kparaju; similarity_score: 0.68332
job_seeker: zwetan; similarity_score: 0.67581
job_seeker: bcoates; similarity_score: 0.67581
job_seeker: btbuildem; similarity_score: 0.67212
job_seeker: Akkuma; similarity_score: 0.67212
job_seeker: TheDom; similarity_score: 0.66486
job_seeker: chrispecoraro; similarity_score: 0.66486
job_seeker: yoav; similarity_score: 0.65425
job_seeker: sidmitra; similarity_score: 0.65425
job_seeker: acharnou; similarity_score: 0.65079
job_seeker: joyofdata; similarity_score: 0.65078
job_seeker: kirpekar; similarity_score: 0.65078
job_seeker: hereonbusiness; similarity_score: 0.65078
job_seeker: majodev; similarity_score: 0.64736
job_seeker: mike-cardwell; similarity_score: 0.64397
job_seeker: siscia; similarity_score: 0.64062
job_seeker: osenar; similarity_score: 0.64062
job_seeker: valarauca1; similarity_score: 0.63730
job_seeker: RickS; similarity_score: 0.63730
job_seeker: AlexNeoNomad; similarity_score: 0.63729
job_seeker: jrm2k6; similarity_score: 0.63401
job_seeker: eximius; similarity_score: 0.62754
job_seeker: richardhoward; similarity_score: 0.61808
job_seeker: HamboneWilson; similarity_score: 0.61808
job_seeker: throwaway83; similarity_score: 0.61499
job_seeker: howard941; similarity_score: 0.61193
job_seeker: jamesbrewer; similarity_score: 0.60591
job_seeker: madprops; similarity_score: 0.59708
job_seeker: saiko-chriskun; similarity_score: 0.57476
job_seeker: ryankevans; similarity_score: 0.57475
job_seeker: orteipid; similarity_score: 0.55156
job_seeker: Hario; similarity_score: 0.54184
job_seeker: lechuckcaptain; similarity_score: 0.51898
job_seeker: wyclif; similarity_score: 0.50203
job_seeker: KTamasEnty; similarity_score: 0.49003
job_seeker: frazer; similarity_score: 0.47126
job_seeker: tehwalrus; similarity_score: 0.47126
job_seeker: chrisbennet; similarity_score: 0.45054
job_seeker: astangl; similarity_score: 0.44403
job_seeker: batbomb; similarity_score: 0.39805
