job_seeker: vdimarco; similarity_score: 0.95630
job_seeker: Daves; similarity_score: 0.83122
job_seeker: darsi; similarity_score: 0.83121
job_seeker: asethwright; similarity_score: 0.83121
job_seeker: nt_tdc; similarity_score: 0.82772
job_seeker: gsamm; similarity_score: 0.82772
job_seeker: bruticus; similarity_score: 0.82772
job_seeker: jan0e; similarity_score: 0.82426
job_seeker: ddebernardy; similarity_score: 0.82426
job_seeker: paulojreis; similarity_score: 0.82425
job_seeker: yen223; similarity_score: 0.82425
job_seeker: keraj; similarity_score: 0.82425
job_seeker: hayolie; similarity_score: 0.82083
job_seeker: emillon; similarity_score: 0.82082
job_seeker: mtdavis; similarity_score: 0.81742
job_seeker: BenderV; similarity_score: 0.81742
job_seeker: sfteus; similarity_score: 0.81742
job_seeker: dyadic; similarity_score: 0.81742
job_seeker: bluerobotcat; similarity_score: 0.81741
job_seeker: csorrell; similarity_score: 0.81404
job_seeker: ealeksandrov; similarity_score: 0.81404
job_seeker: navait; similarity_score: 0.81069
job_seeker: jw989; similarity_score: 0.80737
job_seeker: tomaskazemekas; similarity_score: 0.80737
job_seeker: gmoneynj2000; similarity_score: 0.80080
job_seeker: yzzxy; similarity_score: 0.80080
job_seeker: zwetan; similarity_score: 0.79116
job_seeker: schneidmaster; similarity_score: 0.78799
job_seeker: 67726e; similarity_score: 0.78485
job_seeker: Jarlakxen; similarity_score: 0.78485
job_seeker: iN7h33nD; similarity_score: 0.78485
job_seeker: avyfain; similarity_score: 0.78174
job_seeker: btbuildem; similarity_score: 0.78174
job_seeker: Akkuma; similarity_score: 0.77865
job_seeker: hereonbusiness; similarity_score: 0.77864
job_seeker: kparaju; similarity_score: 0.77558
job_seeker: bcoates; similarity_score: 0.77558
job_seeker: domador; similarity_score: 0.77254
job_seeker: sdernley; similarity_score: 0.77254
job_seeker: chrispecoraro; similarity_score: 0.76953
job_seeker: TheDom; similarity_score: 0.76652
job_seeker: siscia; similarity_score: 0.76652
job_seeker: RickS; similarity_score: 0.75768
job_seeker: mike-cardwell; similarity_score: 0.75768
job_seeker: valarauca1; similarity_score: 0.75768
job_seeker: sidmitra; similarity_score: 0.75768
job_seeker: kirpekar; similarity_score: 0.75768
job_seeker: yoav; similarity_score: 0.75478
job_seeker: majodev; similarity_score: 0.75190
job_seeker: HamboneWilson; similarity_score: 0.74621
job_seeker: acharnou; similarity_score: 0.74339
job_seeker: AlexNeoNomad; similarity_score: 0.74060
job_seeker: richardhoward; similarity_score: 0.74059
job_seeker: joyofdata; similarity_score: 0.74059
job_seeker: osenar; similarity_score: 0.73782
job_seeker: throwaway83; similarity_score: 0.73507
job_seeker: eximius; similarity_score: 0.73507
job_seeker: jamesbrewer; similarity_score: 0.73234
job_seeker: howard941; similarity_score: 0.72962
job_seeker: madprops; similarity_score: 0.72962
job_seeker: jrm2k6; similarity_score: 0.72692
job_seeker: saiko-chriskun; similarity_score: 0.68640
job_seeker: ryankevans; similarity_score: 0.67930
job_seeker: Hario; similarity_score: 0.67006
job_seeker: orteipid; similarity_score: 0.66553
job_seeker: lechuckcaptain; similarity_score: 0.64590
job_seeker: wyclif; similarity_score: 0.62938
job_seeker: KTamasEnty; similarity_score: 0.61949
job_seeker: tehwalrus; similarity_score: 0.58981
job_seeker: frazer; similarity_score: 0.58456
job_seeker: astangl; similarity_score: 0.56936
job_seeker: chrisbennet; similarity_score: 0.56285
job_seeker: batbomb; similarity_score: 0.53677
