job_seeker: FiddlerClamp; similarity_score: 0.96699
job_seeker: apsdehal; similarity_score: 0.88252
job_seeker: Cyranix; similarity_score: 0.88252
job_seeker: asethwright; similarity_score: 0.87987
job_seeker: akama; similarity_score: 0.87987
job_seeker: jan0e; similarity_score: 0.87987
job_seeker: ddebernardy; similarity_score: 0.87987
job_seeker: jecjec; similarity_score: 0.87987
job_seeker: ealeksandrov; similarity_score: 0.87987
job_seeker: darsi; similarity_score: 0.87724
job_seeker: fvinci; similarity_score: 0.87724
job_seeker: lukasLansky; similarity_score: 0.87723
job_seeker: keane; similarity_score: 0.87723
job_seeker: hayolie; similarity_score: 0.87462
job_seeker: J_Darnley; similarity_score: 0.87462
job_seeker: keraj; similarity_score: 0.87462
job_seeker: csorrell; similarity_score: 0.87462
job_seeker: Daves; similarity_score: 0.87461
job_seeker: paulojreis; similarity_score: 0.87202
job_seeker: gsamm; similarity_score: 0.87202
job_seeker: BenderV; similarity_score: 0.87202
job_seeker: nt_tdc; similarity_score: 0.87202
job_seeker: sfteus; similarity_score: 0.87201
job_seeker: dyadic; similarity_score: 0.86943
job_seeker: cday; similarity_score: 0.86942
job_seeker: gmoneynj2000; similarity_score: 0.86942
job_seeker: yen223; similarity_score: 0.86942
job_seeker: emillon; similarity_score: 0.86686
job_seeker: yzzxy; similarity_score: 0.86686
job_seeker: tomaskazemekas; similarity_score: 0.86685
job_seeker: bluerobotcat; similarity_score: 0.86430
job_seeker: mtdavis; similarity_score: 0.86430
job_seeker: schneidmaster; similarity_score: 0.86175
job_seeker: jw989; similarity_score: 0.86175
job_seeker: iN7h33nD; similarity_score: 0.85422
job_seeker: zwetan; similarity_score: 0.85173
job_seeker: bcoates; similarity_score: 0.84927
job_seeker: Jarlakxen; similarity_score: 0.84926
job_seeker: navait; similarity_score: 0.84681
job_seeker: 67726e; similarity_score: 0.84437
job_seeker: domador; similarity_score: 0.84437
job_seeker: Akkuma; similarity_score: 0.84194
job_seeker: sdernley; similarity_score: 0.84194
job_seeker: kparaju; similarity_score: 0.83954
job_seeker: avyfain; similarity_score: 0.83713
job_seeker: yoav; similarity_score: 0.83713
job_seeker: btbuildem; similarity_score: 0.83237
job_seeker: RickS; similarity_score: 0.83002
job_seeker: kirpekar; similarity_score: 0.82767
job_seeker: hereonbusiness; similarity_score: 0.82767
job_seeker: TheDom; similarity_score: 0.82534
job_seeker: siscia; similarity_score: 0.82303
job_seeker: chrispecoraro; similarity_score: 0.82303
job_seeker: sidmitra; similarity_score: 0.82302
job_seeker: mike-cardwell; similarity_score: 0.81615
job_seeker: joyofdata; similarity_score: 0.81388
job_seeker: AlexNeoNomad; similarity_score: 0.81163
job_seeker: majodev; similarity_score: 0.81163
job_seeker: eximius; similarity_score: 0.81162
job_seeker: valarauca1; similarity_score: 0.80939
job_seeker: richardhoward; similarity_score: 0.80715
job_seeker: acharnou; similarity_score: 0.80493
job_seeker: osenar; similarity_score: 0.80493
job_seeker: howard941; similarity_score: 0.80273
job_seeker: HamboneWilson; similarity_score: 0.79836
job_seeker: jrm2k6; similarity_score: 0.79835
job_seeker: throwaway83; similarity_score: 0.79402
job_seeker: madprops; similarity_score: 0.79402
job_seeker: jamesbrewer; similarity_score: 0.78762
job_seeker: saiko-chriskun; similarity_score: 0.78132
job_seeker: ryankevans; similarity_score: 0.77308
job_seeker: orteipid; similarity_score: 0.75710
job_seeker: Hario; similarity_score: 0.74743
job_seeker: lechuckcaptain; similarity_score: 0.72885
job_seeker: wyclif; similarity_score: 0.72166
job_seeker: KTamasEnty; similarity_score: 0.71989
job_seeker: tehwalrus; similarity_score: 0.69761
job_seeker: frazer; similarity_score: 0.68139
job_seeker: chrisbennet; similarity_score: 0.66289
job_seeker: astangl; similarity_score: 0.66288
job_seeker: batbomb; similarity_score: 0.62740
